OP CODE,OP TYPE,DEVICE ID,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,CORE COUNT,DEVICE KERNEL DURATION [ns]
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470644
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,468621
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186988
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,428861
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187631
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1308830
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230607
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,175012
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,511164
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,138968
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85971
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,84984
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2581910
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48453
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,259160
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1244529
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1304001
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,231524
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,171491
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470886
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,467919
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186844
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429930
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1188043
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1312141
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,214876
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,166101
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,513018
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,137385
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,82645
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,82959
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2567615
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48011
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,256813
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1185685
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1312175
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,223826
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,168820
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470514
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471221
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186840
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,426865
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187379
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1282470
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230086
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,176387
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,511044
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,140480
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,87205
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,86009
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2582544
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48853
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257744
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1243350
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1295980
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,225933
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,174234
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,468919
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469349
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186887
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429548
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187369
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1339958
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230241
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,173988
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,512978
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,131451
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,81451
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,82615
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2567317
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,49088
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257736
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187032
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1311035
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230984
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,169030
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471445
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471396
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186779
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,430219
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1235041
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1301473
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230090
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,178019
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,512264
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,139647
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,86023
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85902
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2583030
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,46961
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,256229
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187081
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1312216
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,230415
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,172139
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469854
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471170
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186784
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429238
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1186776
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1285528
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,222010
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,167616
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,513021
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,137198
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85639
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85973
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2570313
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48876
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,258468
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1243224
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1310873
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,223701
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,170281
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470966
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,473147
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186807
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,430054
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1202144
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1301102
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,224321
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,171045
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,512194
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,137327
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,83980
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85188
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2583127
