activation,dtype,role,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,speedup_vs_ttnn,status,audited_result,note,csv,coeff_csv
cosh,bf16,fastest_ttnn_ulp_match,poly,16,1,0.0,3.01,0.0001220703125,2.97,0.987,ttnn_ulp_match,accuracy_match_slow,,cosh_p16_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/cosh_p16_s1_uniform_any_ulp.csv
digamma,bf16,fastest_ttnn_ulp_match,rational,4d3,1,1.0,2.93,1.0,6.64,2.266,ttnn_ulp_match,win_both,,digamma_n4d3_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/digamma_n4d3_s1_uniform_rational_ulp.csv
elu,bf16,fastest_ttnn_ulp_match,poly,11,2,0.0,2.74,0.0,3.6,1.314,ttnn_ulp_match,win_both,,elu_p11_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/elu_p11_s2_uniform_any_ulp.csv
erf,bf16,fastest_ttnn_ulp_match,rational,8d6,1,0.5,2.87,0.5,3.63,1.265,ttnn_ulp_match,win_both,,erf_n8d6_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/erf_n8d6_s1_uniform_rational_ulp.csv
erfc,bf16,fastest_ttnn_ulp_match,poly,6,4,0.5,4.19,0.5,5.45,1.301,ttnn_ulp_match,win_both,,erfc_p6_s4_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/erfc_p6_s4_uniform_any_ulp.csv
erfinv,bf16,fastest_ttnn_ulp_match,rational,4d4,1,1.0,2.38,1.0,5.96,2.504,ttnn_ulp_match,win_both,,erfinv_n4d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/erfinv_n4d4_s1_uniform_rational_ulp.csv
exp,bf16,fastest_ttnn_ulp_match,exponent_alu_exp2,2,1,1.0,1.94,1.0,1.9,0.979,ttnn_ulp_match,accuracy_match_slow,,exp_p2_s1_uniform_fpminimax_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/exp_p2_s1_uniform_fpminimax_ulp.csv
exp2,bf16,fastest_ttnn_ulp_match,exponent_alu_exp2,2,3,0.5,1.94,0.5,2.52,1.299,ttnn_ulp_match,win_both,,exp2_p2_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/exp2_p2_s3_uniform_any_ulp.csv
expm1,bf16,fastest_ttnn_ulp_match,poly,7,1,0.0,2.01,0.0,2.92,1.453,ttnn_ulp_match,win_both,,expm1_p7_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/expm1_p7_s1_uniform_any_ulp.csv
gelu,bf16,fastest_ttnn_ulp_match,poly,2,16,0.12,11.8,0.125,5.78,0.490,ttnn_ulp_match,accuracy_match_slow,,gelu_p2_s16_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/gelu_p2_s16_uniform_any_ulp.csv
hardmish,bf16,fastest_ttnn_ulp_match,gated_affine_product,3,3,0.0,1.72,0.03125,1.77,1.029,ttnn_ulp_match,win_both,,hardmish_p3_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardmish_p3_s3_uniform_any_ulp.csv
hardshrink,bf16,fastest_ttnn_ulp_match,threshold_identity,2,3,0.0,1.74,0.0,1.82,1.046,ttnn_ulp_match,win_both,,hardshrink_p2_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardshrink_p2_s3_uniform_any_ulp.csv
hardsigmoid,bf16,fastest_ttnn_ulp_match,poly,3,3,0.5,1.99,0.5,1.79,0.899,ttnn_ulp_match,accuracy_match_slow,,hardsigmoid_p3_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardsigmoid_p3_s3_uniform_any_ulp.csv
hardswish,bf16,fastest_ttnn_ulp_match,gated_affine_product,6,3,0.02,1.78,0.25,2.01,1.129,ttnn_ulp_match,win_both,,hardswish_p6_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardswish_p6_s3_uniform_any_ulp.csv
hardtanh,bf16,fastest_ttnn_ulp_match,poly,5,3,0.0,1.86,0.0,1.86,1.000,ttnn_ulp_match,win_both,,hardtanh_p5_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardtanh_p5_s3_uniform_any_ulp.csv
i0,bf16,fastest_ttnn_ulp_match,poly,10,1,0.25,2.35,1.0,3.1,1.319,ttnn_ulp_match,win_both,,i0_p10_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/i0_p10_s1_uniform_any_ulp.csv
i1,bf16,fastest_ttnn_ulp_match,rational,7d4,1,0.5,2.7,0.5,7.4,2.741,ttnn_ulp_match,win_both,,i1_n7d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/i1_n7d4_s1_uniform_rational_ulp.csv
identity,bf16,fastest_ttnn_ulp_match,poly,13,1,0.0,0.13,1.7540579766176321e-38,0.16,1.231,ttnn_ulp_match,win_both,,identity_p13_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/identity_p13_s1_uniform_any_ulp.csv
leaky_relu,bf16,fastest_min_ulp,poly,1,2,0.0,1.8,,,,fallback_min_ulp,incomplete,,leaky_relu_p1_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/leaky_relu_p1_s2_uniform_any_ulp.csv
lgamma,bf16,fastest_ttnn_ulp_match,rational,5d5,1,1.0,3.42,1.0,13.48,3.942,ttnn_ulp_match,win_both,,lgamma_n5d5_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/lgamma_n5d5_s1_uniform_rational_ulp.csv
log,bf16,fastest_ttnn_ulp_match,exponent_alu_log2,2,3,1.0,2.16,1.0,2.32,1.074,ttnn_ulp_match,win_both,,log_p2_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log_p2_s3_uniform_any_ulp.csv
log10,bf16,fastest_ttnn_ulp_match,exponent_alu_log2,3,16,0.5,2.26,0.5,2.48,1.097,ttnn_ulp_match,win_both,,log10_p3_s16_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log10_p3_s16_uniform_any_ulp.csv
log1p,bf16,fastest_ttnn_ulp_match,exponent_alu_log2,2,16,1.0,2.26,1.0,2.43,1.075,ttnn_ulp_match,win_both,,log1p_p2_s16_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log1p_p2_s16_uniform_any_ulp.csv
log2,bf16,fastest_ttnn_ulp_match,exponent_alu_log2,3,8,1.0,2.26,1.0,2.47,1.093,ttnn_ulp_match,win_both,,log2_p3_s8_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log2_p3_s8_uniform_any_ulp.csv
logit,bf16,fastest_ttnn_ulp_match,rational,4d4,1,1.0,3.04,1.0,5.4,1.776,ttnn_ulp_match,win_both,,logit_n4d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/logit_n4d4_s1_uniform_rational_ulp.csv
logsigmoid,bf16,fastest_min_ulp,rational,5d5,2,0.0,5.47,,,,fallback_min_ulp,incomplete,,logsigmoid_n5d5_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/logsigmoid_n5d5_s2_uniform_rational_ulp.csv
mish,bf16,fastest_ttnn_ulp_match,poly,9,2,0.25,3.27,0.25,4.31,1.318,ttnn_ulp_match,win_both,,mish_p9_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/mish_p9_s2_uniform_any_ulp.csv
multigammaln,bf16,fastest_ttnn_ulp_match,poly,3,1,118.12,1.72,127.0,0.13,0.076,excluded_invalid_old_target,excluded,frontier/native rows were generated before multigammaln.json was fixed to the true p=4 target; rerun p=4 sweep before claiming,multigammaln_p3_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/multigammaln_p3_s1_uniform_any_ulp.csv
polygamma,bf16,fastest_min_ulp,poly,10,32,16.0,25.98,,,,fallback_min_ulp,incomplete,,polygamma_p10_s32_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/polygamma_p10_s32_uniform_any_ulp.csv
prelu,bf16,fastest_min_ulp,poly,2,2,0.0,1.79,,,,fallback_min_ulp,incomplete,,prelu_p2_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/prelu_p2_s2_uniform_any_ulp.csv
relu,bf16,fastest_ttnn_ulp_match,poly,2,2,0.0,1.78,0.0,1.72,0.966,ttnn_ulp_match,accuracy_match_slow,,relu_p2_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu_p2_s2_uniform_any_ulp.csv
relu6,bf16,fastest_ttnn_ulp_match,poly,2,3,0.0,1.88,0.0,1.84,0.979,ttnn_ulp_match,accuracy_match_slow,,relu6_p2_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu6_p2_s3_uniform_any_ulp.csv
relu_max,bf16,fastest_min_ulp,poly,1,3,0.0,1.9,,,,fallback_min_ulp,incomplete,,relu_max_p1_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu_max_p1_s3_uniform_any_ulp.csv
relu_min,bf16,fastest_min_ulp,poly,1,2,0.0,1.78,,,,fallback_min_ulp,incomplete,,relu_min_p1_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu_min_p1_s2_uniform_any_ulp.csv
rsqrt,bf16,fastest_ttnn_ulp_match,newton_root,13,1,0.0,2.02,0.0,2.47,1.223,ttnn_ulp_match,win_both,,rsqrt_p13_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/rsqrt_p13_s1_uniform_any_ulp.csv
selu,bf16,fastest_ttnn_ulp_match,poly,14,2,0.0,2.8,3.2766905029171264e-37,3.63,1.296,ttnn_ulp_match,win_both,,selu_p14_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/selu_p14_s2_uniform_any_ulp.csv
sigmoid,bf16,fastest_ttnn_ulp_match,exponent_alu_exp2,2,1,0.5,2.46,0.5,2.89,1.175,ttnn_ulp_match,win_both,,sigmoid_p2_s1_uniform_fpminimax_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sigmoid_p2_s1_uniform_fpminimax_ulp.csv
sigmoid_accurate,bf16,fastest_ttnn_ulp_match,exponent_alu_exp2,2,1,0.5,2.47,0.5,2.93,1.186,ttnn_ulp_match,win_both,,sigmoid_accurate_p2_s1_uniform_fpminimax_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sigmoid_accurate_p2_s1_uniform_fpminimax_ulp.csv
silu,bf16,fastest_ttnn_ulp_match,exponent_alu_exp2,3,1,0.03,3.35,0.25,3.11,0.928,ttnn_ulp_match,accuracy_match_slow,,silu_p3_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/silu_p3_s1_uniform_any_ulp.csv
sin,bf16,fastest_ttnn_ulp_match,trig_residual,7,1,0.0,2.39,0.0,2.35,0.983,ttnn_ulp_match,accuracy_match_slow,,sin_p7_s1_uniform_fpminimax_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sin_p7_s1_uniform_fpminimax_ulp.csv
sinh,bf16,fastest_ttnn_ulp_match,rational,13d2,1,0.0,3.04,0.0,3.25,1.069,ttnn_ulp_match,win_both,,sinh_n13d2_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sinh_n13d2_s1_uniform_rational_ulp.csv
softplus,bf16,fastest_ttnn_ulp_match,poly,10,2,0.12,3.3,0.125,5.31,1.609,ttnn_ulp_match,win_both,,softplus_p10_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/softplus_p10_s2_uniform_any_ulp.csv
softshrink,bf16,fastest_ttnn_ulp_match,threshold_softshift,2,3,0.0,1.78,0.0,1.91,1.073,ttnn_ulp_match,win_both,,softshrink_p2_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/softshrink_p2_s3_uniform_any_ulp.csv
softsign,bf16,fastest_ttnn_ulp_match,abs_denominator_rational,1d1,2,0.0,1.8,1.0,1.96,1.089,ttnn_ulp_match,win_both,,softsign_n1d1_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/softsign_n1d1_s2_uniform_rational_ulp.csv
sqrt,bf16,fastest_ttnn_ulp_match,newton_root,11,1,0.0,2.16,0.0,2.28,1.056,ttnn_ulp_match,win_both,,sqrt_p11_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sqrt_p11_s1_uniform_any_ulp.csv
swish,bf16,fastest_ttnn_ulp_match,exponent_alu_exp2,3,1,0.03,3.36,0.25,3.1,0.923,ttnn_ulp_match,accuracy_match_slow,,swish_p3_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/swish_p3_s1_uniform_any_ulp.csv
tan,bf16,fastest_ttnn_ulp_match,tan,8,1,0.12,2.65,0.125,2.94,1.109,ttnn_ulp_match,win_both,,tan_p8_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/tan_p8_s1_uniform_any_ulp.csv
tanh,bf16,fastest_ttnn_ulp_match,rational,5d3,1,0.5,2.38,0.5,2.29,0.962,ttnn_ulp_match,accuracy_match_slow,,tanh_n5d3_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/tanh_n5d3_s1_uniform_rational_ulp.csv
tanhshrink,bf16,fastest_ttnn_ulp_match,rational,12d3,1,0.12,2.86,0.125,3.17,1.108,ttnn_ulp_match,win_both,,tanhshrink_n12d3_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/tanhshrink_n12d3_s1_uniform_rational_ulp.csv
threshold,bf16,fastest_min_ulp,poly,2,2,0.0,1.79,,,,fallback_min_ulp,incomplete,,threshold_p2_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/threshold_p2_s2_uniform_any_ulp.csv
abs,fp32,fastest_ttnn_ulp_match,poly,13,2,0.0,2.89,0.0,2.94,1.017,ttnn_ulp_match,win_both,,abs_p13_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/abs_p13_s2_uniform_any_ulp.csv
acos,fp32,fastest_min_ulp,rational,12d4,1,352.0,4.91,14.0,8.12,1.654,fallback_min_ulp,faster_less_accurate,,acos_n12d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/acos_n12d4_s1_uniform_rational_ulp.csv
acosh,fp32,fastest_ttnn_ulp_match,rational,6d4,1,5626.0,3.96,6791.0,5.29,1.336,ttnn_ulp_match,win_both,,acosh_n6d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/acosh_n6d4_s1_uniform_rational_ulp.csv
asin,fp32,fastest_min_ulp,rational,12d4,1,303.0,3.65,27.5,7.99,2.189,fallback_min_ulp,faster_less_accurate,,asin_n12d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/asin_n12d4_s1_uniform_rational_ulp.csv
asinh,fp32,fastest_ttnn_ulp_match,rational,6d6,1,9473.0,3.43,10107.0,4.69,1.367,ttnn_ulp_match,win_both,,asinh_n6d6_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/asinh_n6d6_s1_uniform_rational_ulp.csv
atan,fp32,fastest_min_ulp,poly,9,4,27.0,5.46,2.0,5.11,0.936,fallback_min_ulp,loss,,atan_p9_s4_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/atan_p9_s4_uniform_any_ulp.csv
atanh,fp32,fastest_min_ulp,rational,11d4,1,19420.0,3.65,10029.0,4.79,1.312,fallback_min_ulp,faster_less_accurate,,atanh_n11d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/atanh_n11d4_s1_uniform_rational_ulp.csv
cbrt,fp32,fastest_min_ulp,exponent_alu_pow,6,4,3.0,5.84,2.0,3.41,0.584,fallback_min_ulp,loss,,cbrt_p6_s4_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/cbrt_p6_s4_uniform_any_ulp.csv
celu,fp32,fastest_min_ulp,poly,10,2,103.94,3.4,0.0625,4.4,1.294,fallback_min_ulp,faster_less_accurate,,celu_p10_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/celu_p10_s2_uniform_any_ulp.csv
cos,fp32,fastest_min_ulp,trig,11d2,1,1.08,5.19,1.0,3.48,0.671,fallback_min_ulp,loss,,cos_n11d2_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/cos_n11d2_s1_uniform_rational_ulp.csv
cosh,fp32,fastest_min_ulp,rational,14d1,2,4.0,7.48,1.0,4.1,0.548,fallback_min_ulp,loss,,cosh_n14d1_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/cosh_n14d1_s2_uniform_rational_ulp.csv
digamma,fp32,fastest_ttnn_ulp_match,rational,4d4,2,22.94,5.4,79.0,12.17,2.254,ttnn_ulp_match,win_both,,digamma_n4d4_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/digamma_n4d4_s2_uniform_rational_ulp.csv
elu,fp32,fastest_min_ulp,poly,10,2,103.94,3.39,0.0625,4.38,1.292,fallback_min_ulp,faster_less_accurate,,elu_p10_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/elu_p10_s2_uniform_any_ulp.csv
erf,fp32,fastest_ttnn_ulp_match,rational,15d15,1,3.5,4.68,3.5,5.49,1.173,ttnn_ulp_match,win_both,,erf_n15d15_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/erf_n15d15_s1_uniform_rational_ulp.csv
erfc,fp32,fastest_ttnn_ulp_match,poly,7,4,9957.0,5.06,15979.5,5.99,1.184,ttnn_ulp_match,win_both,,erfc_p7_s4_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/erfc_p7_s4_uniform_any_ulp.csv
erfinv,fp32,fastest_ttnn_ulp_match,rational,6d5,1,17413.0,3.29,20560.0,6.52,1.982,ttnn_ulp_match,win_both,,erfinv_n6d5_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/erfinv_n6d5_s1_uniform_rational_ulp.csv
exp,fp32,fastest_min_ulp,exp,5,1,2.0,4.41,1.0,4.02,0.912,fallback_min_ulp,loss,,exp_p5_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/exp_p5_s1_uniform_any_ulp.csv
exp2,fp32,fastest_min_ulp,rational,5d4,3,13.0,7.64,0.5,3.59,0.470,fallback_min_ulp,loss,,exp2_n5d4_s3_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/exp2_n5d4_s3_uniform_rational_ulp.csv
expm1,fp32,fastest_min_ulp,poly,7,1,6.0,3.12,1.0,4.5,1.442,fallback_min_ulp,faster_less_accurate,,expm1_p7_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/expm1_p7_s1_uniform_any_ulp.csv
gelu,fp32,fastest_min_ulp,poly,2,32,1204.88,20.51,2.0,6.61,0.322,fallback_min_ulp,loss,,gelu_p2_s32_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/gelu_p2_s32_uniform_any_ulp.csv
hardmish,fp32,fastest_ttnn_ulp_match,poly,4,3,0.0,3.06,0.03125,3.05,0.997,ttnn_ulp_match,accuracy_match_slow,,hardmish_p4_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardmish_p4_s3_uniform_any_ulp.csv
hardshrink,fp32,fastest_ttnn_ulp_match,poly,2,3,0.0,3.02,0.0,2.98,0.987,ttnn_ulp_match,accuracy_match_slow,,hardshrink_p2_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardshrink_p2_s3_uniform_any_ulp.csv
hardsigmoid,fp32,fastest_ttnn_ulp_match,poly,1,3,0.5,3.05,0.5,3.05,1.000,ttnn_ulp_match,win_both,,hardsigmoid_p1_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardsigmoid_p1_s3_uniform_any_ulp.csv
hardswish,fp32,fastest_ttnn_ulp_match,poly,4,3,0.25,3.05,0.25,3.3,1.082,ttnn_ulp_match,win_both,,hardswish_p4_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardswish_p4_s3_uniform_any_ulp.csv
hardtanh,fp32,fastest_ttnn_ulp_match,poly,11,3,0.0,2.99,0.0,3.14,1.050,ttnn_ulp_match,win_both,,hardtanh_p11_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/hardtanh_p11_s3_uniform_any_ulp.csv
i0,fp32,fastest_ttnn_ulp_match,poly,13,1,1183.0,3.35,2582.0,3.82,1.140,ttnn_ulp_match,win_both,,i0_p13_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/i0_p13_s1_uniform_any_ulp.csv
i1,fp32,fastest_ttnn_ulp_match,rational,14d14,1,5.0,4.48,5.0,9.89,2.208,ttnn_ulp_match,win_both,,i1_n14d14_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/i1_n14d14_s1_uniform_rational_ulp.csv
identity,fp32,fastest_ttnn_ulp_match,poly,16,1,0.0,1.83,0.0,1.9,1.038,ttnn_ulp_match,win_both,,identity_p16_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/identity_p16_s1_uniform_any_ulp.csv
leaky_relu,fp32,fastest_min_ulp,poly,1,2,0.01,2.99,,,,fallback_min_ulp,incomplete,,leaky_relu_p1_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/leaky_relu_p1_s2_uniform_any_ulp.csv
lgamma,fp32,fastest_ttnn_ulp_match,rational,5d3,2,1126.0,5.45,1685.673828125,21.33,3.914,ttnn_ulp_match,win_both,,lgamma_n5d3_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/lgamma_n5d3_s2_uniform_rational_ulp.csv
log,fp32,fastest_ttnn_ulp_match,log,3d2,2,1.0,5.63,1.0,3.76,0.668,ttnn_ulp_match,accuracy_match_slow,,log_n3d2_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log_n3d2_s2_uniform_rational_ulp.csv
log10,fp32,fastest_min_ulp,exponent_alu_log2,6,32,21.5,3.29,1.0,3.89,1.182,fallback_min_ulp,faster_less_accurate,,log10_p6_s32_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log10_p6_s32_uniform_any_ulp.csv
log1p,fp32,fastest_min_ulp,exponent_alu_log2,6,16,25.0,3.31,1.0,3.88,1.172,fallback_min_ulp,faster_less_accurate,,log1p_p6_s16_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log1p_p6_s16_uniform_any_ulp.csv
log2,fp32,fastest_min_ulp,exponent_alu_log2,6,1,36.0,3.28,1.0,3.87,1.180,fallback_min_ulp,faster_less_accurate,,log2_p6_s1_uniform_fpminimax_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/log2_p6_s1_uniform_fpminimax_ulp.csv
logit,fp32,fastest_min_ulp,rational,6d6,1,1810.0,4.27,1.0,6.47,1.515,fallback_min_ulp,faster_less_accurate,,logit_n6d6_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/logit_n6d6_s1_uniform_rational_ulp.csv
logsigmoid,fp32,fastest_min_ulp,rational,11d2,2,3.0,6.93,,,,fallback_min_ulp,incomplete,,logsigmoid_n11d2_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/logsigmoid_n11d2_s2_uniform_rational_ulp.csv
