ARCH: blackhole, CHIP_FREQ[MHz]: 1350, Max Compute Cores: 130
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
0,2,2,TRISC_0,38253,2995391775414,0,1024,,,TRISC-KERNEL,ZONE_START,86,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,2,2,TRISC_0,7159,2995391777471,0,1024,,,SDPA_FULLCHIP_LOFI,ZONE_START,36,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/experiments/sdpa-l2/compute-sprint-v1/fp32/compute.cpp,
0,2,2,TRISC_0,7159,2995617595620,0,1024,,,SDPA_FULLCHIP_LOFI,ZONE_END,36,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/experiments/sdpa-l2/compute-sprint-v1/fp32/compute.cpp,
0,2,2,TRISC_0,38253,2995617595661,0,1024,,,TRISC-KERNEL,ZONE_END,86,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,2,2,TRISC_0,26079,2995617595708,0,1024,,,TRISC-FW,ZONE_END,150,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,2,2,TRISC_1,26079,2995391774468,0,1024,,,TRISC-FW,ZONE_START,150,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,2,2,TRISC_1,38253,2995391775314,0,1024,,,TRISC-KERNEL,ZONE_START,86,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,2,2,TRISC_1,7159,2995391775538,0,1024,,,SDPA_FULLCHIP_LOFI,ZONE_START,36,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/experiments/sdpa-l2/compute-sprint-v1/fp32/compute.cpp,
0,2,2,TRISC_1,7159,2995617595420,0,1024,,,SDPA_FULLCHIP_LOFI,ZONE_END,36,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/experiments/sdpa-l2/compute-sprint-v1/fp32/compute.cpp,
0,2,2,TRISC_1,38253,2995617595467,0,1024,,,TRISC-KERNEL,ZONE_END,86,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,2,2,TRISC_1,26079,2995617595636,0,1024,,,TRISC-FW,ZONE_END,150,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,2,2,TRISC_2,26079,2995391774463,0,1024,,,TRISC-FW,ZONE_START,150,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,2,2,TRISC_2,38253,2995391775319,0,1024,,,TRISC-KERNEL,ZONE_START,86,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,2,2,TRISC_2,7159,2995391775546,0,1024,,,SDPA_FULLCHIP_LOFI,ZONE_START,36,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/experiments/sdpa-l2/compute-sprint-v1/fp32/compute.cpp,
0,2,2,TRISC_2,7159,2995617595807,0,1024,,,SDPA_FULLCHIP_LOFI,ZONE_END,36,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/experiments/sdpa-l2/compute-sprint-v1/fp32/compute.cpp,
0,2,2,TRISC_2,38253,2995617595851,0,1024,,,TRISC-KERNEL,ZONE_END,86,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,2,2,TRISC_2,26079,2995617595897,0,1024,,,TRISC-FW,ZONE_END,150,/localdev/cglagovich/flux2-frontier-20260915/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
