formats.input_A,formats.input_B,formats.register_A,formats.register_B,formats.output,formats.sfpu_math,unpack_to_dest,dest_acc,speed_of_light,math_fidelity,dest_sync,throttle_level,unpack_transpose_faces,num_faces,num_faces_A,num_faces_B,loop_factor,tile_cnt,c_dimm,r_dimm,k_dimm,marker,mean(L1_TO_L1),TEXT_SIZE(L1_TO_L1),test,dst_index,unpack_transpose_within_face,partial_a,partial_face_pack,partial_b,partial_face_math,in0_r_dim,in0_c_dim,in1_r_dim,in1_c_dim,cfg,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Float32,Bfp8_b,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,96,3,1,32,TILE_LOOP,210392.0,12352,perf_matmul,,,,,,,,,,,561389a4871a,210392,210439,210610,210392,210392,210392,210392,210392,210392,210392
Float16,Float16,Float16,Float16,Bfp8_b,Float16,False,DestAccumulation.Yes,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,8,1,2,4,TILE_LOOP,28138.0,12364,perf_matmul,,,,,,,,,,,1d56d16ff91e,28138,28160,28139,28140,28139,28141,28139,28140,28140,28131
Float16,Float16,Float16,Float16,Bfp8_b,Float16,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,6,1,2,3,TILE_LOOP,21137.0,12352,perf_matmul,,,,,,,,,,,185f91bf9ba7,21137,21177,21159,21177,21174,21177,21177,21177,21147,21162
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,4,1,2,2,TILE_LOOP,15216.0,12316,perf_matmul,,,,,,,,,,,323f847804a0,15216,15317,15216,15216,15202,15214,15193,15214,15369,15216
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,2,1,2,1,TILE_LOOP,10226.0,12316,perf_matmul,,,,,,,,,,,75e1b8f13537,10226,10249,10249,10249,10249,10249,10226,10226,10249,10249
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi4,DestSync.Half,0,Transpose.No,4,4,4,64,2,1,2,1,TILE_LOOP,10253.0,12316,perf_matmul,,,,,,,,,,,4da34ff83c09,10253,10253,10253,10253,10253,10253,10276,10253,10253,10253
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,2,1,2,1,TILE_LOOP,10884.0,12304,perf_matmul,,,,,,,,,,,0011682f7c0c,10884,10851,10882,10882,10884,10821,10882,10851,10884,10882
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,4,1,2,2,TILE_LOOP,15844.0,12304,perf_matmul,,,,,,,,,,,b7a169c8f239,15844,15869,15844,15862,15844,15844,15844,15844,15844,15844
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,6,1,3,2,TILE_LOOP,22964.0,12364,perf_matmul,,,,,,,,,,,0bfca76fda81,22964,22964,22965,22964,22965,22965,22964,22965,22924,22965
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,8,2,1,4,TILE_LOOP,27531.0,12364,perf_matmul,,,,,,,,,,,39c6954538a2,27531,27531,27531,27588,27531,27531,27531,27531,27531,27554
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,9,1,3,3,TILE_LOOP,32009.0,12364,perf_matmul,,,,,,,,,,,75b6fd5a61fa,32009,32015,32025,32009,32026,32025,32055,32026,32015,32026
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,4,2,1,2,TILE_LOOP,14804.0,12352,perf_matmul,,,,,,,,,,,fd1127532b90,14804,14505,14804,14804,14804,14804,14804,14804,14804,14804
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,6,1,3,2,TILE_LOOP,22611.0,12352,perf_matmul,,,,,,,,,,,b3d5811db7bf,22611,22650,22537,22611,22611,22611,22611,22611,22611,22611
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,9,1,3,3,TILE_LOOP,31157.0,12352,perf_matmul,,,,,,,,,,,063e65ebe2f3,31157,31167,31262,31157,31166,31157,31278,31249,31177,31157
Float16,Float16,Float16,Float16,Float16,Float16,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,12,1,3,4,TILE_LOOP,40396.0,12352,perf_matmul,,,,,,,,,,,c192c377f093,40396,40394,40326,40395,40440,40395,40278,40407,40418,40231
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,6,3,1,2,TILE_LOOP,19694.0,12316,perf_matmul,,,,,,,,,,,b80b83f59890,19694,19704,19718,19718,19718,19710,19703,19718,19694,19718
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,3,3,1,1,TILE_LOOP,11306.0,12316,perf_matmul,,,,,,,,,,,a5a4e35777c7,11306,11200,11200,11200,11306,11200,11200,11200,11200,11353
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,6,1,6,1,TILE_LOOP,29283.0,12304,perf_matmul,,,,,,,,,,,6f080b9fd375,29283,29272,29274,29312,29261,29292,29271,29277,29278,29293
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,6,3,1,2,TILE_LOOP,19438.0,12304,perf_matmul,,,,,,,,,,,45a5a510161e,19438,19438,19438,19438,19489,19438,19477,19438,19438,19440
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.No,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,9,3,1,3,TILE_LOOP,27956.0,12304,perf_matmul,,,,,,,,,,,49c48776511e,27956,28115,27952,27952,27941,27952,27953,28060,27939,27976
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.Yes,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,4,1,2,2,TILE_LOOP,15169.0,12364,perf_matmul,,,,,,,,,,,f81d11704090,15169,15170,15169,15169,15171,15188,15215,15169,15152,15186
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.Yes,False,MathFidelity.HiFi3,DestSync.Half,0,Transpose.No,4,4,4,64,4,1,2,2,TILE_LOOP,16050.0,12364,perf_matmul,,,,,,,,,,,d173e1bc01a7,16050,16051,16050,16050,16050,16050,16050,16055,16050,16025
Float16,Float16,Float16,Float16,Float16_b,Float16,False,DestAccumulation.Yes,False,MathFidelity.LoFi,DestSync.Half,0,Transpose.No,4,4,4,64,4,1,2,2,TILE_LOOP,15970.0,12352,perf_matmul,,,,,,,,,,,c3019b731c31,15970,15862,15970,15970,15970,15970,15970,15969,15878,15970
Float16,Float16,Float16,Float16,Float32,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,4,1,2,2,TILE_LOOP,20230.0,12316,perf_matmul,,,,,,,,,,,3b05e438132e,20230,20265,20265,20251,20267,20261,20293,20265,20263,20265
Float16,Float16,Float16,Float16,Float32,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,8,1,2,4,TILE_LOOP,31200.0,12316,perf_matmul,,,,,,,,,,,f26a850644de,31200,31196,31201,31277,31200,31215,31196,31195,31234,31232
Float16,Float16,Float16,Float16,Float32,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,8,4,1,2,TILE_LOOP,27220.0,12316,perf_matmul,,,,,,,,,,,efefc1d3599e,27220,27237,27153,27200,27202,27192,27200,27200,27187,27219
Float16,Float16,Float16,Float16,Float32,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,12,4,1,3,TILE_LOOP,38757.0,12316,perf_matmul,,,,,,,,,,,b03fc5d168b9,38757,38832,38855,38866,38722,38855,38789,38851,38691,38863
Float16,Float16,Float16,Float16,Float32,Float16,False,DestAccumulation.No,False,MathFidelity.HiFi2,DestSync.Half,0,Transpose.No,4,4,4,64,16,4,1,4,TILE_LOOP,54195.0,12316,perf_matmul,,,,,,,,,,,d91e86dc1f63,54195,54298,54114,54105,54117,54146,54163,54090,54028,53927
