cfg,test,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
c5aa5232c13b,perf_matmul,69493,69470,69493,69493,69493,69443,69493,69493,69461,69460
222d6270f98a,perf_matmul,204208,204208,204193,204208,204208,204208,204206,204208,204208,204208
1e4bf1c0e77b,perf_matmul,351546,351532,351562,351524,351537,351550,351544,351523,351547,351528
6a8aaf8dfbf9,perf_matmul,27416,27416,27416,27416,27350,27416,27394,27416,27369,27394
a89b0c55eaa1,perf_matmul,53905,53905,53905,53905,53905,53905,53905,53905,53905,53905
25cdfa07f811,perf_matmul,281783,281783,281783,281783,281783,281783,281786,281776,281778,281783
a9247d62ea8a,perf_matmul,20498,20497,20498,20498,20498,20498,20496,20498,20487,20498
c602f8a1dcc8,perf_matmul,27452,27419,27452,27452,27452,27452,27452,27452,27452,27452
b1ef15857c48,perf_matmul,40575,40575,40575,40575,40575,40575,40575,40575,40574,40575
616771c39c4b,perf_matmul,207989,207989,207989,207994,207990,207992,207989,207989,207992,207988
03648876d578,perf_matmul,310445,310428,310428,310428,310428,310428,310428,310428,310428,310428
d1b5f7cff7dd,perf_matmul,26682,26687,26682,26682,26688,26682,26678,26682,26682,26682
cbe33a1c91e8,perf_matmul,408733,408734,408732,408734,408734,408734,408732,408732,408734,408734
fca7268e42cb,perf_matmul,10895,10895,10895,10895,10895,10895,10895,10895,10895,10895
0bd582520664,perf_matmul,19742,19766,19742,19742,19742,19742,19742,19742,19742,19742
da476a769643,perf_matmul,27332,27330,27376,27328,27328,27328,27322,27328,27328,27328
672e10ded39c,perf_matmul,12593,12499,12593,12593,12593,12472,12524,12593,12593,12492
95d942d07677,perf_matmul,25347,25347,25347,25347,25285,25347,25347,25347,25329,25347
8efe1df53180,perf_matmul,24464,24464,24517,24464,24464,24464,24464,24464,24448,24464
ab11a148987f,perf_matmul,28508,28512,28508,28508,28512,28512,28512,28512,28512,28512
ee8ebaa40efb,perf_matmul,37536,37536,37536,37535,37536,37536,37536,37533,37535,37536
f03d38583f8b,perf_matmul,73630,73630,73630,73630,73630,73630,73630,73632,73630,73630
f3bdf789df0c,perf_matmul,282029,282029,282029,282029,282029,282029,282031,282029,282029,282041
f8181c6474bd,perf_matmul,12471,12471,12471,12471,12471,12471,12471,12471,12471,12471
a5bfe430b6fb,perf_matmul,22252,22252,22252,22204,22252,22252,22252,22274,22252,22252
10817eb61165,perf_matmul,27678,27678,27678,27678,27678,27682,27678,27678,27678,27678
c5cfa20b3013,perf_matmul,40801,40797,40797,40797,40801,40797,40802,40801,40797,40796
05f061e452a0,perf_matmul,53920,53920,53920,53920,53920,53920,53920,53920,53916,53919
501ffb263675,perf_matmul,106398,106398,106398,106400,106398,106398,106398,106398,106398,106398
6b68b2768850,perf_matmul,104343,104343,104345,104343,104343,104343,104343,104343,104343,104343
b3a2913a0c68,perf_matmul,413079,413079,413082,413079,413079,413079,413079,413079,413079,413080
0e1a24d5a131,perf_matmul,11994,11994,11994,11994,11994,11994,11911,11994,11994,11994
441254654994,perf_matmul,20293,20290,20290,20290,20290,20290,20290,20290,20290,20290
a757475a22e8,perf_matmul,35868,35868,35868,35868,35868,35868,35868,35868,35868,35868
eadfe74f3755,perf_matmul,53085,53085,53085,53085,53085,53085,53085,53085,53084,53085
9e8ccc1ad9d4,perf_matmul,70302,70303,70302,70302,70305,70302,70302,70305,70302,70302
24ceea849ede,perf_matmul,139166,139166,139166,139166,139169,139166,139164,139166,139166,139166
0111a29f3240,perf_matmul,137111,137111,137112,137111,137111,137111,137111,137111,137111,137111
6f29c573ee07,perf_matmul,544151,544151,544151,544151,544151,544151,544153,544151,544151,544158
3e0659488f34,perf_matmul,14362,14322,14322,14322,14322,14322,14322,14322,14322,14360
87854ae9d97b,perf_matmul,23875,23980,23980,23980,23980,23980,23980,23980,23837,24030
b69301013989,perf_matmul,25300,25292,25300,25292,25300,25300,25300,25300,25300,25300
b72f001c293c,perf_matmul,23956,24024,24024,24028,24028,24028,24028,24018,24024,24028
c2cb275764a2,perf_matmul,31271,31259,31271,31271,31271,31271,31271,31271,31271,31272
922e2b95b51e,perf_matmul,61127,61127,61127,61128,61127,61127,61088,61127,61127,61127
0f7badea3124,perf_matmul,223579,223581,223579,223579,223579,223579,223580,223579,223579,223579
c8308cdaadf9,perf_matmul,20032,20032,20036,20032,19995,19989,20009,20032,20023,20032
f8257c81acb8,perf_matmul,24633,24659,24633,24633,24633,24633,24624,24633,24633,24633
a6b0bd8bd4ad,perf_matmul,28367,28358,28357,28358,28358,28358,28358,28358,28358,28358
fb00de59d378,perf_matmul,34166,34166,34166,34199,34166,34172,34134,34166,34166,34166
26afc044d7bf,perf_matmul,37385,37385,37403,37403,37403,37381,37403,37403,37387,37403
8a20a1d6c7ff,perf_matmul,36361,36360,36361,36357,36361,36361,36361,36361,36361,36361
6432152d8765,perf_matmul,73478,73478,73478,73491,73477,73478,73478,73478,73474,73478
b6f4ecaa8294,perf_matmul,71432,71432,71432,71432,71432,71432,71435,71432,71432,71429
1467cb950be6,perf_matmul,281864,281864,281858,281864,281864,281864,281864,281864,281864,281864
18551856811f,perf_matmul,19133,19111,19133,19133,19133,19133,19132,19132,19133,19135
4480049b00f4,perf_matmul,33432,33432,33432,33432,33436,33432,33425,33432,33432,33432
9e7050bcd644,perf_matmul,40648,40643,40643,40650,40643,40643,40643,40643,40643,40643
c24845e6ad65,perf_matmul,53767,53767,53767,53767,53767,53767,53767,53762,53767,53762
32ee66161b09,perf_matmul,52739,52742,52739,52739,52739,52739,52739,52739,52739,52739
f66f596ed9f4,perf_matmul,104197,104193,104197,104197,104197,104201,104197,104198,104197,104198
62b5450aca9b,perf_matmul,22478,22482,22478,22478,22478,22478,22478,22486,22478,22478
68c75f5c6580,perf_matmul,43671,43670,43665,43665,43665,43665,43671,43665,43665,43665
9de60b023dbe,perf_matmul,52933,52933,52933,52933,52933,52933,52933,52937,52936,52933
5b690241eb80,perf_matmul,70153,70153,70153,70153,70147,70153,70152,70153,70152,70147
adc3fedfe03c,perf_matmul,69124,69124,69124,69124,69124,69124,69124,69121,69124,69120
241471787fa6,perf_matmul,136967,136967,136967,136967,136964,136964,136967,136967,136963,136967
440eb80ab64e,perf_matmul,19161,19166,19116,19160,19161,19160,19160,19163,19160,19160
098d9c489e27,perf_matmul,25330,25359,25330,25330,25330,25368,25323,25340,25330,25367
ca8bf4503423,perf_matmul,23687,23733,23749,23687,23687,23687,23687,23687,23682,23687
2958ff278c8e,perf_matmul,29981,29957,29983,29963,29957,29998,29962,29977,29981,29957
2e608a3cfebe,perf_matmul,31034,31055,31055,31055,31055,31055,31055,31055,31055,31157
5b18e8d4f69b,perf_matmul,32056,31637,31637,31644,31637,31637,31637,31637,31637,31637
fe75552c4d6d,perf_matmul,60869,60869,60869,60869,60923,60981,60869,60869,60869,60869
0fcf1a798e5e,perf_matmul,59021,59039,59039,59039,59447,59443,59033,59039,59039,59034
621582ac83ff,perf_matmul,223394,223383,223814,223394,223394,223394,223394,223395,223394,223383
554ddcfe5382,perf_matmul,27327,27327,27327,27327,27327,27328,27327,27327,27327,27327
ab1d7e654cb7,perf_matmul,53576,53576,53576,53576,53576,53576,53576,53576,53576,53576
fbdb89b154bb,perf_matmul,20999,21061,21061,21061,20945,21061,21061,21061,21061,21061
c193ba1b9dd8,perf_matmul,27364,27364,27364,27454,27364,27364,27364,27364,27454,27364
939f21c5999f,perf_matmul,53617,53617,53617,53617,53617,53617,53617,53617,53617,53617
2dd8a4c4b8c2,perf_matmul,26749,26749,26749,26749,26749,26749,26745,26749,26754,26749
4262b4658322,perf_matmul,35264,35264,35264,35264,35264,35264,35264,35264,35264,35264
1104d3cbd170,perf_matmul,69312,69312,69312,69312,69312,69312,69312,69314,69312,69312
33c45b4e132f,perf_matmul,27396,27396,27396,27396,27396,27397,27396,27330,27396,27396
6cce644f6f99,perf_matmul,53488,53488,53494,53488,53488,53488,53579,53488,53488,53488
0f18b7a5726a,perf_matmul,42056,42059,42055,42061,42056,42061,42056,42061,42061,42066
12e5fd983110,perf_matmul,55586,55594,55586,55595,55586,55586,55588,55586,55586,55662
e4d031497c9f,perf_matmul,92025,92027,91980,91929,91901,92016,92052,91963,91953,91922
c533af46a3a2,perf_matmul,109611,109611,109611,109611,109622,109595,109611,109611,109686,109611
581843007f63,perf_matmul,354721,354652,354705,354697,354681,354711,354708,354756,354605,354658
882683f32de0,perf_matmul,60483,60483,60483,60483,60483,60483,60483,60483,60483,60484
e8be7455cea4,perf_matmul,65713,65713,65713,65717,65713,65713,65713,65713,65713,65719
a2035e897a77,perf_matmul,80133,80137,80133,80135,80133,80133,80133,80133,80135,80133
ef0412442c31,perf_matmul,129969,129969,129969,129968,129969,129969,129969,129969,129974,129969
f2c654706f24,perf_matmul,515511,515511,515511,515503,515510,515511,515511,515511,515511,515510
1cf37b81d0a8,perf_matmul,78915,78915,78915,78915,78915,78916,78915,78915,78915,78915
6505cfada199,perf_matmul,86203,86191,86203,86203,86203,86203,86203,86203,86191,86192
63ac4d44e01e,perf_matmul,104707,104707,104707,104707,104710,104707,104707,104707,104705,104707
572444a62b1c,perf_matmul,170939,170939,170939,170939,170939,170939,170929,170939,170939,170928
bd4816a271d2,perf_matmul,679355,679345,679355,679355,679355,679355,679356,679355,679355,679355
7b14cc63e042,perf_matmul,36841,36714,36880,36876,36782,36880,36880,36880,36713,36886
a9d4694c039c,perf_matmul,39869,39868,39856,39868,39856,39863,39868,39848,39869,39827
8769a950dcc6,perf_matmul,75093,75207,75128,75118,75158,75129,75157,75152,75172,75117
c13537b80989,perf_matmul,65778,65745,65791,65694,65637,65793,65774,65939,65667,65779
e8fec6ccb7cf,perf_matmul,261753,261746,261746,261741,261750,261753,261753,261753,261751,261777
0c9abfc53593,perf_matmul,25804,25898,25804,25804,25804,25805,25804,25804,25805,25804
c29471cabd7b,perf_matmul,26863,26863,26863,26819,26863,26838,26863,26863,26863,26826
4a65920dc02c,perf_matmul,212346,212338,212346,212346,212348,212346,212346,212346,212336,212338
e2a858262933,perf_matmul,24693,24693,24693,24693,24693,24693,24693,24693,24693,24695
5a04a92df35e,perf_matmul,310617,310617,310617,310617,310612,310617,310617,310617,310617,310616
608962e97857,perf_matmul,25436,25420,25449,25449,25484,25449,25449,25449,25449,25449
455db6a8dd24,perf_matmul,408925,408925,408925,408925,408925,408925,408924,408925,408927,408925
647f5aa20eaa,perf_matmul,25214,25112,25224,25118,25120,25069,25112,25112,25112,25230
1977ad2c33ea,perf_matmul,27394,27325,27819,27394,27394,27420,27393,27393,27394,27400
561389a4871a,perf_matmul,210392,210439,210610,210392,210392,210392,210392,210392,210392,210392
34cc66cb3993,perf_matmul,25356,25343,25356,25348,25356,25348,25354,25348,25346,25361
ce8221d58bc5,perf_matmul,79513,79527,79526,79522,79526,79522,79531,79526,79523,79527
674dbd065d1e,perf_matmul,140197,140196,140197,140198,140196,140218,140204,140195,140193,140211
8c4dd96ed159,perf_matmul,126951,127006,126928,126924,127003,126970,126924,126980,126980,126978
c9909d0c77d9,perf_matmul,157873,157867,157877,157870,157866,157871,157881,157866,157881,157869
5496648e250b,perf_matmul,544216,544207,544239,544214,544226,544216,544209,544205,544224,544206
39e237debdc7,perf_matmul,501869,501902,501877,501955,501911,501841,501919,501931,501895,501879
06a66d0ddb39,perf_matmul,80252,80253,80252,80252,80254,80253,80252,80252,80252,80252
2258b01cbeff,perf_matmul,78915,78915,78915,78915,78916,78915,78915,78920,78917,78917
3905f25a3f8f,perf_matmul,106622,106617,106619,106622,106618,106623,106617,106618,106620,106618
f54f9272e7f3,perf_matmul,159839,159836,159825,159839,159838,159839,159839,159849,159834,159842
e145d38749e3,perf_matmul,156740,156741,156741,156739,156741,156740,156743,156740,156739,156739
407e6ff31528,perf_matmul,212092,212093,212097,212090,212091,212092,212095,212094,212091,212091
8683176a87a1,perf_matmul,626772,626781,626783,626783,626759,626775,626786,626784,626784,626776
da56dd6fb2fb,perf_matmul,623686,623691,623691,623692,623685,623697,623688,623694,623693,623689
92a61a2d5fb3,perf_matmul,104443,104448,104444,104442,104444,104448,104444,104444,104444,104444
ca0cd40641c7,perf_matmul,102912,102912,102912,102912,102912,102912,102912,102912,102912,102917
f85ea79db730,perf_matmul,138811,138810,138815,138816,138810,138810,138810,138811,138810,138816
7466f107be3f,perf_matmul,204594,204608,204596,204593,204590,204594,204593,204596,204595,204595
1fc2013c399c,perf_matmul,204544,204544,204544,204544,204544,204544,204544,204544,204544,204544
9f65c744f9cd,perf_matmul,276284,276282,276284,276282,276284,276284,276284,276286,276284,276282
c5cc201a0668,perf_matmul,814387,814387,814385,814387,814387,814386,814383,814385,814386,814387
651fa834e66d,perf_matmul,814336,814336,814336,814336,814336,814336,814336,814336,814336,814335
ace8a2ce9c41,perf_matmul,25497,25500,25497,25495,25497,25496,25518,25497,25497,25496
1ba3c9513961,perf_matmul,59411,59370,59366,59383,59376,59389,59393,59393,59390,59393
bdbefdae7161,perf_matmul,139722,139731,139706,139733,139732,139736,139723,139725,139725,139725
608708f4c66e,perf_matmul,126773,126776,126782,126777,126778,126791,126778,126773,126776,126783
c8a1743f4fe9,perf_matmul,116233,116228,116227,116218,116234,116231,116210,116232,116211,116248
fac6c99ff748,perf_matmul,543751,543764,543761,543725,543732,543770,543729,543720,543742,543744
3e052d650887,perf_matmul,501677,501661,501662,501692,501668,501665,501685,501688,501682,501666
6c907c03de40,perf_matmul,21064,21058,21059,21059,21061,21058,21058,21060,21058,21066
c3ba64c02c7e,perf_matmul,27590,27601,27590,27596,27590,27596,27592,27594,27596,27590
859c1feaee55,perf_matmul,53969,53965,53977,53966,53965,53966,53965,53983,53961,53965
6d06dfb6c844,perf_matmul,21481,21482,21468,21468,21468,21470,21468,21468,21468,21466
1d56d16ff91e,perf_matmul,28138,28160,28139,28140,28139,28141,28139,28140,28140,28131
4c4322d16d4e,perf_matmul,26697,26697,26697,26697,26697,26697,26697,26697,26698,26697
ffcf0ec35888,perf_matmul,35208,35211,35208,35206,35208,35208,35208,35208,35208,35208
185f91bf9ba7,perf_matmul,21137,21177,21159,21177,21174,21177,21177,21177,21147,21162
63f9d673ce4e,perf_matmul,27685,27685,27691,27685,27685,27678,27685,27689,27685,27685
0cf5b305b4c1,perf_matmul,54086,54071,54084,54079,54078,54080,54080,54070,54088,54092
432ec4066615,perf_matmul,10723,10723,10723,10723,10723,10723,10723,10723,10723,10723
323f847804a0,perf_matmul,15216,15317,15216,15216,15202,15214,15193,15214,15369,15216
4d20e62c032e,perf_matmul,19814,19814,19803,19806,19814,19814,19814,19814,19814,19816
04578f52c2ca,perf_matmul,36647,36649,36643,36656,36628,36640,36642,36638,36639,36639
8dab5c622a5f,perf_matmul,71459,71459,71466,71473,71471,71483,71469,71462,71458,71459
586fa1f3f6ab,perf_matmul,124281,124297,124280,124314,124279,124303,124294,124307,124307,124276
6794b0ba46f9,perf_matmul,486830,486830,486873,486846,486832,486814,486837,486859,486849,486845
e87d2ea8b925,perf_matmul,652325,652313,652353,652295,652343,652325,652335,652343,652304,652339
75e1b8f13537,perf_matmul,10226,10249,10249,10249,10249,10249,10226,10226,10249,10249
5140890676e0,perf_matmul,30727,30718,30719,30719,30719,30719,30719,30727,30720,30720
f4c96f3b6f9f,perf_matmul,40510,40513,40511,40511,40512,40511,40511,40512,40515,40511
a695b226e060,perf_matmul,79938,79945,79937,79938,79938,79938,79946,79939,79938,79939
dcda6de26201,perf_matmul,159942,159947,159948,159946,159945,159946,159948,159950,159947,159945
ea1fba45d5e9,perf_matmul,636116,636128,636117,636115,636110,636118,636109,636113,636106,636119
a793d63134e4,perf_matmul,827941,827944,827965,827969,827968,827970,827966,827904,827966,827966
4da34ff83c09,perf_matmul,10253,10253,10253,10253,10253,10253,10276,10253,10253,10253
d7f180e2e097,perf_matmul,39486,39486,39486,39486,39486,39487,39486,39486,39486,39486
d9faca8fb655,perf_matmul,52216,52216,52216,52216,52216,52216,52216,52216,52221,52216
f3730a1f1144,perf_matmul,103160,103160,103160,103160,103160,103160,103165,103160,103160,103160
a1772c4f6d1b,perf_matmul,207750,207753,207751,207750,207750,207750,207750,207750,207751,207750
ef94c03a7286,perf_matmul,826761,826758,826758,826758,826761,826758,826758,826758,826761,826761
4a467b52ba2d,perf_matmul,1084885,1084887,1084887,1084887,1084887,1084887,1084887,1084887,1084887,1084887
0011682f7c0c,perf_matmul,10884,10851,10882,10882,10884,10821,10882,10851,10884,10882
b7a169c8f239,perf_matmul,15844,15869,15844,15862,15844,15844,15844,15844,15844,15844
7490a3439a64,perf_matmul,19970,19957,19960,19956,19975,19962,19968,19958,19962,19962
ddf55ff3e776,perf_matmul,36724,36718,36718,36718,36718,36723,36717,36726,36721,36728
7e6dd1f20288,perf_matmul,71551,71541,71551,71552,71549,71547,71538,71548,71540,71550
fd7d36f261c7,perf_matmul,102577,102575,102574,102575,102565,102567,102584,102580,102584,102575
3eb61adc6df7,perf_matmul,395972,395964,395956,395971,395972,395983,395967,395981,395971,395990
a816b2ee72e3,perf_matmul,651674,651659,651633,651662,651666,651664,651661,651694,651648,651621
b8e4cc7a4f46,perf_matmul,14653,14653,14653,14664,14653,14653,14653,14653,14653,14653
0bfca76fda81,perf_matmul,22964,22964,22965,22964,22965,22965,22964,22965,22924,22965
aea3b8d10e0a,perf_matmul,21123,21123,21127,21123,21127,21127,21127,21127,21127,21127
39c6954538a2,perf_matmul,27531,27531,27531,27588,27531,27531,27531,27531,27531,27554
75b6fd5a61fa,perf_matmul,32009,32015,32025,32009,32026,32025,32055,32026,32015,32026
a3f99d876422,perf_matmul,41153,41152,41152,41153,41152,41150,41176,41152,41152,41152
45766c1481c6,perf_matmul,14789,14789,14789,14789,14789,14789,14789,14789,14789,14789
0acef67c3367,perf_matmul,24586,24608,24608,24608,24596,24608,24600,24608,24584,24608
9c1ef8ce9abf,perf_matmul,21444,21444,21435,21444,21444,21444,21444,21444,21444,21444
615f10b809f6,perf_matmul,34453,34453,34453,34454,34453,34451,34441,34454,34460,34454
edb39c4da2f6,perf_matmul,18313,18313,18313,18313,18313,18311,18312,18313,18313,18313
19e93c278c53,perf_matmul,27075,27075,27075,27075,27078,27075,27084,27075,27075,27075
a61aea9f2db9,perf_matmul,26825,26823,26823,26823,26823,26823,26823,26823,26823,26823
6ebcd0d27a9c,perf_matmul,39811,39815,39811,39811,39811,39811,39830,39821,39811,39811
fd1127532b90,perf_matmul,14804,14505,14804,14804,14804,14804,14804,14804,14804,14804
b3d5811db7bf,perf_matmul,22611,22650,22537,22611,22611,22611,22611,22611,22611,22611
98e15f770efe,perf_matmul,21053,21056,21053,21053,21066,21053,21053,21053,21053,21053
c1fff86f06ed,perf_matmul,27577,27577,27577,27577,27577,27577,27577,27577,27577,27577
063e65ebe2f3,perf_matmul,31157,31167,31262,31157,31166,31157,31278,31249,31177,31157
c192c377f093,perf_matmul,40396,40394,40326,40395,40440,40395,40278,40407,40418,40231
9e0c153dcf58,perf_matmul,28726,28710,28726,28726,28722,28726,28724,28726,28708,28726
b80b83f59890,perf_matmul,19694,19704,19718,19718,19718,19710,19703,19718,19694,19718
1523e8a544a4,perf_matmul,28060,28041,28040,28040,28041,28053,28068,28051,28053,28053
f49b8d85bee7,perf_matmul,99274,99269,99266,99273,99276,99280,99264,99268,99254,99271
f12cdbe084dd,perf_matmul,121648,121648,121656,121645,121673,121621,121633,121674,121703,121639
eead2ce36062,perf_matmul,378844,378845,378840,378848,378855,378839,378843,378838,378837,378842
dff8d9afa13b,perf_matmul,463100,463134,463011,463225,462923,463189,462981,463024,463060,463108
a5a4e35777c7,perf_matmul,11306,11200,11200,11200,11306,11200,11200,11200,11200,11353
b81936eee0eb,perf_matmul,20917,20925,20925,20917,20917,20917,20917,20917,20917,20925
8600803d8998,perf_matmul,30657,30659,30657,30657,30660,30659,30657,30659,30657,30659
b07a683910d3,perf_matmul,56890,56896,56889,56891,56875,56890,56881,56901,56886,56883
3daaab35ffbc,perf_matmul,109130,109137,109131,109128,109129,109108,109107,109132,109101,109101
643bf62decdd,perf_matmul,135921,135925,135909,135905,135923,135906,135883,135888,135906,135905
42076b1cc740,perf_matmul,422470,422470,422476,422463,422461,422458,422471,422467,422472,422469
716e10d5a94a,perf_matmul,526051,526045,526049,526070,526071,526066,526070,526058,526081,526088
7b7953fc6da9,perf_matmul,14021,14021,14021,14023,14021,14021,14019,14021,14021,14021
820077a4cc9f,perf_matmul,26752,26752,26752,26752,26758,26752,26752,26752,26752,26752
a4a9d7b25123,perf_matmul,39487,39487,39487,39487,39493,39487,39487,39487,39488,39494
0e09d3b9b9b4,perf_matmul,69220,69223,69212,69211,69231,69236,69211,69211,69232,69218
ddd4af778dc6,perf_matmul,137112,137123,137077,137077,137091,137083,137071,137075,137080,137084
ed4ecaf71e85,perf_matmul,171694,171689,171716,171692,171693,171690,171689,171690,171690,171699
047fcdb0c665,perf_matmul,544139,544109,544094,544143,544123,544143,544103,544089,544122,544094
7a455553dc12,perf_matmul,680106,680103,680093,680112,680103,680103,680118,680105,680107,680104
6f080b9fd375,perf_matmul,29283,29272,29274,29312,29261,29292,29271,29277,29278,29293
45a5a510161e,perf_matmul,19438,19438,19438,19438,19489,19438,19477,19438,19438,19440
49c48776511e,perf_matmul,27956,28115,27952,27952,27941,27952,27953,28060,27939,27976
9d399046854c,perf_matmul,99735,99730,99742,99735,99733,99741,99729,99721,99742,99736
0321cd5cd85f,perf_matmul,122066,122076,122098,122060,122088,122067,122087,122083,122061,122091
1fc95e0346d2,perf_matmul,379338,379327,379351,379359,379329,379343,379322,379342,379360,379347
f6a15b46d379,perf_matmul,461617,461640,461608,461632,461612,461622,461640,461624,461617,461631
f81d11704090,perf_matmul,15169,15170,15169,15169,15171,15188,15215,15169,15152,15186
50501a248c82,perf_matmul,21821,21824,21824,21824,21821,21808,21822,21821,21824,21825
0465a35df0b5,perf_matmul,28490,28481,28481,28481,28481,28481,28480,28481,28482,28464
d173e1bc01a7,perf_matmul,16050,16051,16050,16050,16050,16050,16050,16055,16050,16025
ca01d1f50f3f,perf_matmul,22867,22861,22867,22867,22867,22853,22867,22867,22867,22867
27545f8c68d2,perf_matmul,18247,18247,18247,18249,18247,18247,18247,18247,18248,18247
d6cca979d46e,perf_matmul,26761,26761,26754,26761,26754,26761,26763,26761,26761,26761
c3019b731c31,perf_matmul,15970,15862,15970,15970,15970,15970,15970,15969,15878,15970
d360a902dced,perf_matmul,22193,22191,22206,22198,22206,22206,22193,22206,22208,22194
04d7df4e078d,perf_matmul,28950,28955,28943,28954,28949,28963,28961,28950,28956,28955
3b05e438132e,perf_matmul,20230,20265,20265,20251,20267,20261,20293,20265,20263,20265
d2db1bdb413c,perf_matmul,24590,24593,24602,24602,24602,24602,24610,24586,24602,24602
f26a850644de,perf_matmul,31200,31196,31201,31277,31200,31215,31196,31195,31234,31232
efefc1d3599e,perf_matmul,27220,27237,27153,27200,27202,27192,27200,27200,27187,27219
b03fc5d168b9,perf_matmul,38757,38832,38855,38866,38722,38855,38789,38851,38691,38863
d91e86dc1f63,perf_matmul,54195,54298,54114,54105,54117,54146,54163,54090,54028,53927
cb2384978fbd,perf_matmul,66775,66748,66755,66742,66753,66776,66782,66768,66750,66736
8af4a32aa47c,perf_matmul,86863,86828,86859,86836,86865,86863,86791,86870,86892,86909
90437cc3ce89,perf_matmul,19013,19048,19086,19013,19013,19013,19048,19177,19198,19091
b003828e440b,perf_matmul,25220,25220,25194,25222,25196,25207,25192,25192,25192,25194
49fd0acb6408,perf_matmul,28214,28244,28250,28260,28236,28205,28240,28263,28260,28260
02930467be9b,perf_matmul,41948,41952,41951,41951,41932,41943,41934,41949,41951,41951
858227d61381,perf_matmul,56034,55756,55906,55743,55856,55843,55801,55959,55580,55851
033dcae4db89,perf_matmul,81498,81432,81486,81454,81450,81431,81454,81434,81450,81439
f466c550c373,perf_matmul,107857,107820,107783,107784,107755,107848,107760,107788,107773,107781
a4ed90a8e158,perf_matmul,19374,19447,19445,19375,19369,19374,19378,19380,19384,19374
5be3a6fa8607,perf_matmul,26923,26923,26896,26923,26923,26923,26923,26923,26940,26923
01547e101546,perf_matmul,35400,35400,35400,35400,35400,35400,35401,35400,35400,35400
fe968d914f47,perf_matmul,52322,52322,52322,52322,52322,52322,52322,52322,52322,52322
e167e633bd88,perf_matmul,70734,70742,70761,70752,70778,70779,70767,70783,70780,70774
5674fa1d7ffa,perf_matmul,105115,105093,105083,105119,105114,105108,105137,105110,105110,105117
4420f8ebe8fc,perf_matmul,139480,139479,139499,139462,139483,139489,139480,139480,139480,139481
