  auipc	gp,0xffafb
  bltu	a0,a4,63c0 <ckernel::unpacker::is_unpacker_format_conversion_supported_fp32_acc(DataFormat, DataFormat, bool)+0xe4>
  ret
  andi	a1,a1,239
  addi	a1,a1,-14
  seqz	a0,a1
  ret
  li	a0,0
  ret
  li	a4,9
  mv	a5,a0
  beq	a0,a4,65a8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x160>
  bltu	a4,a0,6484 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x3c>
  li	a4,4
  beq	a0,a4,654c <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x104>
  bgeu	a4,a0,6528 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xe0>
  li	a3,8
  beq	a0,a3,64c8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x80>
  li	a3,5
  bne	a0,a3,6588 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x140>
  beq	a1,a4,64f8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xb0>
  addi	a1,a1,-5
  seqz	a0,a1
  ret
  li	a4,24
  beq	a0,a4,6570 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x128>
  bltu	a4,a0,6500 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xb8>
  li	a4,14
  beq	a0,a4,64d8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x90>
  bltu	a4,a0,6580 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x138>
  addi	a4,a0,-10
  zext.b	a4,a4
  li	a3,1
  li	a0,0
  bltu	a3,a4,65b4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x16c>
  sub	a5,a5,a1
  addi	a1,a1,-1
  seqz	a5,a5
  seqz	a1,a1
  or	a0,a1,a5
  ret
  addi	a1,a1,-8
  seqz	a1,a1
  and	a0,a2,a1
  ret
  li	a4,5
  li	a0,1
  beq	a1,a4,64f4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xac>
  beq	a1,a5,64f4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xac>
  li	a5,4
  beq	a1,a5,64f8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xb0>
  li	a0,0
  ret
  xori	a0,a2,1
  ret
  li	a4,26
  beq	a0,a4,64b0 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x68>
  addi	a5,a0,-30
  andi	a1,a1,239
  addi	a1,a1,-14
  seqz	a5,a5
  seqz	a0,a1
  neg	a5,a5
  and	a0,a0,a5
  ret
  bnez	a0,64b0 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0x68>
  li	a5,1
  mv	a0,a1
  beq	a1,a5,64f4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xac>
  mv	a0,a2
  bgeu	a5,a1,64f4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xac>
  addi	a1,a1,-4
  sltiu	a0,a1,2
  ret
  beq	a1,a0,64f8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xb0>
  addi	a0,a1,-5
  seqz	a0,a0
  bltu	a5,a1,64f4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xac>
  mv	a0,a2
  beqz	a1,64f4 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xac>
  addi	a1,a1,-1
  seqz	a0,a1
  ret
  addi	a1,a1,-24
  seqz	a1,a1
  and	a0,a2,a1
  ret
  li	a4,15
  bne	a0,a4,64f0 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xa8>
  li	a4,4
  beq	a1,a4,64f8 <ckernel::unpacker::is_unpacker_format_conversion_supported_dest(DataFormat, DataFormat, bool)+0xb0>
  sub	a5,a5,a1
  addi	a1,a1,-5
  seqz	a5,a5
  sltiu	a1,a1,2
  or	a0,a1,a5
  ret
  addi	a1,a1,-9
  seqz	a0,a1
  ret
  ret
  addi	sp,sp,-64
  sw	s5,36(sp)
  addi	s5,gp,-1984
  lw	a5,0(s5)
  sw	ra,60(sp)
  sw	s0,56(sp)
  sw	s1,52(sp)
  sw	s2,48(sp)
  sw	s3,44(sp)
  sw	s4,40(sp)
  sw	s6,32(sp)
  sw	s7,28(sp)
  beqz	a5,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lui	a4,0x7c867
  lw	a3,4(s5)
  addi	a4,a4,-839
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a3,1
  beq	a5,a3,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a3,8(s5)
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a3,2
  beq	a5,a3,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a3,12(s5)
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a3,3
  beq	a5,a3,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a3,16(s5)
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a3,4
  beq	a5,a3,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a3,20(s5)
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a4,5
  beq	a5,a4,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lui	a4,0x7c867
  lw	a3,24(s5)
  addi	a4,a4,-839
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a3,6
  beq	a5,a3,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a3,28(s5)
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a3,7
  beq	a5,a3,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a3,32(s5)
  beq	a3,a4,667c <run_kernel(RuntimeParams const&)+0xc4>
  li	a4,8
  bne	a5,a4,6c5c <run_kernel(RuntimeParams const&)+0x6a4>
  lw	a4,-2036(gp)
  lw	a5,32(a4)
  zext.b	a5,a5
  bnez	a5,66a0 <run_kernel(RuntimeParams const&)+0xe8>
  nop
  lw	a4,-2036(gp)
  lw	a5,32(a4)
  zext.b	a5,a5
  beqz	a5,668c <run_kernel(RuntimeParams const&)+0xd4>
  lw	a5,32(a4)
  zext.b	a5,a5
  beqz	a5,6ce4 <run_kernel(RuntimeParams const&)+0x72c>
  li	a2,1
  sw	a2,32(a4)
  sb	zero,0(sp)
  lw	a5,-2012(gp)
  lw	a3,-2016(gp)
  li	a1,3
  add	a4,a5,a3
  addi	a4,a4,-1021
  bgeu	a1,a4,6714 <run_kernel(RuntimeParams const&)+0x15c>
  lui	a4,0xffb12
  lw	a1,496(a4)
  lw	a4,504(a4)
  sb	a2,0(sp)
  lui	a2,0xffb00
  lw	a2,0(a2)
  lui	a0,0xaa3a0
  slli	a4,a4,0x14
  srli	a4,a4,0x14
  or	a4,a4,a0
  addi	a3,a3,1
  sh2add	a2,a5,a2
  sw	a4,0(a2)
  addi	a5,a5,2
  sw	a3,-2016(gp)
  sw	a1,4(a2)
  sw	a5,-2012(gp)
  li	a1,6
  mv	a0,a1
  li	a2,1
  jal	62dc <ckernel::unpacker::is_unpacker_format_conversion_supported_fp32_acc(DataFormat, DataFormat, bool)>
  beqz	a0,6cf0 <run_kernel(RuntimeParams const&)+0x738>
  lw	a4,-2036(gp)
  lw	a5,52(a4)
  zext.b	a5,a5
  bnez	a5,672c <run_kernel(RuntimeParams const&)+0x174>
  ttsetadcxy	3,0,0,0,0,11
  ttsetadczw	3,0,0,0,0,15
  lw	a4,-2000(gp)
  lui	a5,0xffef0
  beqz	a4,6750 <run_kernel(RuntimeParams const&)+0x198>
  addi	a5,a5,896
  li	a1,256
  sw	a1,228(a5)
  sw	a1,236(a5)
  ttatgetm	0
  lui	s6,0xffe40
  mv	s6,s6
  lui	a4,0xb3ff0
  sw	a4,0(s6)
  lui	a4,0xb47f0
  sw	a4,0(s6)
  lui	a4,0xb3070
  addi	a4,a4,1
  sw	a4,0(s6)
  lui	a4,0xb4800
  addi	a4,a4,1
  sw	a4,0(s6)
  lui	a4,0xb5010
  addi	a4,a4,1
  sw	a4,0(s6)
  lui	a4,0xb3010
  addi	a4,a4,2
  sw	a4,0(s6)
  lui	a4,0xb5400
  addi	a3,a4,71
  sw	a3,0(s6)
  addi	a4,a4,119
  sw	a4,0(s6)
  ttatrelm	0
  li	a4,22
  sw	a4,256(a5)
  lui	a4,0x40
  addi	a4,a4,1
  lui	a3,0x1000
  sw	a4,260(a5)
  addi	a2,a3,22
  sw	a2,448(a5)
  sw	a4,452(a5)
  li	a2,38
  lui	a4,0xf0
  sw	a2,288(a5)
  addi	a4,a4,15
  sw	a4,292(a5)
  sw	a2,480(a5)
  sw	a4,484(a5)
  lui	a4,0x5e240
  addi	a4,a4,-1024
  sw	a4,0(s6)
  lui	a4,0x5e440
  addi	a4,a4,-1024
  lui	a2,0x400
  sw	a4,0(s6)
  addi	a2,a2,64
  sw	a2,336(a5)
  lw	a4,-2040(gp)
  add	a3,a3,a1
  sw	a3,344(a5)
  lui	a0,0x800
  sw	a3,160(a4)
  addi	a3,a0,128
  sw	a3,164(a4)
  lui	a3,0x200
  sw	a2,168(a4)
  addi	a2,a3,32
  lui	a3,0x100
  sw	a2,172(a4)
  addi	a3,a3,16
  sw	a3,176(a4)
  sw	zero,8(sp)
  lw	a4,176(a4)
  sw	a4,8(sp)
  ttsetc16	5,4
  sw	a1,200(a5)
  sw	zero,-1988(gp)
  ttsetc16	41,0
  lui	a5,0x45000
  addi	a3,a5,72
  sw	a3,0(s6)
  lui	a4,0x2021
  addi	a5,a5,74
  addi	a4,a4,16
  sw	a5,0(s6)
  addi	a0,sp,4
  sw	a4,4(sp)
  jal	627c <ckernel::validate_tensor_shape_tile_dependent_ops_(ckernel::TensorShape const&)>
  beqz	a0,6cfc <run_kernel(RuntimeParams const&)+0x744>
  lui	a5,0xb4010
  addi	a5,a5,72
  sw	a5,0(s6)
  ttsetadcxx	3,255,0
  lw	a5,4(sp)
  addi	a0,sp,12
  srli	s7,a5,0x10
  sw	a5,12(sp)
  zext.b	s7,s7
  srli	s6,a5,0x18
  jal	627c <ckernel::validate_tensor_shape_tile_dependent_ops_(ckernel::TensorShape const&)>
  beqz	a0,6cdc <run_kernel(RuntimeParams const&)+0x724>
  lw	a5,-2036(gp)
  li	a3,0
  addi	a5,a5,8
  sw	a3,0(a5)
  lw	a3,0(a5)
  and	zero,zero,a3
  lui	a5,0xffb80
  sw	s7,0(a5)
  sw	s6,4(a5)
  lui	a3,0x2000
  sw	a3,8(a5)
  sw	a3,12(a5)
  lui	a2,0x42008
  sw	a3,16(a5)
  addi	a2,a2,193
  lui	a3,0x42808
  sw	a2,20(a5)
  addi	a3,a3,193
  sw	a3,24(a5)
  sw	a3,28(a5)
  sw	a3,32(a5)
  lw	a3,-2036(gp)
  li	a5,0
  addi	a4,a3,4
  sw	a5,0(a4)
  lw	a5,0(a4)
  and	zero,zero,a5
  lbu	a5,0(sp)
  beqz	a5,6990 <run_kernel(RuntimeParams const&)+0x3d8>
  lui	a5,0xffb12
  lw	a1,496(a5)
  lw	a5,504(a5)
  lui	a4,0xffb00
  lw	a3,0(a4)
  lw	a2,-2016(gp)
  lw	a4,-2012(gp)
  lui	a0,0xba3a0
  slli	a5,a5,0x14
  srli	a5,a5,0x14
  or	a5,a5,a0
  sh2add	a3,a4,a3
  sw	a5,0(a3)
  addi	a4,a4,2
  addi	a5,a2,-1
  sw	a1,4(a3)
  sw	a4,-2012(gp)
  sw	a5,-2016(gp)
  lw	a4,-2036(gp)
  lw	a5,40(a4)
  zext.b	a5,a5
  bnez	a5,69b4 <run_kernel(RuntimeParams const&)+0x3fc>
  nop
  lw	a4,-2036(gp)
  lw	a5,40(a4)
  zext.b	a5,a5
  beqz	a5,69a0 <run_kernel(RuntimeParams const&)+0x3e8>
  lw	a5,40(a4)
  zext.b	a5,a5
  beqz	a5,6d38 <run_kernel(RuntimeParams const&)+0x780>
  li	a3,1
  sw	a3,40(a4)
  lw	a5,0(s5)
  beqz	a5,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lui	a4,0xbd77
  lw	a2,4(s5)
  addi	a4,a4,-244
  beq	a2,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  beq	a5,a3,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a3,8(s5)
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a3,2
  beq	a5,a3,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a3,12(s5)
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a3,3
  beq	a5,a3,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a3,16(s5)
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a3,4
  beq	a5,a3,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a3,20(s5)
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a4,5
  beq	a5,a4,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lui	a4,0xbd77
  lw	a3,24(s5)
  addi	a4,a4,-244
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a3,6
  beq	a5,a3,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a3,28(s5)
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a3,7
  beq	a5,a3,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a3,32(s5)
  beq	a3,a4,6a5c <run_kernel(RuntimeParams const&)+0x4a4>
  li	a4,8
  bne	a5,a4,6cc0 <run_kernel(RuntimeParams const&)+0x708>
  lw	a4,-2036(gp)
  lw	a5,32(a4)
  zext.b	a5,a5
  bnez	a5,6a80 <run_kernel(RuntimeParams const&)+0x4c8>
  nop
  lw	a4,-2036(gp)
  lw	a5,32(a4)
  zext.b	a5,a5
  beqz	a5,6a6c <run_kernel(RuntimeParams const&)+0x4b4>
  lw	a5,32(a4)
  zext.b	a5,a5
  beqz	a5,6d2c <run_kernel(RuntimeParams const&)+0x774>
  li	a2,1
  sw	a2,32(a4)
  sb	zero,12(sp)
  lw	a5,-2012(gp)
  lw	a3,-2016(gp)
  li	a1,3
  add	a4,a3,a5
  addi	a4,a4,-1021
  bgeu	a1,a4,6af4 <run_kernel(RuntimeParams const&)+0x53c>
  lui	a4,0xffb12
  lw	a1,496(a4)
  lw	a4,504(a4)
  sb	a2,12(sp)
  lui	a2,0xffb00
  lw	a2,0(a2)
  lui	a0,0xa99a8
  slli	a4,a4,0x14
  srli	a4,a4,0x14
  or	a4,a4,a0
  addi	a3,a3,1
  sh2add	a2,a5,a2
  sw	a4,0(a2)
  addi	a5,a5,2
  sw	a3,-2016(gp)
  sw	a1,4(a2)
  sw	a5,-2012(gp)
  lui	t3,0x2
  lui	t1,0x3
  lw	a4,-2036(gp)
  lw	a1,-1988(gp)
  addi	t3,t3,255
  addi	t1,t1,255
  li	a2,0
  lui	t0,0xffef0
  li	t6,14
  li	a6,1
  lui	t4,0x1
  lui	t5,0x10
  srli	a5,a2,0x4
  add	a7,a5,t3
  add	a3,a5,t1
  ttsetadczw	3,0,0,0,0,15
  lw	a5,-2000(gp)
  lui	a0,0xffef0
  beqz	a5,6b44 <run_kernel(RuntimeParams const&)+0x58c>
  addi	a0,t0,896
  lw	a5,52(a4)
  andi	a5,a5,254
  bnez	a5,6b44 <run_kernel(RuntimeParams const&)+0x58c>
  bnez	a1,6c78 <run_kernel(RuntimeParams const&)+0x6c0>
  sw	a7,304(a0)
  sw	a3,496(a0)
  lw	a5,52(a4)
  mv	a3,a1
  zext.b	a5,a5
  bltu	t6,a5,6c90 <run_kernel(RuntimeParams const&)+0x6d8>
  sw	zero,52(a4)
  ttstallwait	8,1024
  ttmop	1,0,0
  ttsemget	32
  sub	a1,a6,a3
  sw	a1,-1988(gp)
  beq	a3,a6,6cb8 <run_kernel(RuntimeParams const&)+0x700>
  ttsetc16	41,257
  add	a2,a2,t4
  bne	a2,t5,6b24 <run_kernel(RuntimeParams const&)+0x56c>
  li	a5,0
  addi	a4,a4,4
  sw	a5,0(a4)
  lw	a5,0(a4)
  and	zero,zero,a5
  lbu	a5,12(sp)
  beqz	a5,6bf8 <run_kernel(RuntimeParams const&)+0x640>
  lui	a5,0xffb12
  lw	a1,496(a5)
  lw	a5,504(a5)
  lui	a4,0xffb00
  addi	t4,t4,-1
  lw	a3,0(a4)
  lw	a2,-2016(gp)
  lw	a4,-2012(gp)
  lui	a0,0xb99a8
  and	a5,a5,t4
  or	a5,a5,a0
  sh2add	a3,a4,a3
  addi	a4,a4,2
  sw	a5,0(a3)
  addi	a5,a2,-1
  sw	a1,4(a3)
  sw	a4,-2012(gp)
  sw	a5,-2016(gp)
  lw	a4,-2036(gp)
  lw	a5,40(a4)
  zext.b	a5,a5
  bnez	a5,6c1c <run_kernel(RuntimeParams const&)+0x664>
  nop
  lw	a4,-2036(gp)
  lw	a5,40(a4)
  zext.b	a5,a5
  beqz	a5,6c08 <run_kernel(RuntimeParams const&)+0x650>
  lw	a5,40(a4)
  zext.b	a5,a5
  beqz	a5,6d20 <run_kernel(RuntimeParams const&)+0x768>
  li	a5,1
  sw	a5,40(a4)
  lw	ra,60(sp)
  lw	s0,56(sp)
