GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
44035,,,3,blackhole,,32,110,,,213,5230,15000575660693,15000575667753,4279,15000575661806,15000575667582,4279,15000575661806,15000575667582,4279,3973,,,,,1915795,1915795
45059,,,3,blackhole,,8,110,,,162,1627,15000578458019,15000578460216,1100,15000578458588,15000578460073,1100,15000578458588,15000578460073,991,781,,,,,2067412,2067412
46083,,,3,blackhole,,80,110,,,201,20859,15000583491754,15000583519914,20268,15000583492403,15000583519765,20244,15000583492435,15000583519765,20171,16349,19292,19331,19591,,3727625,3727594
47107,,,3,blackhole,,110,110,,,207,1427,15000586405885,15000586407812,809,15000586406545,15000586407637,809,15000586406545,15000586407637,188,258,712,466,803,,2138649,2138649
48131,,,3,blackhole,,8,110,,,376,6689,15000586628847,15000586637877,5735,15000586629960,15000586637702,5673,15000586630043,15000586637702,4205,5155,5675,5428,5618,,164689,164736
49155,,,3,blackhole,,80,110,,,207,92976,15000592179479,15000592304997,92397,15000592180119,15000592304855,92375,15000592180149,15000592304855,92323,79230,90107,90171,90438,,4105492,4105525
50179,,,3,blackhole,,8,110,,,86,4343,15000594688697,15000594694560,3850,15000594689211,15000594694409,3850,15000594689211,15000594694409,3816,91,,,,,1766020,1766020
51203,,,3,blackhole,,110,110,,,164,3667,15000597262635,15000597267585,3090,15000597263272,15000597267443,3090,15000597263272,15000597267443,3080,2818,,,,,1903090,1903090
52227,,,3,blackhole,,110,110,,,173,3625,15000597842883,15000597847777,3033,15000597843541,15000597847635,3033,15000597843541,15000597847635,3033,2779,,,,,426797,426797
53251,,,3,blackhole,,110,110,,,178,5210,15000603551626,15000603558660,4616,15000603552280,15000603558512,4616,15000603552280,15000603558512,4598,2216,2250,4343,3384,,4225392,4225392
54275,,,3,blackhole,,110,110,,,186,7670,15000609324803,15000609335158,7099,15000609325434,15000609335017,7099,15000609325434,15000609335017,7058,4361,4406,5051,6363,,4272084,4272084
55299,,,3,blackhole,,80,110,,,190,47977,15000614922954,15000614987723,47399,15000614923589,15000614987577,47377,15000614923618,15000614987577,47325,42433,46479,46515,46765,,4139725,4139701
56323,,,3,blackhole,,110,110,,,181,1401,15000615138827,15000615140719,793,15000615139470,15000615140540,793,15000615139470,15000615140540,173,256,700,457,776,,112571,112571
57347,0,1,3,blackhole,,8,110,,,110,1501,15000632454558,15000632456584,1006,15000632455075,15000632456433,1006,15000632455075,15000632456433,959,992,,,,,12826526,12826526
57347,0,2,3,blackhole,,8,110,,,97,1519,15000633730175,15000633732226,1015,15000633730699,15000633732069,1015,15000633730699,15000633732069,969,1007,,,,,193786,193786
58371,0,1,3,blackhole,,8,110,,,375,6749,15000632460402,15000632469513,5749,15000632461562,15000632469323,5704,15000632461623,15000632469323,4213,5192,5704,5445,5659,,3799,3845
58371,0,2,3,blackhole,,8,110,,,386,6764,15000633735988,15000633745120,5780,15000633737128,15000633744931,5709,15000633737224,15000633744931,4196,5177,5707,5474,5641,,3747,3819
59395,0,1,3,blackhole,,80,110,,,1179,56614,15000632467510,15000632543939,54567,15000632470124,15000632543790,54565,15000632470127,15000632543790,54550,41827,53150,53077,53373,,593,596
