GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
58371,,,3,blackhole,,1,110,,,2,1489,1442133055661,1442133057671,933,1442133056256,1442133057516,933,1442133056256,1442133057516,931,926,,,,,117629,117629
59395,,,3,blackhole,,16,110,,,205,2980,1442135686295,1442135690318,2288,1442135687087,1442135690176,2288,1442135687087,1442135690176,2288,2239,,,,,1947704,1947704
60419,,,3,blackhole,,16,110,,,96,2884,1442137336162,1442137340055,2196,1442137336941,1442137339906,2196,1442137336941,1442137339906,2196,133,,,,,1219661,1219661
61443,,,3,blackhole,,8,110,,,104,2453,1442139078239,1442139081550,1954,1442139078767,1442139081405,1954,1442139078767,1442139081405,1908,1940,,,,,1287996,1287996
62467,,,3,blackhole,,80,110,,,207,52527,1442144855716,1442144926627,51950,1442144856352,1442144926484,51926,1442144856384,1442144926484,51856,48899,51043,51046,51264,,4277769,4277768
63491,,,3,blackhole,,8,110,,,91,1485,1442145213402,1442145215407,998,1442145213907,1442145215254,998,1442145213907,1442145215254,961,98,,,,,212953,212953
64515,,,3,blackhole,,88,110,,,155,2416,1442147861360,1442147864621,1392,1442147862601,1442147864480,1392,1442147862601,1442147864480,1392,970,,,,,1961207,1961207
65539,,,3,blackhole,,1,110,,,215,44590,1442148051849,1442148112046,44064,1442148052413,1442148111900,43941,1442148052579,1442148111900,43850,26796,43299,43164,43393,,139208,139331
66563,,,3,blackhole,,110,110,,,171,2643,1442153596483,1442153600051,2060,1442153597123,1442153599904,2056,1442153597128,1442153599904,2028,1594,1597,273,383,,4063128,4062546
67587,,,3,blackhole,,1,110,,,191,44483,1442153762314,1442153822366,43930,1442153762907,1442153822212,43802,1442153763079,1442153822212,43739,26798,43180,43053,43295,,120744,120870
68611,,,3,blackhole,,4,110,,,55,1662,1442155470721,1442155472965,1113,1442155471283,1442155472785,1113,1442155471283,1442155472785,1074,1105,,,,,1221981,1221981
69635,,,3,blackhole,,80,110,,,210,31964,1442161054037,1442161097189,31379,1442161054680,1442161097042,31359,1442161054707,1442161097042,31313,24241,29959,29950,30181,,4134703,4134723
70659,,,3,blackhole,,4,110,,,25,1942,1442161369212,1442161371834,1416,1442161369773,1442161371685,1416,1442161369773,1442161371685,1399,57,,,,,201981,201981
71683,,,3,blackhole,,66,110,,,125,2239,1442161739393,1442161742416,1233,1442161740611,1442161742276,1233,1442161740611,1442161742276,1233,858,,,,,273205,273205
72707,,,3,blackhole,,66,110,,,127,2305,1442162107959,1442162111071,1306,1442162109167,1442162110930,1306,1442162109167,1442162110930,1304,884,,,,,271787,271787
73731,,,3,blackhole,,110,110,,,189,2190,1442167689694,1442167692651,1601,1442167690341,1442167692502,1599,1442167690344,1442167692502,1571,876,916,1026,388,,4133566,4134144
74755,,,3,blackhole,,110,110,,,172,3020,1442172277344,1442172281421,2423,1442172278003,1442172281274,2415,1442172278014,1442172281274,2410,1406,1475,1991,421,,3396719,3396936
75779,,,3,blackhole,,2,110,,,25,1940,1442174026171,1442174028790,1399,1442174026753,1442174028642,1399,1442174026753,1442174028642,1397,1385,,,,,1292708,1292708
76803,,,3,blackhole,,80,110,,,252,17702,1442179876757,1442179900655,17125,1442179877383,1442179900502,17116,1442179877396,1442179900502,17028,12690,15845,15841,16084,,4332354,4332523
77827,,,3,blackhole,,2,110,,,14,2237,1442180300953,1442180303973,1696,1442180301533,1442180303822,1696,1442180301533,1442180303822,1688,44,,,,,297138,297138
78851,,,3,blackhole,,1,110,,,184,44833,1442180472622,1442180533146,44281,1442180473218,1442180532997,44175,1442180473361,1442180532997,44096,26950,43569,43398,43656,,125479,125585
79875,,,3,blackhole,,1,110,,,206,35123,1442185500525,1442185547941,34604,1442185501078,1442185547793,34481,1442185501243,1442185547793,34398,11625,32856,33130,33734,,3680092,3680131
80899,,,3,blackhole,,110,110,,,183,3362,1442191201399,1442191205938,2773,1442191202048,1442191205792,2764,1442191202061,1442191205792,2750,2054,2215,2302,423,,4187834,4188796
81923,,,3,blackhole,,110,110,,,171,3547,1442197261451,1442197266240,2958,1442197262105,1442197266098,2957,1442197262106,1442197266098,2944,1076,1574,2087,425,,4486495,4486102
82947,,,3,blackhole,,88,110,,,169,3448,1442197475367,1442197480022,2407,1442197476620,1442197479870,2407,1442197476621,1442197479870,2407,970,1029,256,353,,155916,155965
83971,,,3,blackhole,,4,110,,,130,37941,1442203821209,1442203872429,37001,1442203822318,1442203872269,36986,1442203822338,1442203872269,36974,36176,36370,36347,36461,,4698143,4698134
84995,,,3,blackhole,,4,110,,,95,1967,1442209582885,1442209585541,1341,1442209583583,1442209585394,1341,1442209583583,1442209585394,1341,627,725,997,319,,4229085,4229085
86019,,,3,blackhole,,4,110,,,99,4526,1442214802723,1442214808833,3941,1442214803372,1442214808692,3938,1442214803376,1442214808692,3878,586,3448,3563,346,,3865423,3865390
87043,,,3,blackhole,,1,110,,,204,25166,1442220367166,1442220401140,24596,1442220367787,1442220400991,24596,1442220367787,1442220400991,24506,16530,23827,23903,24083,,4117923,4117923
88067,,,3,blackhole,,1,110,,,1,1257,1442220635819,1442220637516,750,1442220636366,1442220637378,750,1442220636366,1442220637378,749,557,,,,,174438,174438
89091,,,3,blackhole,,1,110,,,1,1271,1442223054098,1442223055814,741,1442223054668,1442223055669,741,1442223054668,1442223055669,741,553,,,,,1789422,1789422
90115,,,3,blackhole,,110,110,,,343,5884,1442229034844,1442229042788,5292,1442229035496,1442229042640,5241,1442229035564,1442229042640,5152,1060,4824,4770,4720,,4429625,4429145
91139,,,3,blackhole,,110,110,,,188,1747,1442233286678,1442233289037,1168,1442233287312,1442233288889,1168,1442233287312,1442233288889,1150,700,737,774,336,,3143803,3143803
92163,,,3,blackhole,,1,110,,,77,2793,1442238609534,1442238613304,2256,1442238610112,1442238613157,2249,1442238610121,1442238613157,2179,1670,1693,1753,2042,,3942423,3941848
93187,,,3,blackhole,,1,110,,,70,1630,1442243682555,1442243684755,1084,1442243683144,1442243684607,1081,1442243683148,1442243684607,1013,515,504,119,734,,3756573,3756450
94211,,,3,blackhole,,1,110,,,96,1614,1442247963267,1442247965446,1093,1442247963821,1442247965297,1087,1442247963829,1442247965297,997,499,536,124,711,,3168822,3168606
95235,,,3,blackhole,,1,110,,,27,3599,1442250479513,1442250484371,3060,1442250480099,1442250484230,3060,1442250480099,1442250484230,3033,2827,,,,,1862816,1862816
96259,,,3,blackhole,,1,110,,,96,6139,1442250755679,1442250763967,5590,1442250756271,1442250763818,5579,1442250756287,1442250763818,5509,4782,4834,119,4844,,201499,201541
97283,,,3,blackhole,,110,110,,,184,2163,1442250965194,1442250968114,1583,1442250965828,1442250967965,1581,1442250965830,1442250967965,1545,865,1022,1116,304,,149641,149593
98307,,,3,blackhole,,4,110,,,91,1676,1442255796521,1442255798783,1070,1442255797191,1442255798636,1070,1442255797191,1442255798636,1067,638,713,190,295,,3575967,3575967
99331,,,3,blackhole,,1,110,,,201,44394,1442255993496,1442256053428,43841,1442255994093,1442256053279,43743,1442255994226,1442256053279,43640,26544,43114,42953,43211,,144781,144882
100355,,,3,blackhole,,88,110,,,159,2338,1442258811950,1442258815106,1310,1442258813195,1442258814963,1310,1442258813195,1442258814963,1310,987,,,,,2044960,2044960
101379,,,3,blackhole,,1,110,,,84,2894,1442258906225,1442258910132,2364,1442258906791,1442258909982,2360,1442258906796,1442258909982,2280,1807,1822,1880,2095,,68029,68024
102403,,,3,blackhole,,110,110,,,176,10247,1442261688873,1442261702706,9646,1442261689538,1442261702560,9643,1442261689542,1442261702560,9601,9211,9241,9273,9003,,2058946,2058941
103427,,,3,blackhole,,11,110,,,268,87430,1442267578473,1442267696504,86439,1442267579649,1442267696341,86375,1442267579735,1442267696341,85055,86375,85430,85476,85453,,4353424,4353472
104451,,,3,blackhole,,110,110,,,167,10177,1442270415093,1442270428832,9578,1442270415756,1442270428686,9578,1442270415756,1442270428686,9567,9256,,,,,2014428,2014428
105475,,,3,blackhole,,110,110,,,177,10223,1442270625443,1442270639244,9627,1442270626098,1442270639095,9621,1442270626107,1442270639095,9615,9185,9227,9256,9000,,146225,146242
106499,,,3,blackhole,,11,110,,,265,87466,1442270647783,1442270765862,86461,1442270648971,1442270765693,86393,1442270649062,1442270765693,85004,86393,85466,85533,85504,,7316,7383
