label,ctx,chunk,layer,min_head_pcc,layer_pcc,relative_rmse
all_fixes_c2048,8k,2048,31,0.933648,0.962272,0.275080
all_fixes_c2048,8k,2048,32,0.938452,0.958358,0.288993
all_fixes_c2048,8k,2048,33,0.924799,0.948297,0.322000
all_fixes_c2048,8k,2048,34,0.928262,0.948747,0.320599
all_fixes_c2048,8k,2048,35,0.943862,0.950769,0.314213
all_fixes_c2048,8k,2048,36,0.922989,0.947728,0.323794
all_fixes_c2048,8k,2048,37,0.926511,0.948315,0.321972
all_fixes_c2048,8k,2048,38,0.927348,0.947889,0.323273
all_fixes_c2048,8k,2048,39,0.914826,0.949956,0.316816
all_fixes_c2048,8k,2048,40,0.948554,0.966182,0.260439
all_fixes_c2048,8k,2048,41,0.963764,0.970769,0.242143
all_fixes_c2048,8k,2048,42,0.963125,0.970536,0.243106
all_fixes_c2048,8k,2048,43,0.961573,0.971999,0.236990
all_fixes_c2048,8k,2048,44,0.966296,0.971506,0.239066
all_fixes_c2048,8k,2048,45,0.968294,0.973326,0.231311
all_fixes_c2048,8k,2048,46,0.965478,0.974030,0.228241
all_fixes_c2048,8k,2048,47,0.974391,0.976323,0.217929
all_fixes_c2048,8k,2048,48,0.968350,0.974546,0.225962
all_fixes_c2048,8k,2048,49,0.969015,0.979942,0.200570
all_fixes_c2048,8k,2048,50,0.963128,0.966514,0.259165
all_fixes_c2048,8k,2048,51,0.960339,0.970723,0.242333
all_fixes_c2048,8k,2048,52,0.962866,0.968136,0.252817
all_fixes_c2048,8k,2048,53,0.974162,0.975345,0.222404
all_fixes_c2048,8k,2048,54,0.971369,0.976666,0.216324
all_fixes_c2048,8k,2048,55,0.967156,0.973804,0.229191
all_fixes_c2048,8k,2048,56,0.970584,0.975296,0.222610
all_fixes_c2048,8k,2048,57,0.964110,0.973420,0.230901
all_fixes_c2048,8k,2048,58,0.975029,0.980634,0.197082
all_fixes_c2048,8k,2048,59,0.986611,0.988542,0.151633
all_fixes_c4096,8k,4096,0,0.999832,0.999853,0.017425
all_fixes_c4096,8k,4096,1,0.999697,0.999755,0.022379
all_fixes_c4096,8k,4096,2,0.999691,0.999751,0.022533
all_fixes_c4096,8k,4096,3,0.999556,0.999660,0.026275
all_fixes_c4096,8k,4096,4,0.999465,0.999526,0.031010
all_fixes_c4096,8k,4096,5,0.999534,0.999550,0.030211
all_fixes_c4096,8k,4096,6,0.999155,0.999364,0.035865
all_fixes_c4096,8k,4096,7,0.999074,0.999504,0.031680
all_fixes_c4096,8k,4096,8,0.999022,0.999511,0.031487
all_fixes_c4096,8k,4096,9,0.999244,0.999480,0.032430
all_fixes_c4096,8k,4096,10,0.999020,0.999332,0.036732
all_fixes_c4096,8k,4096,11,0.999230,0.999333,0.036722
all_fixes_c4096,8k,4096,12,0.999236,0.999599,0.028490
all_fixes_c4096,8k,4096,13,0.999296,0.999445,0.033506
all_fixes_c4096,8k,4096,14,0.999127,0.999329,0.036829
all_fixes_c4096,8k,4096,15,0.999077,0.999344,0.036421
all_fixes_c4096,8k,4096,16,0.998788,0.999068,0.043360
all_fixes_c4096,8k,4096,17,0.999060,0.999180,0.040691
all_fixes_c4096,8k,4096,18,0.997688,0.998276,0.058905
all_fixes_c4096,8k,4096,19,0.997640,0.998649,0.052136
all_fixes_c4096,8k,4096,20,0.997405,0.998134,0.061246
all_fixes_c4096,8k,4096,21,0.995158,0.995855,0.091232
all_fixes_c4096,8k,4096,22,0.993615,0.995059,0.099582
all_fixes_c4096,8k,4096,23,0.990651,0.995385,0.096259
all_fixes_c4096,8k,4096,24,0.990493,0.992134,0.125634
all_fixes_c4096,8k,4096,25,0.984391,0.989023,0.148392
all_fixes_c4096,8k,4096,26,0.981182,0.985054,0.173158
all_fixes_c4096,8k,4096,27,0.974293,0.979258,0.203975
all_fixes_c4096,8k,4096,28,0.964033,0.975027,0.223811
all_fixes_c4096,8k,4096,29,0.951955,0.975840,0.220133
all_fixes_c4096,8k,4096,30,0.940911,0.958616,0.288107
all_fixes_c4096,8k,4096,31,0.930661,0.961122,0.279244
all_fixes_c4096,8k,4096,32,0.935575,0.956482,0.295431
all_fixes_c4096,8k,4096,33,0.921032,0.946279,0.328223
all_fixes_c4096,8k,4096,34,0.924492,0.946067,0.328876
all_fixes_c4096,8k,4096,35,0.940870,0.948135,0.322508
all_fixes_c4096,8k,4096,36,0.917725,0.944391,0.333966
all_fixes_c4096,8k,4096,37,0.921489,0.945264,0.331334
all_fixes_c4096,8k,4096,38,0.922242,0.944351,0.334071
all_fixes_c4096,8k,4096,39,0.908801,0.946663,0.327073
all_fixes_c4096,8k,4096,40,0.945195,0.963520,0.270495
all_fixes_c4096,8k,4096,41,0.960571,0.968125,0.252851
all_fixes_c4096,8k,4096,42,0.960055,0.967485,0.255380
all_fixes_c4096,8k,4096,43,0.957985,0.968973,0.249466
all_fixes_c4096,8k,4096,44,0.963071,0.968487,0.251409
all_fixes_c4096,8k,4096,45,0.965057,0.970345,0.243888
all_fixes_c4096,8k,4096,46,0.961710,0.970878,0.241694
all_fixes_c4096,8k,4096,47,0.971198,0.973436,0.230827
all_fixes_c4096,8k,4096,48,0.964802,0.971204,0.240336
all_fixes_c4096,8k,4096,49,0.966033,0.977283,0.213449
all_fixes_c4096,8k,4096,50,0.959378,0.962767,0.273278
all_fixes_c4096,8k,4096,51,0.956353,0.967472,0.255437
all_fixes_c4096,8k,4096,52,0.959124,0.964585,0.266531
all_fixes_c4096,8k,4096,53,0.971133,0.972695,0.234046
all_fixes_c4096,8k,4096,54,0.968408,0.973946,0.228582
all_fixes_c4096,8k,4096,55,0.963576,0.970830,0.241849
all_fixes_c4096,8k,4096,56,0.967370,0.972586,0.234499
all_fixes_c4096,8k,4096,57,0.960184,0.970343,0.243901
all_fixes_c4096,8k,4096,58,0.972490,0.978291,0.208661
all_fixes_c4096,8k,4096,59,0.985535,0.987426,0.158850
all_fixes_c8192,8k,8192,0,0.999832,0.999853,0.017425
all_fixes_c8192,8k,8192,1,0.999697,0.999755,0.022379
all_fixes_c8192,8k,8192,2,0.999691,0.999751,0.022533
all_fixes_c8192,8k,8192,3,0.999556,0.999660,0.026275
all_fixes_c8192,8k,8192,4,0.999465,0.999526,0.031010
all_fixes_c8192,8k,8192,5,0.999534,0.999550,0.030211
all_fixes_c8192,8k,8192,6,0.999156,0.999364,0.035861
all_fixes_c8192,8k,8192,7,0.999075,0.999504,0.031685
all_fixes_c8192,8k,8192,8,0.999024,0.999511,0.031464
all_fixes_c8192,8k,8192,9,0.999247,0.999481,0.032400
all_fixes_c8192,8k,8192,10,0.999023,0.999332,0.036746
all_fixes_c8192,8k,8192,11,0.999229,0.999333,0.036741
all_fixes_c8192,8k,8192,12,0.999238,0.999600,0.028458
all_fixes_c8192,8k,8192,13,0.999297,0.999445,0.033513
all_fixes_c8192,8k,8192,14,0.999127,0.999329,0.036810
all_fixes_c8192,8k,8192,15,0.999075,0.999344,0.036406
all_fixes_c8192,8k,8192,16,0.998783,0.999068,0.043364
all_fixes_c8192,8k,8192,17,0.999061,0.999182,0.040641
all_fixes_c8192,8k,8192,18,0.997719,0.998291,0.058655
all_fixes_c8192,8k,8192,19,0.997707,0.998682,0.051496
all_fixes_c8192,8k,8192,20,0.997631,0.998329,0.057964
all_fixes_c8192,8k,8192,21,0.995567,0.996199,0.087373
all_fixes_c8192,8k,8192,22,0.994295,0.995624,0.093725
all_fixes_c8192,8k,8192,23,0.991956,0.995895,0.090786
all_fixes_c8192,8k,8192,24,0.990792,0.992544,0.122317
all_fixes_c8192,8k,8192,25,0.985279,0.989859,0.142633
all_fixes_c8192,8k,8192,26,0.981710,0.985612,0.169896
all_fixes_c8192,8k,8192,27,0.974533,0.979638,0.202102
all_fixes_c8192,8k,8192,28,0.965438,0.976335,0.217874
all_fixes_c8192,8k,8192,29,0.956468,0.976560,0.216827
all_fixes_c8192,8k,8192,30,0.941611,0.959330,0.285614
all_fixes_c8192,8k,8192,31,0.931157,0.961089,0.279359
all_fixes_c8192,8k,8192,32,0.935855,0.956740,0.294557
all_fixes_c8192,8k,8192,33,0.921522,0.946570,0.327332
all_fixes_c8192,8k,8192,34,0.925052,0.946917,0.326272
all_fixes_c8192,8k,8192,35,0.941724,0.948979,0.319871
all_fixes_c8192,8k,8192,36,0.919671,0.945237,0.331416
all_fixes_c8192,8k,8192,37,0.923077,0.946098,0.328803
all_fixes_c8192,8k,8192,38,0.923072,0.945033,0.332018
all_fixes_c8192,8k,8192,39,0.910298,0.947006,0.326020
all_fixes_c8192,8k,8192,40,0.945135,0.963717,0.269762
all_fixes_c8192,8k,8192,41,0.961390,0.968902,0.249752
all_fixes_c8192,8k,8192,42,0.959902,0.968047,0.253161
all_fixes_c8192,8k,8192,43,0.958224,0.969749,0.246324
all_fixes_c8192,8k,8192,44,0.963717,0.969266,0.248283
all_fixes_c8192,8k,8192,45,0.965836,0.971159,0.240518
all_fixes_c8192,8k,8192,46,0.962689,0.971892,0.237450
all_fixes_c8192,8k,8192,47,0.971979,0.974410,0.226564
all_fixes_c8192,8k,8192,48,0.965263,0.972265,0.235869
all_fixes_c8192,8k,8192,49,0.966252,0.978292,0.208653
all_fixes_c8192,8k,8192,50,0.959684,0.963212,0.271641
all_fixes_c8192,8k,8192,51,0.956350,0.968201,0.252558
all_fixes_c8192,8k,8192,52,0.959225,0.965133,0.264462
all_fixes_c8192,8k,8192,53,0.971960,0.973563,0.230297
all_fixes_c8192,8k,8192,54,0.968772,0.974909,0.224317
all_fixes_c8192,8k,8192,55,0.964144,0.971633,0.238500
all_fixes_c8192,8k,8192,56,0.967888,0.973410,0.230949
all_fixes_c8192,8k,8192,57,0.959518,0.970705,0.242402
all_fixes_c8192,8k,8192,58,0.972834,0.979237,0.204064
all_fixes_c8192,8k,8192,59,0.985194,0.987038,0.161280
attn256k_c8192,256k,8192,0,0.999909,0.999938,0.011497
attn256k_c8192,256k,8192,1,0.999834,0.999868,0.016487
attn256k_c8192,256k,8192,2,0.999835,0.999867,0.016537
attn256k_c8192,256k,8192,3,0.999712,0.999778,0.021299
attn256k_c8192,256k,8192,4,0.999642,0.999692,0.025004
attn256k_c8192,256k,8192,5,0.999666,0.999692,0.024999
attn256k_c8192,256k,8192,6,0.997917,0.998636,0.052379
attn256k_c8192,256k,8192,7,0.998031,0.999056,0.043592
attn256k_c8192,256k,8192,8,0.998447,0.999374,0.035549
attn256k_c8192,256k,8192,9,0.998627,0.999280,0.038111
attn256k_c8192,256k,8192,10,0.998793,0.999200,0.040164
attn256k_c8192,256k,8192,11,0.998889,0.999044,0.043875
attn256k_c8192,256k,8192,12,0.998673,0.999440,0.033622
attn256k_c8192,256k,8192,13,0.999213,0.999408,0.034558
attn256k_c8192,256k,8192,14,0.998973,0.999276,0.038216
attn256k_c8192,256k,8192,15,0.998628,0.999173,0.040807
attn256k_c8192,256k,8192,16,0.998531,0.998831,0.048489
attn256k_c8192,256k,8192,17,0.998537,0.998812,0.048878
attn256k_c8192,256k,8192,18,0.993078,0.997181,0.075237
attn256k_c8192,256k,8192,19,0.994540,0.997351,0.072935
attn256k_c8192,256k,8192,20,0.995218,0.996957,0.078163
attn256k_c8192,256k,8192,21,0.992811,0.994415,0.105868
attn256k_c8192,256k,8192,22,0.992699,0.994086,0.108929
attn256k_c8192,256k,8192,23,0.990732,0.995315,0.096963
attn256k_c8192,256k,8192,24,0.987453,0.990546,0.137715
attn256k_c8192,256k,8192,25,0.981167,0.987356,0.159250
attn256k_c8192,256k,8192,26,0.980462,0.985254,0.171987
attn256k_c8192,256k,8192,27,0.976025,0.980385,0.198357
attn256k_c8192,256k,8192,28,0.963461,0.975680,0.220861
attn256k_c8192,256k,8192,29,0.948089,0.977515,0.212372
attn256k_c8192,256k,8192,30,0.949627,0.961477,0.277963
attn256k_c8192,256k,8192,31,0.937019,0.960012,0.283197
attn256k_c8192,256k,8192,32,0.940071,0.954334,0.302629
attn256k_c8192,256k,8192,33,0.930089,0.943409,0.336892
attn256k_c8192,256k,8192,34,0.922883,0.942260,0.340290
attn256k_c8192,256k,8192,35,0.932220,0.943927,0.335338
attn256k_c8192,256k,8192,36,0.920985,0.944348,0.334091
attn256k_c8192,256k,8192,37,0.922058,0.945065,0.331931
attn256k_c8192,256k,8192,38,0.919598,0.940609,0.345106
attn256k_c8192,256k,8192,39,0.911837,0.938254,0.351905
attn256k_c8192,256k,8192,40,0.934087,0.950550,0.314922
attn256k_c8192,256k,8192,41,0.946121,0.957464,0.292067
attn256k_c8192,256k,8192,42,0.936778,0.948999,0.319824
attn256k_c8192,256k,8192,43,0.929393,0.951083,0.313210
attn256k_c8192,256k,8192,44,0.938909,0.950144,0.316206
attn256k_c8192,256k,8192,45,0.944026,0.951105,0.313150
attn256k_c8192,256k,8192,46,0.936742,0.953192,0.306396
attn256k_c8192,256k,8192,47,0.952350,0.957212,0.292936
attn256k_c8192,256k,8192,48,0.940458,0.955312,0.299374
attn256k_c8192,256k,8192,49,0.950258,0.966892,0.257668
attn256k_c8192,256k,8192,50,0.931413,0.939173,0.349255
attn256k_c8192,256k,8192,51,0.930107,0.947575,0.324259
attn256k_c8192,256k,8192,52,0.932327,0.943009,0.338085
attn256k_c8192,256k,8192,53,0.951794,0.954509,0.302052
attn256k_c8192,256k,8192,54,0.946566,0.960222,0.282421
attn256k_c8192,256k,8192,55,0.940480,0.954334,0.302589
attn256k_c8192,256k,8192,56,0.944752,0.958077,0.289965
attn256k_c8192,256k,8192,57,0.934902,0.951713,0.311183
attn256k_c8192,256k,8192,58,0.957725,0.970449,0.243421
attn256k_c8192,256k,8192,59,0.976731,0.982471,0.187505
attn_only_c4096,8k,4096,0,0.999826,0.999853,0.017464
attn_only_c4096,8k,4096,1,0.999685,0.999749,0.022676
attn_only_c4096,8k,4096,2,0.999675,0.999743,0.022906
attn_only_c4096,8k,4096,3,0.999532,0.999638,0.027094
attn_only_c4096,8k,4096,4,0.999438,0.999503,0.031758
attn_only_c4096,8k,4096,5,0.999492,0.999514,0.031389
attn_only_c4096,8k,4096,6,0.999085,0.999301,0.037576
attn_only_c4096,8k,4096,7,0.998996,0.999464,0.032915
attn_only_c4096,8k,4096,8,0.998918,0.999470,0.032740
attn_only_c4096,8k,4096,9,0.999199,0.999442,0.033589
attn_only_c4096,8k,4096,10,0.998981,0.999326,0.036897
attn_only_c4096,8k,4096,11,0.999159,0.999282,0.038084
attn_only_c4096,8k,4096,12,0.999188,0.999581,0.029144
attn_only_c4096,8k,4096,13,0.999272,0.999406,0.034651
attn_only_c4096,8k,4096,14,0.999063,0.999274,0.038298
attn_only_c4096,8k,4096,15,0.998984,0.999291,0.037837
attn_only_c4096,8k,4096,16,0.998582,0.998856,0.048006
attn_only_c4096,8k,4096,17,0.998864,0.998985,0.045248
attn_only_c4096,8k,4096,18,0.997318,0.997941,0.064357
attn_only_c4096,8k,4096,19,0.997044,0.998266,0.059054
attn_only_c4096,8k,4096,20,0.996717,0.997600,0.069449
attn_only_c4096,8k,4096,21,0.994158,0.995017,0.100019
attn_only_c4096,8k,4096,22,0.993018,0.994482,0.105233
attn_only_c4096,8k,4096,23,0.989778,0.994908,0.101100
attn_only_c4096,8k,4096,24,0.989652,0.991305,0.132087
attn_only_c4096,8k,4096,25,0.982908,0.987511,0.158279
attn_only_c4096,8k,4096,26,0.979520,0.983357,0.182718
attn_only_c4096,8k,4096,27,0.972464,0.977116,0.214247
attn_only_c4096,8k,4096,28,0.960790,0.972453,0.235057
attn_only_c4096,8k,4096,29,0.947882,0.973455,0.230740
attn_only_c4096,8k,4096,30,0.934540,0.954099,0.303426
attn_only_c4096,8k,4096,31,0.923815,0.957260,0.292779
attn_only_c4096,8k,4096,32,0.928413,0.951955,0.310415
attn_only_c4096,8k,4096,33,0.912139,0.940416,0.345666
attn_only_c4096,8k,4096,34,0.916584,0.940607,0.345117
attn_only_c4096,8k,4096,35,0.934380,0.942264,0.340266
attn_only_c4096,8k,4096,36,0.908807,0.938490,0.351236
attn_only_c4096,8k,4096,37,0.913130,0.939262,0.349025
attn_only_c4096,8k,4096,38,0.915071,0.938171,0.352129
attn_only_c4096,8k,4096,39,0.900838,0.940621,0.345100
attn_only_c4096,8k,4096,40,0.938783,0.958623,0.288073
attn_only_c4096,8k,4096,41,0.956423,0.964564,0.266602
attn_only_c4096,8k,4096,42,0.954950,0.963468,0.270695
attn_only_c4096,8k,4096,43,0.952027,0.965521,0.262976
attn_only_c4096,8k,4096,44,0.958751,0.964843,0.265548
attn_only_c4096,8k,4096,45,0.960501,0.966594,0.258852
attn_only_c4096,8k,4096,46,0.956771,0.967499,0.255324
attn_only_c4096,8k,4096,47,0.966978,0.969825,0.246013
attn_only_c4096,8k,4096,48,0.959183,0.967900,0.253748
attn_only_c4096,8k,4096,49,0.961391,0.974792,0.224842
attn_only_c4096,8k,4096,50,0.952901,0.957101,0.293331
attn_only_c4096,8k,4096,51,0.949163,0.962795,0.273176
attn_only_c4096,8k,4096,52,0.953067,0.959837,0.283829
attn_only_c4096,8k,4096,53,0.967049,0.969063,0.249120
attn_only_c4096,8k,4096,54,0.963407,0.971256,0.240089
attn_only_c4096,8k,4096,55,0.959074,0.967507,0.255253
attn_only_c4096,8k,4096,56,0.963630,0.969478,0.247436
attn_only_c4096,8k,4096,57,0.953719,0.966176,0.260464
attn_only_c4096,8k,4096,58,0.968721,0.975901,0.219843
attn_only_c4096,8k,4096,59,0.983450,0.985167,0.172518
attn_only_c8192,8k,8192,0,0.999826,0.999853,0.017464
attn_only_c8192,8k,8192,1,0.999700,0.999759,0.022223
attn_only_c8192,8k,8192,2,0.999692,0.999754,0.022432
attn_only_c8192,8k,8192,3,0.999558,0.999656,0.026418
attn_only_c8192,8k,8192,4,0.999478,0.999537,0.030675
attn_only_c8192,8k,8192,5,0.999521,0.999544,0.030408
attn_only_c8192,8k,8192,6,0.999150,0.999350,0.036235
attn_only_c8192,8k,8192,7,0.999062,0.999496,0.031946
attn_only_c8192,8k,8192,8,0.998995,0.999503,0.031726
attn_only_c8192,8k,8192,9,0.999233,0.999474,0.032618
attn_only_c8192,8k,8192,10,0.999046,0.999364,0.035860
attn_only_c8192,8k,8192,11,0.999243,0.999335,0.036667
attn_only_c8192,8k,8192,12,0.999223,0.999594,0.028667
attn_only_c8192,8k,8192,13,0.999320,0.999441,0.033630
attn_only_c8192,8k,8192,14,0.999117,0.999314,0.037224
attn_only_c8192,8k,8192,15,0.999021,0.999321,0.037033
attn_only_c8192,8k,8192,16,0.998663,0.998912,0.046840
attn_only_c8192,8k,8192,17,0.998909,0.999023,0.044387
attn_only_c8192,8k,8192,18,0.997374,0.997991,0.063581
attn_only_c8192,8k,8192,19,0.997041,0.998258,0.059186
attn_only_c8192,8k,8192,20,0.996751,0.997649,0.068727
attn_only_c8192,8k,8192,21,0.994231,0.995056,0.099633
attn_only_c8192,8k,8192,22,0.993181,0.994537,0.104714
attn_only_c8192,8k,8192,23,0.990732,0.994992,0.100274
attn_only_c8192,8k,8192,24,0.989857,0.991648,0.129461
attn_only_c8192,8k,8192,25,0.984392,0.989008,0.148494
attn_only_c8192,8k,8192,26,0.981891,0.985596,0.169992
attn_only_c8192,8k,8192,27,0.975268,0.979776,0.201417
attn_only_c8192,8k,8192,28,0.965055,0.975377,0.222237
attn_only_c8192,8k,8192,29,0.953016,0.974106,0.227895
attn_only_c8192,8k,8192,30,0.932994,0.953220,0.306314
attn_only_c8192,8k,8192,31,0.922862,0.955181,0.299816
attn_only_c8192,8k,8192,32,0.927409,0.950087,0.316392
attn_only_c8192,8k,8192,33,0.911060,0.938501,0.351176
attn_only_c8192,8k,8192,34,0.915250,0.939468,0.348412
attn_only_c8192,8k,8192,35,0.933587,0.941577,0.342283
attn_only_c8192,8k,8192,36,0.907114,0.937483,0.354099
attn_only_c8192,8k,8192,37,0.910950,0.938092,0.352373
attn_only_c8192,8k,8192,38,0.913006,0.937046,0.355317
attn_only_c8192,8k,8192,39,0.899163,0.939291,0.348945
attn_only_c8192,8k,8192,40,0.937260,0.958046,0.290078
attn_only_c8192,8k,8192,41,0.954736,0.963265,0.271443
attn_only_c8192,8k,8192,42,0.951762,0.961443,0.278091
attn_only_c8192,8k,8192,43,0.948721,0.963649,0.270016
attn_only_c8192,8k,8192,44,0.956105,0.963033,0.272295
attn_only_c8192,8k,8192,45,0.958554,0.965064,0.264709
attn_only_c8192,8k,8192,46,0.954495,0.965970,0.261260
attn_only_c8192,8k,8192,47,0.965109,0.968442,0.251586
attn_only_c8192,8k,8192,48,0.957226,0.966366,0.259739
attn_only_c8192,8k,8192,49,0.959187,0.974023,0.228245
attn_only_c8192,8k,8192,50,0.950698,0.955169,0.299861
attn_only_c8192,8k,8192,51,0.946980,0.961166,0.279096
attn_only_c8192,8k,8192,52,0.950208,0.957581,0.291695
attn_only_c8192,8k,8192,53,0.965292,0.967599,0.254950
attn_only_c8192,8k,8192,54,0.961388,0.969872,0.245799
attn_only_c8192,8k,8192,55,0.956352,0.965696,0.262268
attn_only_c8192,8k,8192,56,0.961032,0.967980,0.253429
attn_only_c8192,8k,8192,57,0.949223,0.964028,0.268605
attn_only_c8192,8k,8192,58,0.966915,0.974878,0.224460
attn_only_c8192,8k,8192,59,0.982300,0.983843,0.180052
attnfp32_c8192,8k,8192,0,0.999909,0.999939,0.011402
attnfp32_c8192,8k,8192,1,0.999799,0.999841,0.018050
attnfp32_c8192,8k,8192,2,0.999790,0.999839,0.018154
attnfp32_c8192,8k,8192,3,0.999663,0.999741,0.022949
attnfp32_c8192,8k,8192,4,0.999604,0.999655,0.026445
attnfp32_c8192,8k,8192,5,0.999640,0.999656,0.026372
attnfp32_c8192,8k,8192,6,0.999371,0.999522,0.031070
attnfp32_c8192,8k,8192,7,0.999281,0.999623,0.027647
attnfp32_c8192,8k,8192,8,0.999191,0.999633,0.027267
attnfp32_c8192,8k,8192,9,0.999450,0.999611,0.028054
attnfp32_c8192,8k,8192,10,0.999266,0.999520,0.031147
attnfp32_c8192,8k,8192,11,0.999428,0.999506,0.031581
attnfp32_c8192,8k,8192,12,0.999458,0.999725,0.023634
attnfp32_c8192,8k,8192,13,0.999500,0.999595,0.028613
attnfp32_c8192,8k,8192,14,0.999363,0.999513,0.031380
attnfp32_c8192,8k,8192,15,0.999355,0.999534,0.030692
attnfp32_c8192,8k,8192,16,0.999119,0.999332,0.036682
attnfp32_c8192,8k,8192,17,0.999332,0.999436,0.033738
attnfp32_c8192,8k,8192,18,0.998275,0.998733,0.050472
attnfp32_c8192,8k,8192,19,0.998495,0.999115,0.042225
attnfp32_c8192,8k,8192,20,0.998392,0.998883,0.047410
attnfp32_c8192,8k,8192,21,0.996945,0.997427,0.071896
attnfp32_c8192,8k,8192,22,0.996563,0.997306,0.073548
attnfp32_c8192,8k,8192,23,0.995190,0.997524,0.070517
attnfp32_c8192,8k,8192,24,0.994322,0.995366,0.096445
attnfp32_c8192,8k,8192,25,0.989459,0.992426,0.123264
attnfp32_c8192,8k,8192,26,0.986601,0.989422,0.145673
attnfp32_c8192,8k,8192,27,0.981351,0.984475,0.176472
attnfp32_c8192,8k,8192,28,0.972198,0.981042,0.195001
attnfp32_c8192,8k,8192,29,0.964360,0.981454,0.192864
attnfp32_c8192,8k,8192,30,0.953746,0.966953,0.257453
attnfp32_c8192,8k,8192,31,0.946149,0.967869,0.253853
attnfp32_c8192,8k,8192,32,0.948818,0.963878,0.269157
attnfp32_c8192,8k,8192,33,0.936927,0.955655,0.298209
attnfp32_c8192,8k,8192,34,0.938833,0.954983,0.300461
attnfp32_c8192,8k,8192,35,0.950275,0.956263,0.296157
attnfp32_c8192,8k,8192,36,0.930469,0.952545,0.308502
attnfp32_c8192,8k,8192,37,0.933051,0.952302,0.309297
attnfp32_c8192,8k,8192,38,0.934547,0.951603,0.311537
attnfp32_c8192,8k,8192,39,0.923597,0.953480,0.305450
attnfp32_c8192,8k,8192,40,0.952863,0.966852,0.257842
attnfp32_c8192,8k,8192,41,0.966953,0.973272,0.231534
attnfp32_c8192,8k,8192,42,0.964656,0.971942,0.237229
attnfp32_c8192,8k,8192,43,0.963378,0.973565,0.230261
attnfp32_c8192,8k,8192,44,0.968499,0.973098,0.232284
attnfp32_c8192,8k,8192,45,0.970296,0.974610,0.225667
attnfp32_c8192,8k,8192,46,0.967174,0.975016,0.223854
attnfp32_c8192,8k,8192,47,0.975154,0.977274,0.213497
attnfp32_c8192,8k,8192,48,0.969412,0.975552,0.221437
attnfp32_c8192,8k,8192,49,0.971412,0.980700,0.196740
attnfp32_c8192,8k,8192,50,0.964779,0.967686,0.254574
attnfp32_c8192,8k,8192,51,0.962239,0.971681,0.238330
attnfp32_c8192,8k,8192,52,0.964625,0.969573,0.247042
attnfp32_c8192,8k,8192,53,0.974785,0.976361,0.217748
attnfp32_c8192,8k,8192,54,0.971887,0.977961,0.210226
attnfp32_c8192,8k,8192,55,0.969084,0.975101,0.223443
attnfp32_c8192,8k,8192,56,0.972123,0.976689,0.216230
attnfp32_c8192,8k,8192,57,0.965394,0.974410,0.226543
attnfp32_c8192,8k,8192,58,0.976478,0.981615,0.192016
attnfp32_c8192,8k,8192,59,0.988179,0.989361,0.146084
base256k_c2048,256k,2048,0,0.999859,0.999884,0.015576
base256k_c2048,256k,2048,1,0.999760,0.999807,0.019903
base256k_c2048,256k,2048,2,0.999766,0.999804,0.020011
base256k_c2048,256k,2048,3,0.999621,0.999698,0.024757
base256k_c2048,256k,2048,4,0.999535,0.999595,0.028676
base256k_c2048,256k,2048,5,0.999561,0.999591,0.028782
base256k_c2048,256k,2048,6,0.997776,0.998517,0.054613
base256k_c2048,256k,2048,7,0.997870,0.998955,0.045859
