case | head | cores_unlocked | dram_unlocked
hsb_k4 | 13171 (n=4) [13231, 13015, 13510, 13111] | 17966 (n=4, +36.4%) [18007, 17915, 17924, 18491] | 13136 (n=4, -0.3%) [13074, 13197, 13200, 13005]
hsb_k8 | 15275 (n=4) [15648, 15263, 14984, 15287] | 19525 (n=4, +27.8%) [19511, 19539, 19334, 19627] | 15506 (n=4, +1.5%) [15402, 15721, 15547, 15466]
hs_k4 | 2641 (n=4) [2632, 2634, 2770, 2648] | 3338 (n=4, +26.4%) [3324, 3411, 3353, 3323] | 2702 (n=4, +2.3%) [2766, 2728, 2612, 2675]
hs_k8 | 2957 (n=4) [2980, 2934, 2999, 2928] | 3413 (n=4, +15.4%) [3403, 3413, 3413, 3435] | 2924 (n=4, -1.1%) [2903, 2997, 2946, 2834]
hs_tiny | 2614 (n=4) [2755, 2632, 2575, 2596] | 3347 (n=4, +28.0%) [3353, 3341, 3389, 3306] | 2692 (n=4, +3.0%) [2554, 2799, 2735, 2649]
hs_k16 | 4535 (n=4) [4461, 4616, 4570, 4500] | 4690 (n=4, +3.4%) [4642, 4738, 4968, 4627] | 4838 (n=4, +6.7%) [4892, 4860, 4317, 4816]
hsb_k16 | 29042 (n=4) [29463, 28620, 28021, 29596] | 29503 (n=4, +1.6%) [28739, 29030, 29976, 30216] | 28686 (n=4, -1.2%) [27822, 29329, 28756, 28617]
c_bs16 | 6330 (n=4) [6683, 6458, 6201, 5917] | 6653 (n=4, +5.1%) [6577, 6636, 6975, 6670] | 6199 (n=4, -2.1%) [6177, 6032, 6221, 6369]
c_ws16 | 3634 (n=4) [3573, 3715, 3646, 3621] | 3862 (n=4, +6.3%) [3819, 3904, 3917, 3793] | 3600 (n=4, -0.9%) [3587, 3614, 3493, 3725]
c_l1_256x64 | 2303 (n=4) [2332, 2247, 2293, 2313] | 2453 (n=4, +6.5%) [2556, 2402, 2403, 2503] | 2246 (n=4, -2.5%) [2359, 2232, 2259, 2232]
c_hsb_k20 | 42678 (n=4) [42613, 42744, 42255, 43511] | 44931 (n=4, +5.3%) [44628, 44442, 45526, 45234] | 43713 (n=4, +2.4%) [44621, 42590, 43527, 43899]
c_bs24 | 6542 (n=4) [6955, 6496, 6587, 6287] | 6616 (n=4, +1.1%) [6570, 6831, 6529, 6661] | 6578 (n=4, +0.6%) [6627, 6530, 6461, 6646]
c_hs_k24 | 6473 (n=4) [6748, 6454, 6434, 6492] | 6482 (n=4, +0.1%) [6627, 6337, 6802, 6147] | 6308 (n=4, -2.6%) [6134, 6421, 6475, 6194]
3 | 2388 (n=4) [2335, 2461, 2442, 2311] | 2554 (n=4, +6.9%) [2722, 2558, 2551, 2518] | 2368 (n=4, -0.9%) [2289, 2355, 2404, 2381]
