kernel_id,kind,kernel_path,status,case_id,lane,test,test_evidence,factory_ids,selection,kernel_or_factory_evidence,hardware
S052,compute,ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp,selected,SM019,common,"tests/ttnn/nightly/unit_tests/operations/ssm/test_ssm_1d_sum_reduce.py::test_ssm_reduce[H=32-W=1024-latent_size=32-dtype=DataType.BFLOAT16-in_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0,per_core_allocation=0,range_lockstep_allocation=0)-out_mem_config=MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0,per_core_allocation=0,range_lockstep_allocation=0)]",tests/ttnn/nightly/unit_tests/operations/ssm/test_ssm_1d_sum_reduce.py:63,F053,"BF16 H=32, W=1024, latent_size=32, DRAM input/output.",ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp:50; ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp:59; ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp:69,One device; see the test for core-grid requirements.
S054,compute,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp,selected,SM053,common,tests/ttnn/nightly/unit_tests/operations/transformers/test_distributed_fused_rmsnorm.py::test_distributed_fused_rmsnorm_sweep_shapes[num_simulated_devices8-has_rope-has_weight-num_heads1-hidden_dim1024-seqlen128-BFLOAT16_stats-BFLOAT16_in],tests/ttnn/nightly/unit_tests/operations/transformers/test_distributed_fused_rmsnorm.py:238,F055,"Single-device simulated distributed RMSNorm, one head, sequence 128, hidden 1024, pre/post fusion.",ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp:82; ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp:92,One device; see the test for core-grid requirements.
S055,compute,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp,selected,SM053,common,tests/ttnn/nightly/unit_tests/operations/transformers/test_distributed_fused_rmsnorm.py::test_distributed_fused_rmsnorm_sweep_shapes[num_simulated_devices8-has_rope-has_weight-num_heads1-hidden_dim1024-seqlen128-BFLOAT16_stats-BFLOAT16_in],tests/ttnn/nightly/unit_tests/operations/transformers/test_distributed_fused_rmsnorm.py:238,F056,"Single-device simulated distributed RMSNorm, one head, sequence 128, hidden 1024, pre/post fusion.",ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp:38; ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp:50; ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp:81,One device; see the test for core-grid requirements.
S056,compute,ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp,selected,SM020,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_clip_grad_norm.py::test_moreh_clip_grad_norm[num_parameters=32-norm_type=2.0-max_norm=2.0-range_of_wt=(1, 4)-range_of_ht=(1, 4)-range_of_c=(1, 4)-range_of_n=(1, 4)-range_of_padding=(0, 21, 10)-num_iters_of_each_case=2]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_clip_grad_norm.py:30,F057,"Smallest existing clip-grad case, p=2, max_norm=2; step1 plus subsequent steps are checked. Contains two internal repetitions.",ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp:69; ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp:152,One device; see the test for core-grid requirements.
S057,compute,ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp,selected,SM021,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_dot.py::test_moreh_dot[dtype=DataType.BFLOAT16-input_shape=[1, 1, 1, 32]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_dot.py:96,F058,"One aligned BF16 tile row, dot length 32.",ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp:22; ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp:46; ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp:58,One device; see the test for core-grid requirements.
S058,compute,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp,selected,SM023,common,tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_normalization_reduce_boundaries.py::test_moreh_group_norm_reduce_boundaries[fp32_dest_acc_en=False-affine=True-groups=1-large],tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_normalization_reduce_boundaries.py:18,F059; F062,"Groupnorm large algorithm; N=2,C=4,groups=1,H=W=500, affine and statistics checked; direct case avoids the upstream helper’s unconditional skip.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp:89; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp:181; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp:330,One device; see the test for core-grid requirements.
S059,compute,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp,selected,SM022,common,tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_normalization_reduce_boundaries.py::test_moreh_group_norm_reduce_boundaries[fp32_dest_acc_en=False-affine=True-groups=1-small],tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_normalization_reduce_boundaries.py:18,F059; F062,"Groupnorm small algorithm; N=2,C=4,groups=1,H=W=23, affine and statistics checked; direct case avoids the upstream helper’s unconditional skip.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp:92; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp:188; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp:312,One device; see the test for core-grid requirements.
S060,compute,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp,selected,SM024,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_group_norm.py::test_moreh_group_norm_backward[beta_requires_grad=True-gamma_requires_grad=True-input_requires_grad=True-affine=True-eps=1e-05-HW=[23, 23]-C_num_groups=[4, 1]-N=2]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_group_norm.py:474,F060; F063,"Small groupnorm backward, all gradients enabled: gamma/beta kernel plus small input-grad kernel.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp:93; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp:299; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp:324,One device; see the test for core-grid requirements.
S061,compute,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp,selected,SM025,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_group_norm.py::test_moreh_group_norm_backward_large_algorithm[beta_requires_grad=False-gamma_requires_grad=False-input_requires_grad=True-affine=False-eps=1e-05-HW=[500, 500]-C_num_groups=[4, 1]-N=2]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_group_norm.py:622,F061; F064,"Dedicated large groupnorm backward case; input gradient only, H=W=500.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp:84; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp:340; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp:345,One device; see the test for core-grid requirements.
S062,compute,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp,selected,SM024,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_group_norm.py::test_moreh_group_norm_backward[beta_requires_grad=True-gamma_requires_grad=True-input_requires_grad=True-affine=True-eps=1e-05-HW=[23, 23]-C_num_groups=[4, 1]-N=2]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_group_norm.py:474,F061; F064,"Small groupnorm backward, all gradients enabled: gamma/beta kernel plus small input-grad kernel.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp:85; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp:307; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp:370,One device; see the test for core-grid requirements.
S063,compute,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,selected,SM030,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_linear.py::test_moreh_linear_backward[BFP16-fp32_dest_acc_en=False-requires_bias_grad=True-requires_grads=(True, False)-shapes=([31, 31], [30, 31], [1, 30], [31, 30])]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_linear.py:352,F065,Bias gradient with width 30: reduce H.,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp:35; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp:90; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp:93,One device; see the test for core-grid requirements.
S064,compute,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,selected,SM031,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_linear.py::test_moreh_linear_backward[BFP16-fp32_dest_acc_en=False-requires_bias_grad=True-requires_grads=(True, False)-shapes=([31, 31], [30, 31], [1, 1], [31, 30])]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_linear.py:352,F066,Scalar bias gradient: reduce H and W.,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp:44; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp:100; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp:103,One device; see the test for core-grid requirements.
S065,compute,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp,selected,SM032,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_mean.py::test_moreh_mean_ttnn_dtype[ttnn_dtype=DataType.BFLOAT16-keepdim=True-input_shape_dim=[[17, 22], [0]]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_mean.py:147,F067,"BF16 [17,22], dim=0 (height), keepdim=true.",ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp:44; ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp:50; ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp:77,One device; see the test for core-grid requirements.
S066,compute,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,gap,,,,,,Legacy Moreh norm H/W sources have no current host factory; ord_other variants are covered separately.,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:77; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:152,
S067,compute,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,gap,,,,,,Legacy Moreh norm H/W sources have no current host factory; ord_other variants are covered separately.,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:77; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:152,
S068,compute,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,selected,SM033,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_norm.py::test_moreh_norm[is_linalg_vector_norm=False-ttnn_dtype=DataType.BFLOAT16-keepdim=True-input_shape=[32, 32]-N-p=0.0]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_norm.py:394,F068,"BF16 rank-2 [32,32], p=0.0, dim=0. Upstream IDs N/C mean dim 0/1 here, therefore H/W; ord_other kernel.",ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:41; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:130,One device; see the test for core-grid requirements.
S069,compute,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,selected,SM034,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_norm.py::test_moreh_norm[is_linalg_vector_norm=False-ttnn_dtype=DataType.BFLOAT16-keepdim=True-input_shape=[32, 32]-C-p=0.0]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_norm.py:394,F069,"BF16 rank-2 [32,32], p=0.0, dim=1. Upstream IDs N/C mean dim 0/1 here, therefore H/W; ord_other kernel.",ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:42; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:129,One device; see the test for core-grid requirements.
S070,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,selected,SM035,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 0, MorehSoftmaxOpParallelizationStrategy.SMALL_H]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:437,F071; F091,"Explicit Moreh softmax strategy SMALL_H, BF16 [32,32]. The explicit strategy reaches large kernels without a large tensor.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp:49; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp:67; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp:125,One device; see the test for core-grid requirements.
S071,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,selected,SM036,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 0, MorehSoftmaxOpParallelizationStrategy.LARGE_H]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:437,F070; F090,"Explicit Moreh softmax strategy LARGE_H, BF16 [32,32]. The explicit strategy reaches large kernels without a large tensor.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp:42; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp:57; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp:108,One device; see the test for core-grid requirements.
S072,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,selected,SM037,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 1, MorehSoftmaxOpParallelizationStrategy.SMALL_W]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:437,F073; F093,"Explicit Moreh softmax strategy SMALL_W, BF16 [32,32]. The explicit strategy reaches large kernels without a large tensor.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp:49; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp:73; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp:131,One device; see the test for core-grid requirements.
S073,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp,selected,SM038,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 1, MorehSoftmaxOpParallelizationStrategy.LARGE_W]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:437,F072; F092,"Explicit Moreh softmax strategy LARGE_W, BF16 [32,32]. The explicit strategy reaches large kernels without a large tensor.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp:45; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp:59; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp:111,One device; see the test for core-grid requirements.
