call_id,source_id,category,area,source_path,line,end_line,api,template_arguments,arguments,migration_flags
R149,S041,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp,136,137,reduce,"ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW, dfb::tmp, dfb::scaler, dfb::stats","compute_kernel_lib::ReduceInputBlockShape::of(1, Vt)",
R160,S045,explicit_helper,Quasar,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp,21,44,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, tt::CBIndex::c_0, tt::CBIndex::c_2, tt::CBIndex::c_3, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT","compute_kernel_lib::ReduceInputBlockShape::of(Ht, Wt, NC), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, #ifdef REDUCE_POST_MUL [](uint32_t dst_idx) { constexpr uint32_t post_mul_scaler_bits = get_compile_time_arg_val(3); constexpr DataFormat reduce_format = static_cast<DataFormat>(unpack_src_format[tt::CBIndex::c_0]); compute_kernel_lib::detail::reduce_post_mul_tile<reduce_format>(dst_idx, post_mul_scaler_bits); } #else compute_kernel_lib::NoOp{} #endif",inline post-op callback
R161,S046,explicit_helper,Quasar,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,29,49,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::in, dfb::scaler, dfb::out, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT","compute_kernel_lib::ReduceInputBlockShape::of(Ht, Wt, NC), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, #ifdef REDUCE_POST_MUL [](uint32_t dst_idx) { constexpr uint32_t post_mul_scaler_bits = get_arg(args::post_mul_scaler_bits); constexpr DataFormat reduce_format = static_cast<DataFormat>(unpack_src_format[dfb::in]); compute_kernel_lib::detail::reduce_post_mul_tile<reduce_format>(dst_idx, post_mul_scaler_bits); } #else compute_kernel_lib::NoOp{} #endif",inline post-op callback
R162,S047,explicit_helper,Quasar,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp,47,67,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_tile_in, cb_scaler, cb_out, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT","compute_kernel_lib::ReduceInputBlockShape::of(ht_in_chunk, wt_in_chunk, NC), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(cb_acc, chunk_idx), #ifdef REDUCE_POST_MUL [](uint32_t dst_idx) { constexpr uint32_t post_mul_scaler_bits = get_compile_time_arg_val(3); binop_with_scalar_tile_init(); mul_unary_tile(dst_idx, post_mul_scaler_bits); } #else compute_kernel_lib::NoOp{} #endif",cross-call accumulation; inline post-op callback; row-major staging / runtime chunk
R163,S047,explicit_helper,Quasar,ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp,69,80,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_tile_in, cb_scaler, cb_acc, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::INPUT","compute_kernel_lib::ReduceInputBlockShape::of(ht_in_chunk, wt_in_chunk, NC), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(cb_acc, chunk_idx), compute_kernel_lib::NoOp{}",cross-call accumulation; row-major staging / runtime chunk
R179,S051,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp,315,321,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, cb_gathered_sigmoid, cb_reduce_ones_scalar, cb_reduce_intermediate, compute_kernel_lib::ReduceInputPolicy::WaitUpfrontNoPop",compute_kernel_lib::ReduceInputBlockShape::single(),
R180,S052,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp,59,67,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_COL, intermed_cb_id0, scalar_cb_id, intermed_cb_id1, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::NONE",compute_kernel_lib::ReduceInputBlockShape::single(),
R187,S054,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp,92,93,compute_kernel_lib::reduce,"PoolType::AVG, ReduceDim::REDUCE_ROW, stats_cb, reduce_scalar_cb, reduce_result_cb",compute_kernel_lib::ReduceInputBlockShape::row(stats_tiles_cols),
R188,S055,explicit_helper,Other experimental TTNN,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp,81,82,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, intermediate_cb, reduce_scalar_cb, output_cb",compute_kernel_lib::ReduceInputBlockShape::single(),
R189,S056,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp,152,153,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xpowadd, cb_one, cb_y",compute_kernel_lib::ReduceInputBlockShape::single(),
R190,S057,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp,46,56,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::im0, dfb::scaler, dfb::out, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::NONE","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb::im1, block)",cross-call accumulation
R191,S057,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp,58,68,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::im0, dfb::scaler, dfb::im1, compute_kernel_lib::ReduceInputPolicy::WaitAndPopPerTile, compute_kernel_lib::ReduceDataFormatReconfigMode::NONE","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb::im1, block)",cross-call accumulation
R192,S058,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp,181,182,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xsum, cb_scaler, cb_ex",compute_kernel_lib::ReduceInputBlockShape::single(),
R193,S058,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp,330,331,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xmm2sum, cb_scaler, cb_var",compute_kernel_lib::ReduceInputBlockShape::single(),
R194,S059,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp,188,189,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xsum, cb_scaler, cb_ex",compute_kernel_lib::ReduceInputBlockShape::single(),
R195,S059,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp,312,313,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xmm2sum, cb_scaler, cb_var",compute_kernel_lib::ReduceInputBlockShape::single(),
R196,S060,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp,303,304,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::ydyadd, dfb::scaler, dfb::dgamma",compute_kernel_lib::ReduceInputBlockShape::single(),
R197,S060,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp,328,329,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::dyadd, dfb::scaler, dfb::dbeta",compute_kernel_lib::ReduceInputBlockShape::single(),
R198,S061,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp,340,341,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb_dyadd, dfb::scaler, dfb::dysum",compute_kernel_lib::ReduceInputBlockShape::single(),
R199,S061,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp,345,346,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb_ydyadd, dfb::scaler, dfb::ydysum",compute_kernel_lib::ReduceInputBlockShape::single(),
R200,S062,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp,307,308,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb_dyadd, dfb::scaler, dfb::dysum",compute_kernel_lib::ReduceInputBlockShape::single(),
R201,S062,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp,370,371,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb_ydyadd, dfb::scaler, dfb::ydysum",compute_kernel_lib::ReduceInputBlockShape::single(),
R202,S063,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,93,94,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::intermed0, dfb::scaler, dfb::out","reduce_block, reduce_layout, reduce_accum",
R203,S063,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,96,97,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::intermed0, dfb::scaler, dfb::intermed1","reduce_block, reduce_layout, reduce_accum",
R204,S063,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,101,102,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::in0, dfb::scaler, dfb::out","reduce_block, reduce_layout, reduce_accum",
R205,S063,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,104,105,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::in0, dfb::scaler, dfb::intermed1","reduce_block, reduce_layout, reduce_accum",
R206,S064,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,103,104,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::intermed0, dfb::scaler, dfb::out","reduce_block, reduce_layout, reduce_accum",
R207,S064,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,106,107,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::intermed0, dfb::scaler, dfb::intermed1","reduce_block, reduce_layout, reduce_accum",
R208,S064,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,111,112,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::in0, dfb::scaler, dfb::out","reduce_block, reduce_layout, reduce_accum",
R209,S064,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,114,115,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::in0, dfb::scaler, dfb::intermed1","reduce_block, reduce_layout, reduce_accum",
R210,S065,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp,50,51,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::input, dfb::scaler, dfb::accum_dst",compute_kernel_lib::ReduceInputBlockShape::col(Ht - 1),
R211,S065,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp,77,80,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::masked_input, dfb::scaler, dfb::out","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb::accum_dst, is_h_single_tile ? 0 : 1)",cross-call accumulation
R212,S065,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp,85,88,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::input, dfb::scaler, dfb::out","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb::accum_dst, is_h_single_tile ? 0 : 1)",cross-call accumulation
R213,S066,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,152,153,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xpowadd, cb_one, cb_xpowsum",compute_kernel_lib::ReduceInputBlockShape::single(),
R214,S067,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,152,153,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, cb_xpowadd, cb_one, cb_xpowsum",compute_kernel_lib::ReduceInputBlockShape::single(),
R215,S068,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,130,131,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::cal, dfb::one, dfb::reduce",compute_kernel_lib::ReduceInputBlockShape::single(),
R216,S069,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,129,130,compute_kernel_lib::reduce,"REDUCE_OP, REDUCE_DIM, dfb::cal, dfb::one, dfb::reduce",compute_kernel_lib::ReduceInputBlockShape::single(),
R217,S070,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,54,55,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_COL, dfb_tmp, dfb_max_scaler, dfb_max",compute_kernel_lib::ReduceInputBlockShape::single(),
R218,S070,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,57,64,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_COL, dfb_in0, dfb_max_scaler, dfb_max, compute_kernel_lib::ReduceInputPolicy::WaitUpfrontNoPop",compute_kernel_lib::ReduceInputBlockShape::col(Ht - 1),
R219,S070,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,67,70,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_COL, dfb_tmp, dfb_max_scaler, dfb_max","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb_max, 1)",cross-call accumulation
R220,S070,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,125,138,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_COL, dfb_exps, dfb_sum_scaler, dfb_recipsumexps, compute_kernel_lib::ReduceInputPolicy::BulkWaitBulkPop","compute_kernel_lib::ReduceInputBlockShape::col(Ht), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, [](std::uint32_t dst_idx) { log_tile_init(); log_tile(dst_idx); }",inline post-op callback
R221,S070,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,141,154,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_COL, dfb_exps, dfb_sum_scaler, dfb_recipsumexps, compute_kernel_lib::ReduceInputPolicy::WaitUpfrontNoPop","compute_kernel_lib::ReduceInputBlockShape::col(Ht), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, [](std::uint32_t dst_idx) { recip_tile_init(); recip_tile(dst_idx); }",inline post-op callback
R222,S071,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,47,48,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_COL, dfb_tmp, dfb_max_scaler, dfb_max",compute_kernel_lib::ReduceInputBlockShape::single(),
R223,S071,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,51,52,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_COL, dfb_in0, dfb_max_scaler, dfb_max",compute_kernel_lib::ReduceInputBlockShape::col(Ht - 1),
R224,S071,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,57,60,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_COL, dfb_tmp, dfb_max_scaler, dfb_max","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb_max, 1)",cross-call accumulation
R225,S071,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,108,121,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_COL, dfb_add, dfb_sum_scaler, dfb_recipsumexps, compute_kernel_lib::ReduceInputPolicy::BulkWaitBulkPop","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, [](std::uint32_t dst_idx) { log_tile_init(); log_tile(dst_idx); }",inline post-op callback
R226,S071,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,124,137,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_COL, dfb_add, dfb_sum_scaler, dfb_recipsumexps, compute_kernel_lib::ReduceInputPolicy::BulkWaitBulkPop","compute_kernel_lib::ReduceInputBlockShape::single(), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, [](std::uint32_t dst_idx) { recip_tile_init(); recip_tile(dst_idx); }",inline post-op callback
R227,S072,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,54,55,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_ROW, dfb_tmp, dfb_max_scaler, dfb_max",compute_kernel_lib::ReduceInputBlockShape::single(),
R228,S072,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,60,67,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_ROW, dfb_in0, dfb_max_scaler, dfb_max, compute_kernel_lib::ReduceInputPolicy::WaitUpfrontNoPop",compute_kernel_lib::ReduceInputBlockShape::row(Wt - 1),
R229,S072,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,73,76,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_ROW, dfb_tmp, dfb_max_scaler, dfb_max","compute_kernel_lib::ReduceInputBlockShape::row(1), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::Accumulate::at(dfb_max, 1)",cross-call accumulation
R230,S072,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,131,144,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, dfb_exps, dfb_sum_scaler, dfb_recipsumexps, compute_kernel_lib::ReduceInputPolicy::BulkWaitBulkPop","compute_kernel_lib::ReduceInputBlockShape::row(Wt), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, [](std::uint32_t dst_idx) { log_tile_init(); log_tile(dst_idx); }",inline post-op callback
R231,S072,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,147,160,compute_kernel_lib::reduce,"PoolType::SUM, ReduceDim::REDUCE_ROW, dfb_exps, dfb_sum_scaler, dfb_recipsumexps, compute_kernel_lib::ReduceInputPolicy::WaitUpfrontNoPop","compute_kernel_lib::ReduceInputBlockShape::row(Wt), compute_kernel_lib::ReduceInputMemoryLayout::contiguous(), compute_kernel_lib::NoAccumulation{}, [](std::uint32_t dst_idx) { recip_tile_init(); recip_tile(dst_idx); }",inline post-op callback
R232,S073,explicit_helper,Moreh,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp,50,51,compute_kernel_lib::reduce,"PoolType::MAX, ReduceDim::REDUCE_ROW, dfb_tmp, dfb_max_scaler, dfb_max",compute_kernel_lib::ReduceInputBlockShape::single(),
