factory_id,factory_path,reference_lines,kind,builder_definitions,entry_kernel_ids,reduce_source_ids
F092,ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_w_large.cpp,235,program builder,SoftmaxDeviceOperation::SoftmaxProgramFactoryGeneralWLarge::create_program_artifacts:29; ttnn::create_reader_datamovement_config:168; ttnn::create_writer_datamovement_config:178,K084,S073
F093,ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_w_small.cpp,240,program builder,SoftmaxDeviceOperation::SoftmaxProgramFactoryGeneralWSmall::create_program_artifacts:24; ttnn::create_reader_datamovement_config:163; ttnn::create_writer_datamovement_config:174,K083,S072
F098,ttnn/cpp/ttnn/operations/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,585; 586,program builder,ReduceDeviceOperation::ReduceMultiCoreHProgramFactory::create_program_artifacts:23; ttnn::create_reader_datamovement_config:480; ttnn::create_writer_datamovement_config:527,K110; K113,S099; S102
F099,ttnn/cpp/ttnn/operations/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,463; 464,program builder,ReduceDeviceOperation::ReduceMultiCoreWProgramFactory::create_program_artifacts:22; ttnn::create_reader_datamovement_config:362; ttnn::create_writer_datamovement_config:404,K110; K113,S099; S102
F100,ttnn/cpp/ttnn/operations/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,269,program builder,ReduceDeviceOperation::ReduceSingleCoreHwProgramFactory::create_program_artifacts:18; ttnn::create_reader_datamovement_config:175; ttnn::create_writer_datamovement_config:192,K110,S099
F101,ttnn/cpp/ttnn/operations/reduction/moe/device/moe_program_factory.cpp,340,program builder,MoeProgramFactory::create_program_artifacts:59; ttnn::create_reader_datamovement_config:252; ttnn::create_writer_datamovement_config:278,K115,S104
F102,ttnn/cpp/ttnn/operations/reduction/sampling/device/sampling_program_factory.cpp,32,program builder,SamplingProgramFactory::create_program_artifacts:98; ttnn::create_reader_datamovement_config:292; ttnn::create_writer_datamovement_config:524,K116,S105
F111,ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,367,inline Python builder,create_program_descriptor:347,K124,S108
F112,ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,310,inline Python builder,create_program_descriptor:272,K125,S109
F114,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,385,inline Python builder,create_program_descriptor:343,K127,S111
F116,ttnn/ttnn/operations/toy_variance/toy_variance_program_artifacts.py,186,program builder,create_program_artifacts:63,K129,S113
F117,ttnn/ttnn/operations/toy_variance/toy_variance_sharded_program_artifacts.py,212,program builder,create_program_artifacts:127,K130,S114
