call_id,source_path,line,end_line,api,template_arguments,arguments,source_expression
D035,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_w.cpp,38,38,calculate_and_prepare_reduce_scaler,"dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D036,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_w_large.cpp,36,36,calculate_and_prepare_reduce_scaler,"dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb_max_scaler, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW>()"
D037,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_w_large.cpp,38,38,calculate_and_prepare_reduce_scaler,"dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb_sum_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D038,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/reader_moreh_softmax_backward_w.cpp,28,28,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D039,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/reader_moreh_softmax_backward_w_large.cpp,28,28,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D040,ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/reader_moreh_sum_h.cpp,28,28,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL",,"calculate_and_prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_COL>()"
D041,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_gn_rm_gb.cpp,258,261,prepare_reduce_scaler,"dfb_in_2, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_SCALAR",pad_corrected_scaler,"dataflow_kernel_lib::prepare_reduce_scaler<
                            dfb_in_2,
                            ckernel::PoolType::AVG,
                            ckernel::ReduceDim::REDUCE_SCALAR>(pad_corrected_scaler)"
D042,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_gn_rm_gb.cpp,264,268,calculate_and_prepare_reduce_scaler,"dfb_in_2, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_SCALAR, reduce_factor_w",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                            dfb_in_2,
                            ckernel::PoolType::AVG,
                            ckernel::ReduceDim::REDUCE_SCALAR,
                            reduce_factor_w>()"
D043,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_gn_rm_gb.cpp,275,279,calculate_and_prepare_reduce_scaler,"dfb_in_4, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_SCALAR, reduce_factor_c",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                        dfb_in_4,
                        ckernel::PoolType::AVG,
                        ckernel::ReduceDim::REDUCE_SCALAR,
                        reduce_factor_c>()"
D044,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_sharded_gn_rm_gb_v2.cpp,232,235,prepare_reduce_scaler,"dfb_in_2, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_SCALAR",pad_corrected_scaler,"dataflow_kernel_lib::prepare_reduce_scaler<
                    dfb_in_2,
                    ckernel::PoolType::AVG,
                    ckernel::ReduceDim::REDUCE_SCALAR>(pad_corrected_scaler)"
D045,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_sharded_gn_rm_gb_v2.cpp,237,241,calculate_and_prepare_reduce_scaler,"dfb_in_2, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_SCALAR, reduce_factor_w",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                    dfb_in_2,
                    ckernel::PoolType::AVG,
                    ckernel::ReduceDim::REDUCE_SCALAR,
                    reduce_factor_w>()"
D046,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_sharded_gn_rm_gb_v2.cpp,265,269,calculate_and_prepare_reduce_scaler,"dfb_in_4, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_SCALAR, reduce_factor_c",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                        dfb_in_4,
                        ckernel::PoolType::AVG,
                        ckernel::ReduceDim::REDUCE_SCALAR,
                        reduce_factor_c>()"
D047,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln.cpp,116,120,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
            dfb::scaler,
            ckernel::PoolType::SUM,
            ckernel::ReduceDim::REDUCE_ROW,
            dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D048,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln.cpp,123,127,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",partial_last_tile_cols,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                dfb::scaler,
                ckernel::PoolType::SUM,
                ckernel::ReduceDim::REDUCE_ROW,
                dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>(partial_last_tile_cols)"
D049,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln_large_tensor.cpp,106,110,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
            dfb::scaler,
            ckernel::PoolType::SUM,
            ckernel::ReduceDim::REDUCE_ROW,
            dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
