timestamp,git_commit,git_branch,dirty,mode,shape_id,device_config,op_type,M,K,N,grid,fusion_summary,best_M_block,best_K_block,best_N_block,best_sb_h,best_sb_w,best_duration_ns,best_duration_us,ideal_us,limiter,speedup,n_measured,n_skipped,status,sweep_csv_path
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m512_k3072_n6144,bh_4x8_ring8,agmm,512,3072,6144,12x9,-,4,4,14,2,2,260018,260.02,79.87,dram,3.26,255,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m512_k3072_n6144.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m512_k6144_n2304,bh_4x8_ring8,agmm,512,6144,2304,12x9,-,4,8,14,2,2,224309,224.31,67.58,dram,3.32,283,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m512_k6144_n2304.csv
2026-07-15_01-32-00,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m512_k6144_n4608,bh_4x8_ring8,agmm,512,6144,4608,12x9,-,4,4,16,2,2,374345,374.35,122.88,dram,3.05,283,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_01-32-00/flux_m512_k6144_n4608.csv
2026-07-14_22-51-01,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,flux_m512_k6144_n768,bh_4x8_ring8,agmm,512,6144,768,12x9,-,4,12,3,4,1,148375,148.38,30.72,dram,4.83,335,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_22-51-01/flux_m512_k6144_n768.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m1216_k2048_n1024,bh_4x8,agmm,1216,2048,1024,12x9,-,4,8,6,2,2,101766,101.77,18.68,fabric,5.45,166,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m1216_k2048_n1024.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n1024,bh_4x8,agmm,1216,4096,1024,12x9,-,4,8,4,2,2,167144,167.14,37.36,fabric,4.47,172,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m1216_k4096_n1024.csv
2026-07-15_13-35-24,33399ec3c63,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n1024_ac,bh_4x8,agmm,1216,4096,1024,12x9,"addcmul,approx",6,8,4,2,2,176468,176.47,37.36,fabric,4.72,156,,OK,agmm/sweeps/33399ec3c63_2026-07-15_13-35-24/ltx_m1216_k4096_n1024_ac.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n3072_c3,bh_4x8,agmm,1216,4096,3072,12x9,"chunks=3,approx",4,8,11,4,1,251527,251.53,102.48,compute,2.45,189,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m1216_k4096_n3072_c3.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n4096,bh_4x8,agmm,1216,4096,4096,12x9,-,4,8,10,2,2,311470,311.47,136.65,compute,2.28,247,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m1216_k4096_n4096.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n512,bh_4x8,agmm,1216,4096,512,12x9,-,4,8,4,2,2,162821,162.82,37.36,fabric,4.36,172,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m1216_k4096_n512.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n8,bh_4x8,agmm,1216,4096,8,12x9,-,4,8,2,2,2,161593,161.59,37.36,fabric,4.33,325,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m1216_k4096_n8.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m256_k2048_n1024_c2,bh_4x8,agmm,256,2048,1024,12x9,"chunks=2,approx",2,8,14,2,2,53100,53.10,10.24,dram,5.19,166,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m256_k2048_n1024_c2.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n1536_c3,bh_4x8,agmm,32,2048,1536,12x9,"chunks=3,approx",2,4,10,2,2,64087,64.09,12.54,dram,5.11,196,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m32_k2048_n1536_c3.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n2048,bh_4x8,agmm,32,2048,2048,12x9,-,4,4,10,2,2,76734,76.73,16.64,dram,4.61,166,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m32_k2048_n2048.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n512,bh_4x8,agmm,32,2048,512,12x9,-,2,8,6,2,2,42754,42.75,4.35,dram,9.82,166,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m32_k2048_n512.csv
2026-07-15_13-35-24,33399ec3c63,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n512_ac,bh_4x8,agmm,32,2048,512,12x9,"addcmul,approx",2,8,2,2,2,44216,44.22,4.35,dram,10.16,150,,OK,agmm/sweeps/33399ec3c63_2026-07-15_13-35-24/ltx_m32_k2048_n512_ac.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n8,bh_4x8,agmm,32,2048,8,12x9,-,10,8,4,2,2,42779,42.78,0.49,fabric,87.04,313,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m32_k2048_n8.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m4864_k2048_n1024,bh_4x8,agmm,4864,2048,1024,12x9,-,8,4,6,2,2,309437,309.44,74.71,fabric,4.14,179,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m4864_k2048_n1024.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n1024,bh_4x8,agmm,4864,4096,1024,12x9,-,8,8,4,2,2,531209,531.21,149.42,fabric,3.56,185,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m4864_k4096_n1024.csv
2026-07-15_13-35-24,33399ec3c63,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n1024_ac,bh_4x8,agmm,4864,4096,1024,12x9,"addcmul,approx",16,8,4,2,2,589570,589.57,149.42,fabric,3.95,166,,OK,agmm/sweeps/33399ec3c63_2026-07-15_13-35-24/ltx_m4864_k4096_n1024_ac.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n3072_c3,bh_4x8,agmm,4864,4096,3072,12x9,"chunks=3,approx",10,4,12,2,2,718996,719.00,409.94,compute,1.75,203,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m4864_k4096_n3072_c3.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n4096,bh_4x8,agmm,4864,4096,4096,12x9,-,8,8,10,2,2,949446,949.45,546.58,compute,1.74,267,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m4864_k4096_n4096.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n512,bh_4x8,agmm,4864,4096,512,12x9,-,8,8,2,2,2,523739,523.74,149.42,fabric,3.51,185,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m4864_k4096_n512.csv
2026-07-15_02-50-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n8,bh_4x8,agmm,4864,4096,8,12x9,-,8,8,2,2,2,518017,518.02,149.42,fabric,3.47,351,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-15_02-50-54/ltx_m4864_k4096_n8.csv
2026-07-14_18-02-54,5e9e8b2ab11,cglagovich/agmm_analysis,True,full,s2_fabric_n512,bh_4x8,agmm,4864,4096,512,12x9,-,8,8,2,2,2,525444,525.44,149.42,fabric,3.52,185,,OK,agmm/sweeps/5e9e8b2ab11_2026-07-14_18-02-54/s2_fabric_n512.csv
