stage,instance,fastest_device,global_call_count,min_time_us,max_time_us,mean_time_us,skew_ratio,tflops_at_min,flops,M,K_local,K_gathered,N,chunks,N_per_chunk,activation_shape,weight_shape,gathered_activation_shape,has_bias,bias_shape,has_addcmul,ternary_a_shape,ternary_b_shape,fsdp_fused,ring_size,num_links,num_workers_per_link,num_buffers_per_channel,topology,cluster_axis,force_transpose,using_persistent_weight_buffer,fsdp_cluster_axis,fsdp_ring_size,M_block_size,K_block_size,N_block_size,subblock_h,subblock_w,grid,act_dtype,weight_dtype,out_dtype,act_memory,math_fidelity,core_count,num_inputs,num_outputs
stage1,10,20,217108,37.46,205.79,97.93,5.493,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,11,26,229402,37.53,166.54,87.54,4.438,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,12,0,253952,137.26,294.17,198.06,2.143,0.58,79691776,1216,1024,4096,8,1,8,"[1, 1, 1216, 1024]","[1, 1, 4096, 8]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,8,8,1,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,13,0,258048,136.81,441.41,249.92,3.227,37.28,5100273664,1216,1024,4096,512,1,512,"[1, 1, 1216, 1024]","[1, 1, 4096, 512]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,2,2,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,14,20,259092,47.56,226.52,109.69,4.763,22.58,1073741824,256,512,2048,1024,2,512,"[1, 1, 256, 512]","[1, 1, 2048, 1024]","[1, 1, 256, 2048]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,2,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,3
stage1,15,27,272411,92.4,266.56,157.53,2.885,55.2,5100273664,1216,512,2048,1024,1,1024,"[1, 1, 1216, 512]","[1, 1, 2048, 1024]","[1, 1, 1216, 2048]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,16,19,277523,37.31,177.65,90.19,4.761,0.03,1048576,32,512,2048,8,1,8,"[1, 1, 32, 512]","[1, 1, 2048, 8]","[1, 1, 32, 2048]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,1,1,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,17,27,281627,37.45,172.09,88.84,4.596,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,18,21,282645,144.81,300.58,203.25,2.076,70.44,10200547328,1216,1024,4096,1024,1,1024,"[1, 1, 1216, 1024]","[1, 1, 4096, 1024]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,19,0,295936,37.41,177.7,91.28,4.75,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,20,26,302106,486.65,648.12,546.97,1.332,83.84,40802189312,1216,1024,4096,4096,1,4096,"[1, 1, 1216, 1024]","[1, 1, 4096, 4096]","[1, 1, 1216, 4096]",True,"[1, 1, 1, 4096]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,4,8,16,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage1,21,26,308250,110.23,267.55,162.43,2.427,2.44,268435456,32,512,2048,2048,1,2048,"[1, 1, 32, 512]","[1, 1, 2048, 2048]","[1, 1, 32, 2048]",True,"[1, 1, 1, 2048]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,4,12,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,0,21,124949,456.28,692.35,568.2,1.517,0.7,318767104,4864,1024,4096,8,1,8,"[1, 1, 4864, 1024]","[1, 1, 4096, 8]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,20,8,1,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,1,21,129045,684.11,887.8,775.9,1.298,178.93,122406567936,4864,1024,4096,3072,3,1024,"[1, 1, 4864, 1024]","[1, 1, 4096, 3072]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 3072]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,10,4,12,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,4
stage2,2,21,142357,513.54,778.53,622.76,1.516,79.45,40802189312,4864,1024,4096,1024,1,1024,"[1, 1, 4864, 1024]","[1, 1, 4096, 1024]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 1024]",True,"[1, 1, 4864, 1024]","[1, 1, 1, 1024]",False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,16,8,4,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,6,2
stage2,3,21,151573,455.07,680.01,561.93,1.494,0.7,318767104,4864,1024,4096,8,1,8,"[1, 1, 4864, 1024]","[1, 1, 4096, 8]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,20,8,1,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,4,21,155669,487.39,761.54,610.7,1.562,83.72,40802189312,4864,1024,4096,1024,1,1024,"[1, 1, 4864, 1024]","[1, 1, 4096, 1024]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,16,8,4,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,5,21,167957,513.41,751.51,618.1,1.464,79.47,40802189312,4864,1024,4096,1024,1,1024,"[1, 1, 4864, 1024]","[1, 1, 4096, 1024]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 1024]",True,"[1, 1, 4864, 1024]","[1, 1, 1, 1024]",False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,16,8,4,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,6,2
stage2,6,21,183317,37.31,211.35,99.84,5.665,0.03,1048576,32,512,2048,8,1,8,"[1, 1, 32, 512]","[1, 1, 2048, 8]","[1, 1, 32, 2048]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,1,1,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,7,25,187417,59.81,239.22,122.34,4.0,3.37,201326592,32,512,2048,1536,3,512,"[1, 1, 32, 512]","[1, 1, 2048, 1536]","[1, 1, 32, 2048]",True,"[1, 1, 1, 1536]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,4,16,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,4
stage2,8,25,203801,37.45,228.27,104.62,6.096,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",True,"[1, 1, 32, 512]","[1, 1, 1, 512]",False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,6,2
stage2,9,27,213019,37.25,172.18,86.7,4.622,0.03,1048576,32,512,2048,8,1,8,"[1, 1, 32, 512]","[1, 1, 2048, 8]","[1, 1, 32, 2048]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,1,1,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,10,25,217113,37.46,205.71,98.32,5.492,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,11,27,229403,37.46,144.11,77.63,3.847,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,12,21,253973,460.45,674.59,562.24,1.465,0.69,318767104,4864,1024,4096,8,1,8,"[1, 1, 4864, 1024]","[1, 1, 4096, 8]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,20,8,1,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,13,21,258069,496.13,774.66,603.21,1.561,41.12,20401094656,4864,1024,4096,512,1,512,"[1, 1, 4864, 1024]","[1, 1, 4096, 512]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,8,8,2,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,14,20,259092,47.72,220.99,108.24,4.631,22.5,1073741824,256,512,2048,1024,2,512,"[1, 1, 256, 512]","[1, 1, 2048, 1024]","[1, 1, 256, 2048]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,2,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,3
stage2,15,0,272384,289.9,470.84,362.6,1.624,70.37,20401094656,4864,512,2048,1024,1,1024,"[1, 1, 4864, 512]","[1, 1, 2048, 1024]","[1, 1, 4864, 2048]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,5,8,4,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,16,27,277531,37.31,177.82,89.17,4.766,0.03,1048576,32,512,2048,8,1,8,"[1, 1, 32, 512]","[1, 1, 2048, 8]","[1, 1, 32, 2048]",True,"[1, 1, 1, 8]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,1,1,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,17,26,281626,37.46,172.03,89.56,4.592,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,18,21,282645,499.01,690.76,585.55,1.384,81.77,40802189312,4864,1024,4096,1024,1,1024,"[1, 1, 4864, 1024]","[1, 1, 4096, 1024]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 1024]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,16,8,4,4,1,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,19,20,295956,37.45,183.38,93.74,4.897,1.79,67108864,32,512,2048,512,1,512,"[1, 1, 32, 512]","[1, 1, 2048, 512]","[1, 1, 32, 2048]",True,"[1, 1, 1, 512]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,8,2,1,2,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,20,19,302099,1576.03,1806.16,1681.76,1.146,103.56,163208757248,4864,1024,4096,4096,1,4096,"[1, 1, 4864, 1024]","[1, 1, 4096, 4096]","[1, 1, 4864, 4096]",True,"[1, 1, 1, 4096]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,5,8,16,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
stage2,21,26,308250,110.2,273.21,161.72,2.479,2.44,268435456,32,512,2048,2048,1,2048,"[1, 1, 32, 512]","[1, 1, 2048, 2048]","[1, 1, 32, 2048]",True,"[1, 1, 1, 2048]",False,,,False,4,2,6,24,Topology::Ring,0,true,false,std::nullopt,1,1,4,12,1,4,12-9,BFLOAT16,BFLOAT16,BFLOAT16,DEV_0_DRAM_INTERLEAVED,HiFi2,112,4,2
