timestamp,git_commit,git_branch,dirty,mode,shape_id,device_config,op_type,M,K,N,grid,fusion_summary,best_M_block,best_K_block,best_N_block,best_sb_h,best_sb_w,best_duration_ns,best_duration_us,ideal_us,limiter,speedup,n_measured,n_skipped,status,sweep_csv_path
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m512_k15360_n768_mm,bh_4x8_ring8,mm,512,15360,768,12x9,-,8,15,2,2,2,124117,124.12,,,,556,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m512_k15360_n768_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m512_k2304_n6144_mm,bh_4x8_ring8,mm,512,2304,6144,12x9,-,8,4,8,2,2,128069,128.07,,,,380,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m512_k2304_n6144_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m512_k3072_n6144_mm,bh_4x8_ring8,mm,512,3072,6144,12x9,-,2,6,16,2,2,160555,160.56,,,,345,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m512_k3072_n6144_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m512_k6144_n2304_mm,bh_4x8_ring8,mm,512,6144,2304,12x9,-,8,8,6,2,2,120065,120.07,,,,316,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m512_k6144_n2304_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m512_k6144_n4608_mm,bh_4x8_ring8,mm,512,6144,4608,12x9,-,4,6,14,2,2,218491,218.49,,,,316,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m512_k6144_n4608_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,flux_m512_k6144_n768_mm,bh_4x8_ring8,mm,512,6144,768,12x9,-,2,8,2,2,2,57354,57.35,,,,379,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/flux_m512_k6144_n768_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k2048_n1024_mm,bh_4x8,mm,1216,2048,1024,12x9,-,4,4,8,2,2,48174,48.17,,,,173,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k2048_n1024_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n1024_ac_mm,bh_4x8,mm,1216,4096,1024,12x9,"addcmul,approx",4,4,8,2,2,80777,80.78,,,,157,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k4096_n1024_ac_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n1024_mm,bh_4x8,mm,1216,4096,1024,12x9,-,6,4,8,2,2,81735,81.73,,,,173,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k4096_n1024_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n3072_c3_mm,bh_4x8,mm,1216,4096,3072,12x9,"chunks=3,approx",6,4,8,2,2,193873,193.87,,,,190,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k4096_n3072_c3_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n4096_mm,bh_4x8,mm,1216,4096,4096,12x9,-,6,4,15,1,3,242296,242.30,,,,249,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k4096_n4096_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n512_mm,bh_4x8,mm,1216,4096,512,12x9,-,6,8,2,2,2,59844,59.84,,,,173,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k4096_n512_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m1216_k4096_n8_mm,bh_4x8,mm,1216,4096,8,12x9,-,4,8,3,4,1,54478,54.48,,,,327,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m1216_k4096_n8_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m256_k2048_n1024_c2_mm,bh_4x8,mm,256,2048,1024,12x9,"chunks=2,approx",2,8,4,2,2,27321,27.32,,,,173,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m256_k2048_n1024_c2_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n1536_c3_mm,bh_4x8,mm,32,2048,1536,12x9,"chunks=3,approx",2,8,4,2,2,33330,33.33,,,,207,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m32_k2048_n1536_c3_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n2048_mm,bh_4x8,mm,32,2048,2048,12x9,-,2,4,6,2,2,45096,45.10,,,,173,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m32_k2048_n2048_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n512_ac_mm,bh_4x8,mm,32,2048,512,12x9,"addcmul,approx",2,8,2,2,2,21239,21.24,,,,157,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m32_k2048_n512_ac_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n512_mm,bh_4x8,mm,32,2048,512,12x9,-,2,8,4,2,2,21145,21.15,,,,173,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m32_k2048_n512_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m32_k2048_n8_mm,bh_4x8,mm,32,2048,8,12x9,-,2,8,3,1,3,15052,15.05,,,,327,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m32_k2048_n8_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k2048_n1024_mm,bh_4x8,mm,4864,2048,1024,12x9,-,13,4,4,1,4,129397,129.40,,,,186,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k2048_n1024_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n1024_ac_mm,bh_4x8,mm,4864,4096,1024,12x9,"addcmul,approx",13,4,4,1,4,215482,215.48,,,,167,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k4096_n1024_ac_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n1024_mm,bh_4x8,mm,4864,4096,1024,12x9,-,13,4,8,1,4,215102,215.10,,,,186,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k4096_n1024_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n3072_c3_mm,bh_4x8,mm,4864,4096,3072,12x9,"chunks=3,approx",13,8,4,1,4,558868,558.87,,,,204,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k4096_n3072_c3_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n4096_mm,bh_4x8,mm,4864,4096,4096,12x9,-,13,8,4,1,4,750312,750.31,,,,269,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k4096_n4096_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n512_mm,bh_4x8,mm,4864,4096,512,12x9,-,16,8,2,2,2,164850,164.85,,,,186,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k4096_n512_mm.csv
2026-07-16_13-14-15,96c02baa223,cglagovich/agmm_analysis,True,full,ltx_m4864_k4096_n8_mm,bh_4x8,mm,4864,4096,8,12x9,-,8,16,3,4,1,156204,156.20,,,,353,,OK,agmm/sweeps/96c02baa223_2026-07-16_13-14-15/ltx_m4864_k4096_n8_mm.csv
