         19565 function calls in 0.064 seconds

   Ordered by: internal time
   List reduced from 80 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.016    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/common/lightweightmodule.py:11(__call__)
      312    0.000    0.000    0.000    0.000 /home/ttuser/.local/share/uv/python/cpython-3.12.12-linux-x86_64-gnu/lib/python3.12/enum.py:1266(__hash__)
       52    0.000    0.000    0.001    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/functional_decoder.py:741(_chunk_page_table)
      624    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       52    0.000    0.000    0.000    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/fused_decoder.py:761(_prefill_program_config)
      312    0.000    0.000    0.000    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/multichip_decoder.py:1317(_row_parallel_dtype)
       39    0.000    0.000    0.001    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/optimized_decoder.py:1523(_prefill_sdpa_sliding)
       52    0.000    0.000    0.001    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/functional_decoder.py:765(_page_table_row)
      208    0.000    0.000    0.000    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/optimized_decoder.py:1440(_prefill_norm_configs)
      104    0.000    0.000    0.000    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/multichip_decoder.py:1388(_ccl_semaphores)
        1    0.000    0.000    0.000    0.000 /home/ttuser/dev/muse-glimmer/tt-metal/models/autoports/meta_models_muse_glimmer_30b/tt/model.py:1087(prefill_tokens_to_device)
