Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                   Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
558    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
559    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
560    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
561    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
562    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
563    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
564    0.3 %         SliceDeviceOperation                            0         1 μs         19 μs     32                                                       BF16 => BF16
565    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
566    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
567    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
568    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
569    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
570    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
571    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
572    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
573    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
574    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
575    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
576    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
577    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
578    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
579    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
580    0.1 %         UpdateKVCacheOperation                          0         4 μs          5 μs      4                                                 BFP8, BFP8 => BFP8
581    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
582    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
583    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
584    0.1 %         TypecastDeviceOperation                         0         1 μs          7 μs     32                                                       BF16 => BFP8
585    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
586    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
587    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
588    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
589    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
590    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
591    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
592    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
593    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
594    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
595    0.2 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
596    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
597    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
598    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
599    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
600    0.3 %         SliceDeviceOperation                            0         1 μs         19 μs     32                                                       BF16 => BF16
601    0.1 %         SliceDeviceOperation                            0         1 μs          9 μs     32                                                       BF16 => BF16
602    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
603    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
604    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
605    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
606    0.3 %         SliceDeviceOperation                            0         1 μs         18 μs     32                                                       BF16 => BF16
607    0.1 %         SliceDeviceOperation                            0         1 μs          9 μs     32                                                       BF16 => BF16
608    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
609    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
610    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
611    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
612    0.3 %         SliceDeviceOperation                            0         1 μs         18 μs     32                                                       BF16 => BF16
613    0.2 %         SliceDeviceOperation                            0         1 μs         12 μs     32                                                       BF16 => BF16
614    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
615    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
616    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
617    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
618    0.2 %         SliceDeviceOperation                            0         1 μs         17 μs     32                                                       BF16 => BF16
619    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
620    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
621    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
622    0.1 %         UpdateKVCacheOperation                          0         4 μs          2 μs      4                                                 BFP8, BFP8 => BFP8
623    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
624    0.2 %         SliceDeviceOperation                            0         1 μs         16 μs     32                                                       BF16 => BF16
625    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
626    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
627    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
628    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
629    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
