    ksplit2 ring in0risc=other (16c, ring all-gather)    --ksplit 2 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit3 ring in0risc=same (24c, ring all-gather)     --ksplit 3 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit3 ring in0risc=other (24c, ring all-gather)    --ksplit 3 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit4 ring in0risc=same (32c, ring all-gather)     --ksplit 4 --ring --in0risc same --in0order before --chain bank --kb 2 -> fail
    ksplit4 ring in0risc=other (32c, ring all-gather)    --ksplit 4 --ring --in0risc other --in0order before --chain bank --kb 2 -> fail
    ksplit6 ring in0risc=same (48c, ring all-gather)     --ksplit 6 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit6 ring in0risc=other (48c, ring all-gather)    --ksplit 6 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
BEST 128x6144x9216: NO PASSING CONFIG

    sharded P1 (reader_sharded + in0_writer, 8c)         --sharded --preaders 1 --kb 8                                -> fail
    ksplit2 ring in0risc=same (16c, ring all-gather)     --ksplit 2 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit2 ring in0risc=other (16c, ring all-gather)    --ksplit 2 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit3 ring in0risc=same (24c, ring all-gather)     --ksplit 3 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit3 ring in0risc=other (24c, ring all-gather)    --ksplit 3 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit4 ring in0risc=same (32c, ring all-gather)     --ksplit 4 --ring --in0risc same --in0order before --chain bank --kb 2 -> fail
    ksplit4 ring in0risc=other (32c, ring all-gather)    --ksplit 4 --ring --in0risc other --in0order before --chain bank --kb 2 -> fail
    ksplit6 ring in0risc=same (48c, ring all-gather)     --ksplit 6 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit6 ring in0risc=other (48c, ring all-gather)    --ksplit 6 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit8 ring in0risc=same (64c, ring all-gather)     --ksplit 8 --ring --in0risc same --in0order before --chain bank --kb 3 -> fail
    ksplit8 ring in0risc=other (64c, ring all-gather)    --ksplit 8 --ring --in0risc other --in0order before --chain bank --kb 3 -> fail
BEST 256x6144x6144: NO PASSING CONFIG

    sharded P1 (reader_sharded + in0_writer, 8c)         --sharded --preaders 1 --kb 8                                -> fail
    ksplit2 ring in0risc=same (16c, ring all-gather)     --ksplit 2 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit2 ring in0risc=other (16c, ring all-gather)    --ksplit 2 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit3 ring in0risc=same (24c, ring all-gather)     --ksplit 3 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit3 ring in0risc=other (24c, ring all-gather)    --ksplit 3 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit4 ring in0risc=same (32c, ring all-gather)     --ksplit 4 --ring --in0risc same --in0order before --chain bank --kb 2 -> fail
    ksplit4 ring in0risc=other (32c, ring all-gather)    --ksplit 4 --ring --in0risc other --in0order before --chain bank --kb 2 -> fail
    ksplit6 ring in0risc=same (48c, ring all-gather)     --ksplit 6 --ring --in0risc same --in0order before --chain bank --kb 4 -> fail
    ksplit6 ring in0risc=other (48c, ring all-gather)    --ksplit 6 --ring --in0risc other --in0order before --chain bank --kb 4 -> fail
    ksplit8 ring in0risc=same (64c, ring all-gather)     --ksplit 8 --ring --in0risc same --in0order before --chain bank --kb 3 -> fail
    ksplit8 ring in0risc=other (64c, ring all-gather)    --ksplit 8 --ring --in0risc other --in0order before --chain bank --kb 3 -> fail
BEST 32x6144x12288: NO PASSING CONFIG

ALLDONE
