Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'OPTIMIZED_DECODE_B1'.
Using operations until 'OPTIMIZED_DECODE_B1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
422    2.4 %         LayerNormDeviceOperation                       3        44 μs                    1                                                BF16, BF16 => BF16
553    0.1 %         ShardedToInterleavedDeviceOperation            3         1 μs          1 μs      1                                                      BF16 => BF16
554    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs      2                                                      BF16 => BF16
555    0.3 %         UntilizeDeviceOperation                        3         3 μs          2 μs      1                                                      BF16 => BF16
556    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs     32                                                      BF16 => BF16
557    0.3 %         TilizeWithValPaddingDeviceOperation            3         3 μs          1 μs      1                                                      BF16 => BF16
558    0.1 %         UnaryDeviceOperation                           3         2 μs          1 μs    110                                                      BF16 => BF16
559    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          2 μs      1                                                      BF16 => BF16
560    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
561    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
562    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
563    0.1 %         ConcatDeviceOperation                          3         2 μs          1 μs     96                                                BF16, BF16 => BF16
564    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      3                                                      BF16 => BF16
565    0.2 %         TilizeWithValPaddingDeviceOperation            3         3 μs          2 μs      1                                                      BF16 => BF16
566    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
567    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
568    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
569    0.1 %         ShardedToInterleavedDeviceOperation            3         1 μs          2 μs      1                                                      BF16 => BF16
570    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs      2                                                      BF16 => BF16
571    0.3 %         UntilizeDeviceOperation                        3         3 μs          1 μs      1                                                      BF16 => BF16
572    0.1 %         SliceDeviceOperation                           3         2 μs          1 μs     32                                                      BF16 => BF16
573    0.3 %         TilizeWithValPaddingDeviceOperation            3         3 μs          2 μs      1                                                      BF16 => BF16
574    0.1 %         UnaryDeviceOperation                           3         2 μs          1 μs    110                                                      BF16 => BF16
575    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
576    0.6 %         UntilizeWithUnpaddingDeviceOperation           3        10 μs          1 μs      1                                                      BF16 => BF16
577    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
578    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      2                                                      BF16 => BF16
579    0.1 %         ConcatDeviceOperation                          3         2 μs          1 μs     96                                                BF16, BF16 => BF16
580    0.3 %         PermuteDeviceOperation                         3         4 μs          1 μs      3                                                      BF16 => BF16
581    0.2 %         TilizeWithValPaddingDeviceOperation            3         3 μs          2 μs      1                                                      BF16 => BF16
582    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
583    0.2 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                                BF16, BF16 => BF16
584    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
585    0.1 %         InterleavedToShardedDeviceOperation            3         1 μs          2 μs      1                                                      BF16 => BF16
586    0.1 %         InterleavedToShardedDeviceOperation            3         1 μs          1 μs      1                                                      BF16 => BF16
587    1.5 %         PagedUpdateCacheDeviceOperation                3        27 μs          2 μs      1                                                BF16, BF16 => BF16
588    1.5 %         PagedUpdateCacheDeviceOperation                3        27 μs          1 μs      1                                                BF16, BF16 => BF16
589    0.6 %         SdpaDecodeDeviceOperation                      3         8 μs          3 μs     64                                                BF16, BF16 => BF16
590    0.1 %         InterleavedToShardedDeviceOperation            3         1 μs          1 μs      1                                                      BF16 => BF16
591    0.1 %         NLPConcatHeadsDecodeDeviceOperation            3         1 μs          1 μs     32                                                      BF16 => BF16
592    0.3 %         SliceDeviceOperation                           3         2 μs          3 μs     96                                                      BF16 => BF16
593    0.1 %         ReshardDeviceOperation                         3         1 μs          1 μs      8                                                      BF16 => BF16
594    1.3 %   SLOW  MatmulDeviceOperation 32 x 3072 x 3072         3        20 μs          4 μs     12  233 GB/s  45.5 %  29.8 TFLOPs   44.9 %  LoFi BF16 x BFP4 => BF16
595    0.1 %         InterleavedToShardedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
596    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
597    0.4 %         LayerNormDeviceOperation                       3         7 μs          1 μs      8                                                BF16, BF16 => BF16
598    5.1 %   SLOW  MatmulDeviceOperation 32 x 3072 x 16384        3        93 μs          1 μs     12  270 GB/s  52.8 %  34.6 TFLOPs   52.1 %  LoFi BF16 x BFP4 => BF16
599    0.2 %         SliceDeviceOperation                           3         4 μs          1 μs    110                                                      BF16 => BF16
600    0.3 %         SliceDeviceOperation                           3         6 μs          1 μs    110                                                      BF16 => BF16
601    2.9 %         BinaryNgDeviceOperation                        3        54 μs          0 μs    110                                                BF16, BF16 => BF16
602    2.6 %   SLOW  MatmulDeviceOperation 32 x 8192 x 3072         3        47 μs          1 μs     12  267 GB/s  52.1 %  34.2 TFLOPs   51.5 %  LoFi BF16 x BFP4 => BF16
603    0.1 %         BinaryNgDeviceOperation                        3         2 μs          1 μs    110                                                BF16, BF16 => BF16
604    0.1 %         ShardedToInterleavedDeviceOperation            3         2 μs          1 μs      8                                                      BF16 => BF16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     100.0 %         183 device ops, 0 host ops, 0 signposts              1,625 μs        227 μs         105 GB/s  20.4 %

💡 Advice 💡
============

High Op-to-Op Gap
----------------
483    3.5 %         LayerNormDeviceOperation                       3        44 μs         20 μs      1                                                BF16, BF16 => BF16
544    3.3 %         LayerNormDeviceOperation                       3        44 μs         16 μs      1                                                BF16, BF16 => BF16

These ops have a >6 μs gap since the previous operation. Running with tracing could save 24 μs (1.3% of overall time)
Alternatively ensure device is not waiting for the host. Experts can try moving runtime args in the kernels to compile-time args.

Matmul Optimization
-------------------
424    3.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 9216         3        55 μs          1 μs     12  259 GB/s  50.7 %  33.2 TFLOPs   50.1 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

472    1.3 %   SLOW  MatmulDeviceOperation 32 x 3072 x 3072         3        20 μs          4 μs     12  234 GB/s  45.8 %  30.0 TFLOPs   45.2 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

476    5.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 16384        3        93 μs          1 μs     12  271 GB/s  53.0 %  34.7 TFLOPs   52.3 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

480    2.6 %   SLOW  MatmulDeviceOperation 32 x 8192 x 3072         3        47 μs          1 μs     12  267 GB/s  52.2 %  34.2 TFLOPs   51.5 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

485    3.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 9216         3        54 μs          1 μs     12  260 GB/s  50.8 %  33.3 TFLOPs   50.2 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

533    1.3 %   SLOW  MatmulDeviceOperation 32 x 3072 x 3072         3        20 μs          4 μs     12  234 GB/s  45.7 %  30.0 TFLOPs   45.2 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

537    5.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 16384        3        93 μs          1 μs     12  271 GB/s  52.9 %  34.6 TFLOPs   52.2 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

541    2.6 %   SLOW  MatmulDeviceOperation 32 x 8192 x 3072         3        47 μs          1 μs     12  266 GB/s  52.0 %  34.1 TFLOPs   51.4 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

546    3.0 %   SLOW  MatmulDeviceOperation 32 x 3072 x 9216         3        55 μs          1 μs     12  259 GB/s  50.6 %  33.2 TFLOPs   50.0 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

594    1.3 %   SLOW  MatmulDeviceOperation 32 x 3072 x 3072         3        20 μs          4 μs     12  233 GB/s  45.5 %  29.8 TFLOPs   44.9 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

598    5.1 %   SLOW  MatmulDeviceOperation 32 x 3072 x 16384        3        93 μs          1 μs     12  270 GB/s  52.8 %  34.6 TFLOPs   52.1 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

602    2.6 %   SLOW  MatmulDeviceOperation 32 x 8192 x 3072         3        47 μs          1 μs     12  267 GB/s  52.1 %  34.2 TFLOPs   51.5 %  LoFi BF16 x BFP4 => BF16
- No output subblock size found
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
