OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 Untilize,44,,,,,,,1,28,28,512,-,-,-,-,41416
 OptimizedConv,45,,res4a_branch1,0,2,1,1,1,28,28,512,1,1,512,1024,128200
 Untilize,46,,,,,,,1,28,28,256,-,-,-,-,23332
 OptimizedConv,47,,res4a_branch2b,1,2,3,3,1,28,28,256,1,1,2304,256,228389
 tt::operations::primary::Matmul,48,,res4a_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38566
 EltwiseBinary,49,,,,,,,1,14,14,1024,1,1,1568,1024,20835
 tt::operations::primary::Matmul,50,,res4b_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,47669
 Untilize,51,,,,,,,1,14,14,256,-,-,-,-,16005
 OptimizedConv,52,,res4b_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266948
 tt::operations::primary::Matmul,53,,res4b_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38662
 EltwiseBinary,54,,,,,,,1,14,14,1024,1,1,1568,1024,21136
 tt::operations::primary::Matmul,55,,res4c_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,47127
 Untilize,56,,,,,,,1,14,14,256,-,-,-,-,15858
 OptimizedConv,57,,res4c_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266899
 tt::operations::primary::Matmul,58,,res4c_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38687
 EltwiseBinary,59,,,,,,,1,14,14,1024,1,1,1568,1024,22405
 tt::operations::primary::Matmul,60,,res4d_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,47070
 Untilize,61,,,,,,,1,14,14,256,-,-,-,-,16011
 OptimizedConv,62,,res4d_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266910
 tt::operations::primary::Matmul,63,,res4d_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38638
 EltwiseBinary,64,,,,,,,1,14,14,1024,1,1,1568,1024,21059
 tt::operations::primary::Matmul,65,,res4e_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,47297
 Untilize,66,,,,,,,1,14,14,256,-,-,-,-,15800
 OptimizedConv,67,,res4e_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266940
 tt::operations::primary::Matmul,68,,res4e_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38680
 EltwiseBinary,69,,,,,,,1,14,14,1024,1,1,1568,1024,20649
 tt::operations::primary::Matmul,70,,res4f_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,46709
 Untilize,71,,,,,,,1,14,14,256,-,-,-,-,15882
 OptimizedConv,72,,res4f_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266945
 tt::operations::primary::Matmul,73,,res4f_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38567
 EltwiseBinary,74,,,,,,,1,14,14,1024,1,1,1568,1024,21893
 tt::operations::primary::Matmul,75,,res5a_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,512,63824
 Untilize,76,,,,,,,1,14,14,1024,-,-,-,-,49193
 OptimizedConv,77,,res5a_branch1,0,2,1,1,1,14,14,1024,1,1,1024,2048,184942
 Untilize,78,,,,,,,1,14,14,512,-,-,-,-,26438
 OptimizedConv,79,,res5a_branch2b,1,2,3,3,1,14,14,512,1,1,4608,512,181288
 tt::operations::primary::Matmul,80,,res5a_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,73526
 EltwiseBinary,81,,,,,,,1,7,7,2048,1,1,416,2048,14084
 tt::operations::primary::Matmul,82,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,76819
 UntilizeWithUnpadding,83,,,,,,,1,7,7,512,-,-,-,-,167234
 OptimizedConv,84,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227883
 tt::operations::primary::Matmul,85,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,72517
 EltwiseBinary,86,,,,,,,1,7,7,2048,1,1,416,2048,13926
 tt::operations::primary::Matmul,87,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,76971
 UntilizeWithUnpadding,88,,,,,,,1,7,7,512,-,-,-,-,167304
 OptimizedConv,89,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227711
 tt::operations::primary::Matmul,90,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,72369
 EltwiseBinary,91,,,,,,,1,7,7,2048,1,1,416,2048,13870
 Untilize,92,,,,,,,1,7,7,2048,-,-,-,-,85849
 Unpad,93,,,,,,,1,7,7,2048,-,-,-,-,10577
 Pad,94,,,,,,,1,7,7,2048,-,-,-,-,91692
 Tilize,95,,,,,,,1,7,7,2048,-,-,-,-,84864
 Reduce,96,,,,,,,1,1,64,2048,-,-,-,-,12775
 Untilize,97,,,,,,,1,1,32,2048,-,-,-,-,71436
 Unpad,98,,,,,,,1,1,32,2048,-,-,-,-,4527
 Pad,99,,,,,,,1,1,1,2048,-,-,-,-,28489
 Tilize,100,,,,,,,1,1,32,2048,-,-,-,-,31628
 tt::operations::primary::Matmul,101,,fc,,,,,1,1,32,2048,1,1,2048,1024,57597
 UntilizeWithUnpadding,102,,,,,,,1,1,32,1024,-,-,-,-,26551
