GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
96259,,,3,blackhole,,4,110,,,1077,5278,15006784734593,15006784741718,4755,15006784735156,15006784741575,4751,15006784735161,15006784741575,4655,2588,2584,2661,2924,,619,623
97283,,,3,blackhole,,4,110,,,84,10093,15006784758975,15006784772601,9470,15006784759662,15006784772446,9468,15006784759664,15006784772446,9447,596,653,203,860,,13398,13399
98307,,,3,blackhole,,4,110,,,145,10086,15006784781374,15006784794990,9467,15006784782062,15006784794843,9467,15006784782062,15006784794843,9415,596,654,196,853,,7123,7123
99331,,,3,blackhole,,110,110,,,170,6516,15006784823357,15006784832154,5919,15006784824020,15006784832010,5919,15006784824020,15006784832010,5896,5656,,,,,21614,21614
100355,,,3,blackhole,,4,110,,,123,2790,15006784855088,15006784858854,2180,15006784855763,15006784858706,2177,15006784855767,15006784858706,2171,1344,1419,197,1482,,17595,17597
101379,,,3,blackhole,,110,110,,,165,407653,15006784917887,15006785468219,407067,15006784918522,15006785468062,407067,15006784918522,15006785468062,,407067,,,,,44308,44308
102403,,,3,blackhole,,48,110,,,1190,5787993,15006785142983,15006792956774,5546529,15006785468796,15006792956610,5546527,15006785468798,15006792956610,5546527,5543351,5543664,5543805,5543850,,544,545
103427,,,3,blackhole,,110,110,,,1094,5683494,15006785470009,15006793142726,137196,15006792957365,15006793142579,137196,15006792957365,15006793142579,137193,136923,,,,,559,559
104451,,,3,blackhole,,110,110,,,1034,188422,15006793069752,15006793324122,133775,15006793143385,15006793323981,133775,15006793143385,15006793323981,133774,133501,,,,,597,597
105475,,,3,blackhole,,110,110,,,1141,262401,15006793248572,15006793602814,205850,15006793324770,15006793602668,205850,15006793324770,15006793602668,205850,202038,204919,205429,204773,,584,584
106499,,,3,blackhole,,64,110,,,1268,2493530,15006793593694,15006796959960,2486307,15006793603286,15006796959800,2486306,15006793603287,15006796959800,2486305,2482275,2482561,2482698,2482753,,458,459
107523,,,3,blackhole,,110,110,,,1201,2488050,15006793604523,15006796963390,1992,15006796960551,15006796963240,1991,15006796960552,15006796963240,1989,1554,1619,1088,1364,,556,557
108547,,,3,blackhole,,110,110,,,1104,19258,15006796962456,15006796988454,18041,15006796963958,15006796988313,18041,15006796963958,15006796988313,18041,16153,,,,,532,532
109571,,,3,blackhole,,110,110,,,1129,376547,15006796983387,15006797491725,372222,15006796989066,15006797491566,372222,15006796989066,15006797491566,372221,370519,370760,371809,371226,,558,558
110595,,,3,blackhole,,110,110,,,1285,354765,15006797283377,15006797762310,199847,15006797492378,15006797762172,199847,15006797492379,15006797762172,199847,199326,199486,198816,187056,,601,602
111619,,,3,blackhole,,110,110,,,1150,158126,15006797557402,15006797770872,5816,15006797762872,15006797770723,5814,15006797762874,15006797770723,5814,5399,5387,1150,4393,,519,520
112643,,,3,blackhole,,110,110,,,1210,8630,15006797767057,15006797778708,5313,15006797771388,15006797778561,5311,15006797771391,15006797778561,5311,4886,4886,1236,4223,,493,495
113667,,,3,blackhole,,4,110,,,259,26734,15006798150096,15006798186187,26219,15006798150642,15006798186038,26075,15006798150837,15006798186038,25999,12500,25158,25248,25419,,275613,275762
114691,,,3,blackhole,,80,110,,,300,63620,15006798218864,15006798304751,61813,15006798221136,15006798304583,61813,15006798221136,15006798304583,61810,52971,54162,54141,54598,,25999,25999
115715,,,3,blackhole,,4,110,,,855,67650,15006798303363,15006798394691,65902,15006798305563,15006798394531,65902,15006798305563,15006798394531,65902,65574,,,,,726,726
116739,,,3,blackhole,,110,110,,,1407,80260,15006798326847,15006798435198,29547,15006798395162,15006798435050,29546,15006798395163,15006798435050,29546,28965,29184,29055,29074,,467,468
117763,,,3,blackhole,,16,110,,,1381,15736,15006798426127,15006798447371,8544,15006798435689,15006798447224,8541,15006798435693,15006798447224,8530,7967,8179,8047,8068,,473,476
118787,,,3,blackhole,,16,110,,,1207,2683,15006798447206,15006798450828,2053,15006798447915,15006798450687,2053,15006798447915,15006798450687,2053,1654,,,,,512,512
119811,,,3,blackhole,,16,110,,,1078,2470,15006798450867,15006798454202,1974,15006798451392,15006798454057,1974,15006798451392,15006798454057,1944,1552,,,,,522,522
120835,,,3,blackhole,,110,110,,,497,28807,15006798458770,15006798497659,28098,15006798459562,15006798497494,28098,15006798459562,15006798497494,28001,26267,27407,27507,27382,,4078,4078
121859,,,3,blackhole,,4,110,,,411,55347,15006798496700,15006798571418,54068,15006798498274,15006798571266,54068,15006798498274,15006798571266,54068,53781,,,,,578,578
122883,,,3,blackhole,,64,110,,,1216,133367,15006798521205,15006798701250,95671,15006798571922,15006798701078,95671,15006798571922,15006798701078,95671,91421,91707,91639,91958,,486,486
123907,,,3,blackhole,,16,110,,,1076,45902,15006798700591,15006798762559,44746,15006798701997,15006798762404,44746,15006798701997,15006798762404,44745,44074,44278,44207,44337,,681,681
124931,,,3,blackhole,,4,110,,,422,25539,15006798763762,15006798798239,24988,15006798764360,15006798798094,24988,15006798764360,15006798798094,24904,16882,24197,24285,24459,,1449,1449
125955,,,3,blackhole,,4,110,,,614,26880,15006798764563,15006798800851,1300,15006798798957,15006798800712,1300,15006798798957,15006798800712,1297,1048,,,,,639,639
126979,,,3,blackhole,,4,110,,,618,1769,15006798801569,15006798803957,1313,15006798802042,15006798803815,1313,15006798802042,15006798803815,1267,1067,,,,,985,985
128003,,,3,blackhole,,110,110,,,1119,4452,15006798802555,15006798808565,2874,15006798804537,15006798808417,2872,15006798804540,15006798808417,2872,1576,1602,2400,1292,,535,537
129027,,,3,blackhole,,110,110,,,1103,4075,15006798806471,15006798811972,2001,15006798809125,15006798811826,2001,15006798809125,15006798811826,2001,1522,1575,1607,1285,,525,525
130051,,,3,blackhole,,4,110,,,1056,5226,15006798812119,15006798819174,4709,15006798812673,15006798819030,4696,15006798812690,15006798819030,4608,2556,2571,2637,2886,,627,640
131075,,,3,blackhole,,4,110,,,90,10081,15006798829552,15006798843161,9456,15006798830246,15006798843012,9456,15006798830246,15006798843012,9445,581,641,212,836,,8308,8308
132099,,,3,blackhole,,4,110,,,84,10052,15006798847396,15006798860966,9450,15006798848061,15006798860818,9447,15006798848064,15006798860818,9444,594,645,203,841,,3740,3742
133123,,,3,blackhole,,110,110,,,167,6459,15006798882012,15006798890732,5877,15006798882656,15006798890590,5877,15006798882656,15006798890590,5850,5656,,,,,16176,16176
134147,,,3,blackhole,,4,110,,,94,2641,15006798911259,15006798914824,2024,15006798911945,15006798914678,2020,15006798911951,15006798914678,2018,1179,1258,184,1324,,15815,15823
135171,,,3,blackhole,,110,110,,,164,407985,15006798968658,15006799519438,407373,15006798969319,15006799519272,407373,15006798969319,15006799519272,,407373,,,,,40475,40475
136195,,,3,blackhole,,48,110,,,1219,5794203,15006799192073,15006807014247,5551167,15006799520015,15006807014091,5551166,15006799520017,15006807014091,5551145,5547940,5548251,5548382,5548441,,550,552
137219,,,3,blackhole,,110,110,,,1154,5684194,15006799521231,15006807194893,133276,15006807014829,15006807194751,133276,15006807014829,15006807194751,133276,132998,,,,,547,547
138243,,,3,blackhole,,110,110,,,1064,179315,15006807132346,15006807374421,132415,15006807195518,15006807374278,132415,15006807195518,15006807374278,132414,132147,,,,,568,568
139267,,,3,blackhole,,110,110,,,1101,263985,15006807299187,15006807655567,207664,15006807375076,15006807655422,207664,15006807375076,15006807655422,207664,203799,206736,207249,206587,,591,591
140291,,,3,blackhole,,64,110,,,1259,2495272,15006807644657,15006811013274,2486718,15006807656045,15006811013114,2486716,15006807656047,15006811013114,2486716,2482510,2482810,2482943,2483004,,461,463
141315,,,3,blackhole,,110,110,,,1220,2488631,15006807657277,15006811016929,2160,15006811013864,15006811016780,2159,15006811013866,15006811016780,2159,1756,1787,1119,1370,,556,557
142339,,,3,blackhole,,110,110,,,1172,19443,15006811015756,15006811042004,18104,15006811017420,15006811041861,18104,15006811017420,15006811041861,18103,16221,,,,,474,474
