device_config,op_type,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
wh_galaxy,agmm,65536,3584,2048,6x8,8,14,8,1,4,11836905,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,16,1,4,1,42038272,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,16,2,2,2,28805196,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,16,4,1,4,23209460,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,16,8,1,4,19041437,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,28,1,4,1,37074299,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,28,2,2,2,26607697,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,28,4,1,4,21745761,OK
wh_galaxy,agmm,65536,3584,2048,6x8,8,28,8,1,4,18205415,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,1,1,4,1,61590999,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,1,2,2,2,41414128,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,1,4,1,4,35107545,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,1,8,1,4,33621230,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,2,1,4,1,48551800,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,2,2,2,2,31102281,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,2,4,1,4,24202616,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,2,8,1,4,17845504,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,4,1,4,1,41433978,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,4,2,2,2,23600076,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,4,4,1,4,15765811,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,4,8,1,4,12014745,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,1,4,1,36644428,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,2,2,2,20641069,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,4,1,4,13599987,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,1,4,11715901,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,8,1,4,1,35786429,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,8,2,2,2,20210247,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,8,4,1,4,13644408,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,8,8,1,4,11776859,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,14,1,4,1,35033959,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,14,2,2,2,20661214,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,14,4,1,4,15436426,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,16,1,4,1,41428325,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,16,2,2,2,28067350,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,16,4,1,4,22506151,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,28,1,4,1,35959406,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,28,2,2,2,25177790,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,1,1,4,1,58613267,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,1,2,2,2,40929935,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,1,4,1,4,34243873,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,2,1,4,1,46882226,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,2,2,2,2,29628183,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,2,4,1,4,23740008,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,4,1,4,1,40733111,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,4,2,2,2,23229607,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,4,4,1,4,15176381,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,7,1,4,1,36338926,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,7,2,2,2,19788108,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,7,4,1,4,13566064,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,8,1,4,1,35837963,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,8,2,2,2,19592327,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,14,1,4,1,33736307,OK
wh_galaxy,agmm,65536,3584,2048,6x8,32,16,1,4,1,40022112,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,1,1,4,1,57434378,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,1,2,2,2,40925071,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,2,1,4,1,45803861,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,2,2,2,2,29213005,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,4,1,4,1,41446075,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,4,2,2,2,23312080,OK
wh_galaxy,agmm,65536,3584,2048,6x8,64,7,1,4,1,35972861,OK
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,1,1,12926955,OK_SB
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,1,2,12108057,OK_SB
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,1,4,11711319,OK_SB
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,2,1,12456959,OK_SB
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,2,2,12023203,OK_SB
wh_galaxy,agmm,65536,3584,2048,6x8,16,7,8,4,1,12353819,OK_SB
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,1,2,1,8832110,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,2,2,2,4935775,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,4,1,4,3312002,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,8,1,4,2346608,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,16,1,4,2362072,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,32,1,4,2391096,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,1,64,1,4,2457628,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,1,2,1,5146225,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,2,2,2,3240850,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,4,1,4,2435514,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,8,1,4,1918407,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,16,1,4,1925775,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,32,1,4,1933646,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,2,64,1,4,1989822,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,4,1,2,1,3620502,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,4,2,2,2,2274447,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,4,4,1,4,1766514,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,4,8,1,4,1865313,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,4,16,1,4,1875714,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,4,32,1,4,1905041,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,7,1,2,1,2951162,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,7,2,2,2,1899307,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,7,4,1,4,1795738,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,7,8,1,4,1885144,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,7,16,1,4,1887064,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,7,32,1,4,1889793,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,8,1,2,1,2894688,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,8,2,2,2,1924385,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,8,4,1,4,1813548,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,8,8,1,4,1874231,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,8,16,1,4,1889199,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,8,32,1,4,1888004,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,14,1,2,1,2626340,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,14,2,2,2,1941047,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,14,4,1,4,1873111,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,14,8,1,4,1863629,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,14,16,1,4,1862206,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,16,1,2,1,3145825,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,16,2,2,2,2430983,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,16,4,1,4,2134185,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,16,8,1,4,1892866,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,16,16,1,4,1895086,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,28,1,2,1,2634445,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,28,2,2,2,2211949,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,28,4,1,4,1956742,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,28,8,1,4,1886667,OK
wh_galaxy,agmm,4096,3584,2048,6x8,2,28,16,1,4,1894743,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,1,1,4,1,5995453,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,1,2,2,2,3566896,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,1,4,1,4,2755948,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,1,8,1,4,2258651,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,1,16,1,4,2265286,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,1,32,1,4,2303898,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,2,1,4,1,3919953,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,2,2,2,2,2623567,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,2,4,1,4,1865297,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,2,8,1,4,1388406,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,2,16,1,4,1397850,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,2,32,1,4,1436575,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,4,1,4,1,3054565,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,4,2,2,2,1841687,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,4,4,1,4,1222218,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,4,8,1,4,1105096,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,4,16,1,4,1095919,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,4,32,1,4,1128906,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,7,1,4,1,2652170,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,7,2,2,2,1560346,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,7,4,1,4,1113108,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,7,8,1,4,1097244,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,7,16,1,4,1095771,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,7,32,1,4,1120572,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,8,1,4,1,2538085,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,8,2,2,2,1550428,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,8,4,1,4,1144820,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,8,8,1,4,1099272,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,8,16,1,4,1102416,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,14,1,4,1,2440499,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,14,2,2,2,1562128,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,14,4,1,4,1232531,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,14,8,1,4,1107098,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,14,16,1,4,1105862,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,16,1,4,1,2870872,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,16,2,2,2,2066302,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,16,4,1,4,1718237,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,16,8,1,4,1460146,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,16,16,1,4,1462553,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,28,1,4,1,2538099,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,28,2,2,2,1865436,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,28,4,1,4,1580609,OK
wh_galaxy,agmm,4096,3584,2048,6x8,4,28,8,1,4,1432149,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,1,1,4,1,4507823,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,1,2,2,2,2878027,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,1,4,1,4,2425749,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,1,8,1,4,2200874,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,1,16,1,4,2220854,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,2,1,4,1,3440453,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,2,2,2,2,2237346,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,2,4,1,4,1669240,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,2,8,1,4,1221002,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,2,16,1,4,1229227,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,4,1,4,1,2776049,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,4,2,2,2,1637548,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,4,4,1,4,1098488,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,4,8,1,4,843578,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,4,16,1,4,858496,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,7,1,4,1,2456273,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,7,2,2,2,1433852,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,7,4,1,4,977632,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,7,8,1,4,810268,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,7,16,1,4,827322,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,8,1,4,1,2408923,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,8,2,2,2,1428123,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,8,4,1,4,989870,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,8,8,1,4,821108,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,8,16,1,4,840755,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,14,1,4,1,2371787,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,14,2,2,2,1473392,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,14,4,1,4,1098285,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,14,8,1,4,870127,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,16,1,4,1,2806347,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,16,2,2,2,1946614,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,16,4,1,4,1612653,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,16,8,1,4,1325115,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,28,1,4,1,2493756,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,28,2,2,2,1796957,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,28,4,1,4,1531176,OK
wh_galaxy,agmm,4096,3584,2048,6x8,8,28,8,1,4,1283360,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,1,1,4,1,4200122,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,1,2,2,2,2783532,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,1,4,1,4,2347533,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,1,8,1,4,2275294,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,2,1,4,1,3302512,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,2,2,2,2,2121908,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,2,4,1,4,1647667,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,2,8,1,4,1272435,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,4,1,4,1,2727291,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,4,2,2,2,1600615,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,4,4,1,4,1092619,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,4,8,1,4,890869,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,7,1,4,1,2424715,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,7,2,2,2,1431191,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,7,4,1,4,985850,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,7,8,1,4,850388,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,8,1,4,1,2391563,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,8,2,2,2,1413609,OK
wh_galaxy,agmm,4096,3584,2048,6x8,16,8,4,1,4,997962,OK
