Test Configuration,Metric,Unit,GCC Result,LLVM Result,Difference,% Change,Notes
Running -bs 256 -p 16384 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 16384 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 16384 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 16384 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 16384 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,77.966,77.544,-0.422,-0.54%,
Running -bs 256 -p 16384 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,43.378,43.473,0.095,0.22%,
Running -bs 256 -p 2048 -m 0,Bandwidth,GB/s,27.724,27.863,0.139,0.50%,
Running -bs 256 -p 2048 -m 1,Bandwidth,GB/s,29.604,29.589,-0.015,-0.05%,
Running -bs 256 -p 2048 -m 2,Bandwidth,GB/s,79.978,80.353,0.375,0.47%,
Running -bs 256 -p 2048 -m 2 -rx 0,Bandwidth,GB/s,74.495,74.077,-0.418,-0.56%,
Running -bs 256 -p 2048 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,80.443,80.015,-0.428,-0.53%,
Running -bs 256 -p 2048 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,82.181,82.165,-0.016,-0.02%,
Running -bs 256 -p 2048 -m 3,Bandwidth,GB/s,73.789,74.167,0.378,0.51%,
Running -bs 256 -p 2048 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 2048 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 2048 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 2048 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 2048 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,52.592,52.463,-0.129,-0.25%,
Running -bs 256 -p 2048 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,9.965,9.956,-0.009,-0.09%,
Running -bs 256 -p 32768 -m 0,Bandwidth,GB/s,57.432,57.176,-0.256,-0.45%,
Running -bs 256 -p 32768 -m 1,Bandwidth,GB/s,31.916,31.869,-0.047,-0.15%,
Running -bs 256 -p 32768 -m 2,Bandwidth,GB/s,83.129,82.673,-0.456,-0.55%,
Running -bs 256 -p 32768 -m 2 -rx 0,Bandwidth,GB/s,77.693,77.306,-0.387,-0.50%,
Running -bs 256 -p 32768 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,83.435,83.366,-0.069,-0.08%,
Running -bs 256 -p 32768 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,83.605,83.422,-0.183,-0.22%,
Running -bs 256 -p 32768 -m 3,Bandwidth,GB/s,83.221,84.228,1.007,1.21%,
Running -bs 256 -p 32768 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 32768 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 32768 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 32768 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 32768 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,77.921,77.942,0.021,0.03%,
Running -bs 256 -p 32768 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,43.407,43.385,-0.022,-0.05%,
Running -bs 256 -p 4096 -m 0,Bandwidth,GB/s,54.367,54.513,0.146,0.27%,
Running -bs 256 -p 4096 -m 1,Bandwidth,GB/s,29.544,29.535,-0.009,-0.03%,
Running -bs 256 -p 4096 -m 2,Bandwidth,GB/s,81.882,81.972,0.090,0.11%,
Running -bs 256 -p 4096 -m 2 -rx 0,Bandwidth,GB/s,75.970,76.390,0.420,0.55%,
Running -bs 256 -p 4096 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,81.622,81.368,-0.254,-0.31%,
Running -bs 256 -p 4096 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,83.472,82.874,-0.598,-0.72%,
Running -bs 256 -p 4096 -m 3,Bandwidth,GB/s,83.445,82.889,-0.556,-0.67%,
Running -bs 256 -p 4096 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 4096 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 4096 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 4096 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 4096 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,64.367,64.592,0.225,0.35%,
Running -bs 256 -p 4096 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,17.784,17.592,-0.192,-1.08%,
Running -bs 256 -p 65536 -m 0,Bandwidth,GB/s,57.253,57.441,0.188,0.33%,
Running -bs 256 -p 65536 -m 1,Bandwidth,GB/s,47.474,47.420,-0.054,-0.11%,
Running -bs 256 -p 65536 -m 2,Bandwidth,GB/s,83.020,82.685,-0.335,-0.40%,
Running -bs 256 -p 65536 -m 2 -rx 0,Bandwidth,GB/s,77.765,77.417,-0.348,-0.45%,
Running -bs 256 -p 65536 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,83.211,83.622,0.411,0.49%,
Running -bs 256 -p 65536 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,84.006,84.010,0.004,0.00%,
Running -bs 256 -p 65536 -m 3,Bandwidth,GB/s,83.997,83.145,-0.852,-1.01%,
Running -bs 256 -p 65536 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 65536 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 65536 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 65536 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 65536 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,77.996,77.396,-0.600,-0.77%,
Running -bs 256 -p 65536 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,43.457,43.461,0.004,0.01%,
Running -bs 256 -p 8192 -m 0,Bandwidth,GB/s,57.425,57.124,-0.301,-0.52%,
Running -bs 256 -p 8192 -m 1,Bandwidth,GB/s,29.611,29.583,-0.028,-0.09%,
Running -bs 256 -p 8192 -m 2,Bandwidth,GB/s,82.929,82.888,-0.041,-0.05%,
Running -bs 256 -p 8192 -m 2 -rx 0,Bandwidth,GB/s,76.999,76.889,-0.110,-0.14%,
Running -bs 256 -p 8192 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,83.080,83.196,0.116,0.14%,
Running -bs 256 -p 8192 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,83.172,83.480,0.308,0.37%,
Running -bs 256 -p 8192 -m 3,Bandwidth,GB/s,83.644,83.111,-0.533,-0.64%,
Running -bs 256 -p 8192 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 8192 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 8192 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 8192 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 256 -p 8192 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,72.935,72.332,-0.603,-0.83%,
Running -bs 256 -p 8192 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,29.406,29.340,-0.066,-0.22%,
Running -bs 32 -p 128 -m 0,Bandwidth,GB/s,2.451,2.449,-0.002,-0.08%,
Running -bs 32 -p 128 -m 1,Bandwidth,GB/s,9.017,9.021,0.004,0.04%,
Running -bs 32 -p 128 -m 2,Bandwidth,GB/s,9.025,8.989,-0.036,-0.40%,
Running -bs 32 -p 128 -m 2 -rx 0,Bandwidth,GB/s,9.038,8.991,-0.047,-0.52%,
Running -bs 32 -p 128 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,9.038,8.997,-0.041,-0.45%,
Running -bs 32 -p 128 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,7.166,7.163,-0.003,-0.04%,
Running -bs 32 -p 128 -m 3,Bandwidth,GB/s,4.725,4.770,0.045,0.95%,
Running -bs 32 -p 128 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 32 -p 128 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 32 -p 128 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 32 -p 128 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 32 -p 128 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,5.309,5.309,0.000,0.00%,
Running -bs 32 -p 128 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,0.702,0.702,0.000,0.00%,
Running -bs 64 -p 256 -m 0,Bandwidth,GB/s,4.863,4.891,0.028,0.58%,
Running -bs 64 -p 256 -m 1,Bandwidth,GB/s,17.978,17.972,-0.006,-0.03%,
Running -bs 64 -p 256 -m 2,Bandwidth,GB/s,18.085,18.010,-0.075,-0.41%,
Running -bs 64 -p 256 -m 2 -rx 0,Bandwidth,GB/s,17.980,18.079,0.099,0.55%,
Running -bs 64 -p 256 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,18.060,18.082,0.022,0.12%,
Running -bs 64 -p 256 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,14.329,14.328,-0.001,-0.01%,
Running -bs 64 -p 256 -m 3,Bandwidth,GB/s,9.540,9.568,0.028,0.29%,
Running -bs 64 -p 256 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 64 -p 256 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 64 -p 256 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 64 -p 256 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 64 -p 256 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,10.621,10.621,0.000,0.00%,
Running -bs 64 -p 256 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,1.393,1.393,0.000,0.00%,
Running -bs 8 -p 16 -l -m 0,Latency,us,0.487625,0.486990,-0.000635,-0.13%,
Running -bs 8 -p 16 -l -m 1,Latency,us,0.328832,0.328889,0.000057,0.02%,
Running -bs 8 -p 16 -l -m 2,Latency,us,0.160793,0.160824,0.000031,0.02%,
Running -bs 8 -p 16 -l -m 2 -rx 0,Latency,us,0.048225,0.048217,-0.000008,-0.02%,
Running -bs 8 -p 16 -l -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Latency,us,0.243758,0.243789,0.000031,0.01%,
Running -bs 8 -p 16 -l -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Latency,us,0.240855,0.240861,0.000006,0.00%,
Running -bs 8 -p 16 -l -m 3,Latency,us,0.330738,0.330705,-0.000033,-0.01%,
Running -bs 8 -p 16 -l -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -l -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -l -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -l -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -l -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Latency,us,0.175635,0.175641,0.000006,0.00%,
Running -bs 8 -p 16 -l -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Latency,us,0.400871,0.400867,-0.000004,-0.00%,
Running -bs 8 -p 16 -m 0,Bandwidth,GB/s,0.308,0.308,0.000,0.00%,
Running -bs 8 -p 16 -m 1,Bandwidth,GB/s,1.132,1.130,-0.002,-0.18%,
Running -bs 8 -p 16 -m 2,Bandwidth,GB/s,1.133,1.134,0.001,0.09%,
Running -bs 8 -p 16 -m 2 -rx 0,Bandwidth,GB/s,1.134,1.133,-0.001,-0.09%,
Running -bs 8 -p 16 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,1.133,1.131,-0.002,-0.18%,
Running -bs 8 -p 16 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,0.898,0.896,-0.002,-0.22%,
Running -bs 8 -p 16 -m 3,Bandwidth,GB/s,0.599,0.598,-0.001,-0.17%,
Running -bs 8 -p 16 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 16 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,0.664,0.664,0.000,0.00%,
Running -bs 8 -p 16 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,0.088,0.088,0.000,0.00%,
Running -bs 8 -p 32 -m 0,Bandwidth,GB/s,0.615,0.607,-0.008,-1.30%,
Running -bs 8 -p 32 -m 1,Bandwidth,GB/s,2.247,2.261,0.014,0.62%,
Running -bs 8 -p 32 -m 2,Bandwidth,GB/s,2.258,2.260,0.002,0.09%,
Running -bs 8 -p 32 -m 2 -rx 0,Bandwidth,GB/s,2.254,2.260,0.006,0.27%,
Running -bs 8 -p 32 -m 2 -rx 0 -ry 0 -sx 6 -sy 5,Bandwidth,GB/s,2.261,2.260,-0.001,-0.04%,
Running -bs 8 -p 32 -m 2 -rx 0 -ry 0 -sx 6 -sy 5 -wr,Bandwidth,GB/s,1.789,1.791,0.002,0.11%,
Running -bs 8 -p 32 -m 3,Bandwidth,GB/s,1.192,1.196,0.004,0.34%,
Running -bs 8 -p 32 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 32 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 32 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Bandwidth,GB/s,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 32 -m 6 -rx 0 -ry 0 -sx 0 -sy 1 -tx 12 -ty 9 -link,Latency,us,Failed,Failed,N/A,N/A,GCC failed; LLVM failed
Running -bs 8 -p 32 -m 6 -rx 0 -ry 0 -sx 1 -sy 0 -tx 1 -ty 0,Bandwidth,GB/s,1.328,1.324,-0.004,-0.30%,
Running -bs 8 -p 32 -m 6 -rx 0 -ry 0 -sx 6 -sy 5 -tx 6 -ty 5,Bandwidth,GB/s,0.176,0.176,0.000,0.00%,
