Found 81297 values :

Input: 6.978446977870808e+37, Calculated: 7.310753976817037e+37, Golden: 7.34398467671166e+37, ATOL: 3.32306998946229e+35
Input: 6.911985578081563e+37, Calculated: 7.2442925770277915e+37, Golden: 7.277523276922414e+37, ATOL: 3.32306998946229e+35
Input: 6.513217179346088e+37, Calculated: 6.812293478397694e+37, Golden: 6.845524178292317e+37, ATOL: 3.32306998946229e+35
Input: 6.446755779556842e+37, Calculated: 6.745832078608448e+37, Golden: 6.779062778503071e+37, ATOL: 3.32306998946229e+35
Input: 6.380294379767596e+37, Calculated: 6.679370678819202e+37, Golden: 6.712601378713825e+37, ATOL: 3.32306998946229e+35
Input: 6.31383297997835e+37, Calculated: 6.612909279029956e+37, Golden: 6.646139978924579e+37, ATOL: 3.32306998946229e+35
Input: 6.247371580189105e+37, Calculated: 6.546447879240711e+37, Golden: 6.579678579135334e+37, ATOL: 3.32306998946229e+35
Input: 5.84860318145363e+37, Calculated: 6.114448780610613e+37, Golden: 6.147679480505236e+37, ATOL: 3.32306998946229e+35
Input: 5.782141781664384e+37, Calculated: 6.047987380821367e+37, Golden: 6.08121808071599e+37, ATOL: 3.32306998946229e+35
Input: 5.715680381875138e+37, Calculated: 5.981525981032121e+37, Golden: 6.014756680926744e+37, ATOL: 3.32306998946229e+35
Input: 5.649218982085892e+37, Calculated: 5.915064581242876e+37, Golden: 5.948295281137499e+37, ATOL: 3.32306998946229e+35
Input: 5.582757582296647e+37, Calculated: 5.84860318145363e+37, Golden: 5.881833881348253e+37, ATOL: 3.32306998946229e+35
Input: 5.183989183561172e+37, Calculated: 5.416604082823532e+37, Golden: 5.449834782718155e+37, ATOL: 3.32306998946229e+35
Input: 5.117527783771926e+37, Calculated: 5.350142683034286e+37, Golden: 5.383373382928909e+37, ATOL: 3.32306998946229e+35
Input: 5.05106638398268e+37, Calculated: 5.283681283245041e+37, Golden: 5.3169119831396635e+37, ATOL: 3.32306998946229e+35
Input: 4.9846049841934345e+37, Calculated: 5.217219883455795e+37, Golden: 5.250450583350418e+37, ATOL: 3.32306998946229e+35
Input: 4.918143584404189e+37, Calculated: 5.150758483666549e+37, Golden: 5.183989183561172e+37, ATOL: 3.32306998946229e+35
Input: 4.58583658545796e+37, Calculated: 4.785220784825697e+37, Golden: 4.81845148472032e+37, ATOL: 3.32306998946229e+35
Input: 4.519375185668714e+37, Calculated: 4.718759385036451e+37, Golden: 4.751990084931074e+37, ATOL: 3.32306998946229e+35
Input: 4.452913785879468e+37, Calculated: 4.652297985247206e+37, Golden: 4.685528685141828e+37, ATOL: 3.32306998946229e+35
Input: 4.386452386090222e+37, Calculated: 4.58583658545796e+37, Golden: 4.619067285352583e+37, ATOL: 3.32306998946229e+35
Input: 4.319990986300977e+37, Calculated: 4.519375185668714e+37, Golden: 4.552605885563337e+37, ATOL: 3.32306998946229e+35
Input: 3.921222587565502e+37, Calculated: 4.1039914369859278e+37, Golden: 4.120606786933239e+37, ATOL: 1.661534994731145e+35
Input: 3.854761187776256e+37, Calculated: 4.037530037196682e+37, Golden: 4.0541453871439934e+37, ATOL: 1.661534994731145e+35
Input: 3.7882997879870102e+37, Calculated: 3.971068637407436e+37, Golden: 3.9876839873547476e+37, ATOL: 1.661534994731145e+35
Input: 3.588915588619273e+37, Calculated: 3.7550690880923873e+37, Golden: 3.771684438039699e+37, ATOL: 1.661534994731145e+35
Input: 3.522454188830027e+37, Calculated: 3.6886076883031415e+37, Golden: 3.705223038250453e+37, ATOL: 1.661534994731145e+35
Input: 3.4559927890407813e+37, Calculated: 3.6221462885138958e+37, Golden: 3.638761638461207e+37, ATOL: 1.661534994731145e+35
Input: 3.256608589673044e+37, Calculated: 3.406146739198847e+37, Golden: 3.4227620891461584e+37, ATOL: 1.661534994731145e+35
Input: 3.190147189883798e+37, Calculated: 3.339685339409601e+37, Golden: 3.3563006893569126e+37, ATOL: 1.661534994731145e+35
Input: 3.1236857900945523e+37, Calculated: 3.2732239396203553e+37, Golden: 3.289839289567667e+37, ATOL: 1.661534994731145e+35
Input: 2.924301590726815e+37, Calculated: 3.0572243903053065e+37, Golden: 3.073839740252618e+37, ATOL: 1.661534994731145e+35
Input: 2.857840190937569e+37, Calculated: 2.9907629905160607e+37, Golden: 3.007378340463372e+37, ATOL: 1.661534994731145e+35
Input: 2.7913787911483233e+37, Calculated: 2.924301590726815e+37, Golden: 2.9409169406741264e+37, ATOL: 1.661534994731145e+35
Input: 2.591994591780586e+37, Calculated: 2.708302041411766e+37, Golden: 2.7249173913590775e+37, ATOL: 1.661534994731145e+35
Input: 2.52553319199134e+37, Calculated: 2.6418406416225203e+37, Golden: 2.6584559915698317e+37, ATOL: 1.661534994731145e+35
Input: 2.4590717922020944e+37, Calculated: 2.5753792418332745e+37, Golden: 2.591994591780586e+37, ATOL: 1.661534994731145e+35
Input: 2.193226193045111e+37, Calculated: 2.29291829272898e+37, Golden: 2.3095336426762913e+37, ATOL: 1.661534994731145e+35
Input: 1.927380593888128e+37, Calculated: 2.018765018598341e+37, Golden: 2.0270726935719967e+37, ATOL: 8.307674973655724e+34
Input: 1.7944577943096364e+37, Calculated: 1.8775345440461937e+37, Golden: 1.8858422190198494e+37, ATOL: 8.307674973655724e+34
Input: 1.595073594941899e+37, Calculated: 1.6698426697048006e+37, Golden: 1.6781503446784563e+37, ATOL: 8.307674973655724e+34
Input: 1.4621507953634075e+37, Calculated: 1.5286121951526533e+37, Golden: 1.536919870126309e+37, ATOL: 8.307674973655724e+34
Input: 1.3956893955741617e+37, Calculated: 1.4621507953634075e+37, Golden: 1.4704584703370632e+37, ATOL: 8.307674973655724e+34
Input: 1.26276659599567e+37, Calculated: 1.3209203208112601e+37, Golden: 1.3292279957849159e+37, ATOL: 8.307674973655724e+34
Input: 1.1298437964171785e+37, Calculated: 1.1796898462591128e+37, Golden: 1.1879975212327686e+37, ATOL: 8.307674973655724e+34
Input: 7.975367974709495e+36, Calculated: 8.349213348524003e+36, Golden: 8.390751723392281e+36, ATOL: 4.153837486827862e+34
Input: 7.310753976817037e+36, Calculated: 7.643060975763266e+36, Golden: 7.684599350631545e+36, ATOL: 4.153837486827862e+34
Input: 3.9876839873547476e+36, Calculated: 4.1746066742620014e+36, Golden: 4.195375861696141e+36, ATOL: 2.076918743413931e+34
Input: 1.9938419936773738e+36, Calculated: 2.0873033371310007e+36, Golden: 2.0976879308480704e+36, ATOL: 1.0384593717069655e+34
