device_config,op_type,use_case,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,3,3,4,1,400444,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,3,4,1,4,396503,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,3,6,2,2,377143,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,12,3,8,1,4,368127,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,1,1,4,1,796912,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,1,2,2,2,555880,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,1,3,4,1,486339,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,1,4,1,4,462676,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,1,6,2,2,402817,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,1,8,1,4,408541,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,3,1,4,1,621814,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,3,2,2,2,434082,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,3,3,4,1,408870,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,3,4,1,4,404316,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,3,6,2,2,384441,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,16,3,8,1,4,374963,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,1,1,4,1,825601,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,1,2,2,2,549648,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,1,3,4,1,483634,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,1,4,1,4,458752,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,1,6,2,2,400458,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,1,4,1,635660,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,2,2,2,457945,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,3,4,1,386415,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,4,1,4,405001,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,2,2,355252,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,1,1,4,1,817395,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,1,2,2,2,566124,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,1,3,4,1,490566,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,1,4,1,4,476982,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,3,1,4,1,630613,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,3,2,2,2,479589,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,32,3,3,4,1,405159,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,1,1,392454,OK_SB
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,1,2,391555,OK_SB
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,1,3,387327,OK_SB
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,2,1,389553,OK_SB
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,2,2,380197,OK_SB
wh_4x8,agmm,qkv,1024,768,4608,8x8,20,3,6,4,1,362515,OK_SB
