Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  910    1.1 %         ReshapeViewDeviceOperation                     0        91 μs                  110                                                       BF16 => BF16
 1045    0.1 %         UpdateKVCacheOperation                         1         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1050    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
 1052    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1058    0.1 %         TypecastDeviceOperation                        0         1 μs         10 μs      8                                                       BF16 => BFP8
 1059    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1063    0.1 %         TypecastDeviceOperation                        3         1 μs          8 μs      8                                                       BF16 => BFP8
 1067    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1073    0.2 %         SliceDeviceOperation                           1         1 μs         17 μs      8                                                       BF16 => BF16
 1075    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1081    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1086    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1089    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1093    0.1 %         UpdateKVCacheOperation                         1         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1097    0.2 %         SliceDeviceOperation                           1         1 μs         16 μs      8                                                       BF16 => BF16
 1102    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1105    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1108    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1114    0.1 %         TypecastDeviceOperation                        0         1 μs          8 μs      8                                                       BF16 => BFP8
 1117    0.1 %         UpdateKVCacheOperation                         1         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1119    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1125    0.2 %         SliceDeviceOperation                           1         1 μs         12 μs      8                                                       BF16 => BF16
 1128    0.2 %         TypecastDeviceOperation                        2         1 μs         14 μs      8                                                       BF16 => BFP8
 1133    0.1 %         UpdateKVCacheOperation                         1         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1138    0.1 %         TypecastDeviceOperation                        0         1 μs          8 μs      8                                                       BF16 => BFP8
 1141    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1146    0.2 %         SliceDeviceOperation                           0         1 μs         14 μs      8                                                       BF16 => BF16
 1150    0.2 %         SliceDeviceOperation                           0         1 μs         14 μs      8                                                       BF16 => BF16
 1152    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1155    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1162    0.1 %         TypecastDeviceOperation                        0         1 μs          7 μs      8                                                       BF16 => BFP8
 1164    0.1 %         UpdateKVCacheOperation                         2         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1167    0.2 %         SliceDeviceOperation                           3         1 μs         15 μs      8                                                       BF16 => BF16
 1172    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1176    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1182    0.1 %         UpdateKVCacheOperation                         0         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1185    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1190    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1194    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
 1196    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1199    0.2 %         TypecastDeviceOperation                        3         1 μs         17 μs      8                                                       BF16 => BFP8
 1204    0.1 %         UpdateKVCacheOperation                         2         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1210    0.1 %         TypecastDeviceOperation                        0         1 μs          8 μs      8                                                       BF16 => BFP8
 1213    0.2 %         UpdateKVCacheOperation                         1         4 μs         10 μs      1                                                 BFP8, BFP8 => BFP8
 1215    0.2 %         SliceDeviceOperation                           3         1 μs         17 μs      8                                                       BF16 => BF16
 1222    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1225    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1230    0.1 %         UpdateKVCacheOperation                         0         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1233    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1237    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1242    0.2 %         SliceDeviceOperation                           0         1 μs         14 μs      8                                                       BF16 => BF16
 1243    0.2 %         SliceDeviceOperation                           3         1 μs         15 μs      8                                                       BF16 => BF16
 1249    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1253    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1257    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1261    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1266    0.2 %         SliceDeviceOperation                           0         1 μs         15 μs      8                                                       BF16 => BF16
 1267    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1272    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
 1276    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1281    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1286    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1289    0.2 %         SliceDeviceOperation                           1         1 μs         16 μs      8                                                       BF16 => BF16
 1294    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1296    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1300    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1305    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1309    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1313    0.2 %         SliceDeviceOperation                           1         1 μs         15 μs      8                                                       BF16 => BF16
 1318    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1321    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1326    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1329    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1333    0.2 %         UpdateKVCacheOperation                         1         4 μs         12 μs      1                                                 BFP8, BFP8 => BFP8
 1335    0.2 %         SliceDeviceOperation                           3         1 μs         18 μs      8                                                       BF16 => BF16
 1341    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1343    0.1 %         TypecastDeviceOperation                        3         1 μs         11 μs      8                                                       BF16 => BFP8
 1347    0.1 %         UpdateKVCacheOperation                         3         4 μs          9 μs      1                                                 BFP8, BFP8 => BFP8
 1353    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1356    0.1 %         UpdateKVCacheOperation                         2         4 μs          9 μs      1                                                 BFP8, BFP8 => BFP8
 1359    0.2 %         SliceDeviceOperation                           3         1 μs         15 μs      8                                                       BF16 => BF16
 1365    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1370    0.1 %         TypecastDeviceOperation                        0         1 μs         11 μs      8                                                       BF16 => BFP8
 1371    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1377    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1380    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1386    0.2 %         SliceDeviceOperation                           0         1 μs         15 μs      8                                                       BF16 => BF16
 1390    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1394    0.1 %         TypecastDeviceOperation                        0         1 μs         10 μs      8                                                       BF16 => BFP8
 1396    0.1 %         UpdateKVCacheOperation                         2         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1401    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1406    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1409    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1414    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1415    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1422    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1426    0.1 %         TypecastDeviceOperation                        0         1 μs         11 μs      8                                                       BF16 => BFP8
 1430    0.1 %         UpdateKVCacheOperation                         0         3 μs          9 μs      1                                                 BFP8, BFP8 => BFP8
 1431    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1436    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1440    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
 1446    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1448    0.1 %         TypecastDeviceOperation                        2         1 μs          8 μs      8                                                       BF16 => BFP8
 1453    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1458    0.2 %         SliceDeviceOperation                           0         1 μs         15 μs      8                                                       BF16 => BF16
 1462    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1465    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1468    0.1 %         UpdateKVCacheOperation                         2         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1471    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1475    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1481    0.2 %         SliceDeviceOperation                           1         1 μs         16 μs      8                                                       BF16 => BF16
 1483    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1488    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1494    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1498    0.1 %         TypecastDeviceOperation                        0         1 μs          7 μs      8                                                       BF16 => BFP8
 1501    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1503    0.2 %         SliceDeviceOperation                           3         1 μs         15 μs      8                                                       BF16 => BF16
 1509    0.2 %         SliceDeviceOperation                           1         1 μs         13 μs      8                                                       BF16 => BF16
 1512    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1515    0.1 %         UpdateKVCacheOperation                         3         3 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1519    0.1 %         TypecastDeviceOperation                        3         1 μs          8 μs      8                                                       BF16 => BFP8
 1525    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1529    0.2 %         SliceDeviceOperation                           1         1 μs         15 μs      8                                                       BF16 => BF16
 1531    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1537    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1542    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1545    0.2 %         TypecastDeviceOperation                        1         1 μs         15 μs      8                                                       BF16 => BFP8
 1549    0.2 %         UpdateKVCacheOperation                         1         4 μs         13 μs      1                                                 BFP8, BFP8 => BFP8
 1552    0.2 %         SliceDeviceOperation                           2         1 μs         16 μs      8                                                       BF16 => BF16
 1557    0.2 %         SliceDeviceOperation                           1         1 μs         15 μs      8                                                       BF16 => BF16
 1559    0.1 %         TypecastDeviceOperation                        3         1 μs         11 μs      8                                                       BF16 => BFP8
 1565    0.1 %         UpdateKVCacheOperation                         1         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1570    0.1 %         TypecastDeviceOperation                        0         1 μs          8 μs      8                                                       BF16 => BFP8
 1572    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1576    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1582    0.2 %         SliceDeviceOperation                           0         1 μs         14 μs      8                                                       BF16 => BF16
 1584    0.1 %         TypecastDeviceOperation                        2         1 μs         11 μs      8                                                       BF16 => BFP8
 1589    0.2 %         UpdateKVCacheOperation                         1         3 μs         10 μs      1                                                 BFP8, BFP8 => BFP8
 1594    0.1 %         TypecastDeviceOperation                        0         1 μs          8 μs      8                                                       BF16 => BFP8
 1598    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1599    0.2 %         SliceDeviceOperation                           3         1 μs         15 μs      8                                                       BF16 => BF16
 1604    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1609    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1614    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1615    0.1 %         TypecastDeviceOperation                        3         1 μs          8 μs      8                                                       BF16 => BFP8
 1622    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1626    0.2 %         SliceDeviceOperation                           0         1 μs         17 μs      8                                                       BF16 => BF16
 1629    0.2 %         SliceDeviceOperation                           1         1 μs         13 μs      8                                                       BF16 => BF16
 1633    0.1 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1635    0.1 %         UpdateKVCacheOperation                         3         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1641    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1643    0.1 %         UpdateKVCacheOperation                         3         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1650    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
 1654    0.2 %         SliceDeviceOperation                           0         1 μs         15 μs      8                                                       BF16 => BF16
 1655    0.1 %         TypecastDeviceOperation                        3         1 μs         11 μs      8                                                       BF16 => BFP8
 1659    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1664    0.1 %         TypecastDeviceOperation                        2         1 μs          8 μs      8                                                       BF16 => BFP8
 1670    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1672    0.2 %         SliceDeviceOperation                           2         1 μs         16 μs      8                                                       BF16 => BF16
 1676    0.2 %         SliceDeviceOperation                           2         1 μs         13 μs      8                                                       BF16 => BF16
 1681    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1686    0.1 %         UpdateKVCacheOperation                         0         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1690    0.1 %         TypecastDeviceOperation                        0         1 μs          7 μs      8                                                       BF16 => BFP8
 1694    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1698    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
 1700    0.2 %         SliceDeviceOperation                           2         1 μs         14 μs      8                                                       BF16 => BF16
 1706    0.1 %         TypecastDeviceOperation                        0         1 μs         11 μs      8                                                       BF16 => BFP8
 1710    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1714    0.1 %         TypecastDeviceOperation                        0         1 μs          8 μs      8                                                       BF16 => BFP8
 1715    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1719    0.7 %         SDPAOperation                                  3        20 μs         39 μs     64                                                 BF16, BF16 => BF16
 1724    0.3 %         NLPConcatHeadsDeviceOperation                  2        13 μs         13 μs     32                                                       BF16 => BF16
 1728    0.6 %         ReshapeViewDeviceOperation                     2        30 μs         20 μs    110                                                       BF16 => BF16
 1733    0.6 %   SLOW  MatmulDeviceOperation 544 x 768 x 3072         1        26 μs         28 μs     99  209 GB/s  40.8 %  100.1 TFLOPs   18.3 %  LoFi BF16 x BFP4 => BF16
 1735    3.8 %         ReduceScatterDeviceOperation                   0        65 μs        263 μs     12                                                       BF16 => BF16
 1739    1.1 %         AllGatherDeviceOperation                       0        46 μs         47 μs     20                                                       BF16 => BF16
 1746    0.8 %         BinaryNgDeviceOperation                        0        24 μs         41 μs    110                                                 BF16, BF16 => BF16
 1748    0.7 %         LayerNormDeviceOperation                       2        31 μs         32 μs     17                                                 BF16, BF16 => BF16
 1752    1.4 %   SLOW  MatmulDeviceOperation 544 x 3072 x 6144        2        99 μs         19 μs     99  196 GB/s  38.3 %  206.8 TFLOPs   37.8 %  LoFi BF16 x BFP4 => BF16
 1757    1.2 %   SLOW  MatmulDeviceOperation 544 x 3072 x 6144        1        99 μs          1 μs     99  196 GB/s  38.3 %  206.9 TFLOPs   37.8 %  LoFi BF16 x BFP4 => BF16
 1761    0.6 %         BinaryNgDeviceOperation                        1        55 μs          1 μs    110                                                 BF16, BF16 => BF16
 1763    1.1 %   SLOW  MatmulDeviceOperation 544 x 6144 x 3072        3        98 μs          1 μs     99  199 GB/s  39.0 %  210.4 TFLOPs   38.4 %  LoFi BF16 x BFP4 => BF16
 1767    0.7 %         ReduceScatterDeviceOperation                   0        62 μs          1 μs     12                                                       BF16 => BF16
 1771    0.5 %         AllGatherDeviceOperation                       0        46 μs          0 μs     20                                                       BF16 => BF16
 1778    0.3 %         BinaryNgDeviceOperation                        0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
 1782    1.3 %         ReshapeViewDeviceOperation                     0       112 μs          1 μs    110                                                       BF16 => BF16
 1783    1.6 %         ReshapeViewDeviceOperation                     3        93 μs         48 μs    110                                                       BF16 => BF16
 1787    0.4 %         LayerNormDeviceOperation                       3        31 μs          1 μs     17                                                 BF16, BF16 => BF16
 1793    0.4 %   SLOW  MatmulDeviceOperation 544 x 3072 x 1280        1        30 μs          1 μs     90  226 GB/s  44.1 %  144.1 TFLOPs   29.0 %  LoFi BF16 x BFP4 => BF16
 1796    0.6 %         ReshapeViewDeviceOperation                     2        49 μs          1 μs    110                                                       BF16 => BF16
 1800    0.2 %         NlpCreateHeadsDeviceOperation                  2        21 μs          1 μs     32                                                       BF16 => BF16
 1804    0.0 %         SliceDeviceOperation                           2         2 μs          1 μs      8                                                       BF16 => BF16
 1808    0.0 %         SliceDeviceOperation                           2         2 μs          1 μs      8                                                       BF16 => BF16
 1814    0.2 %         RotaryEmbeddingDeviceOperation                 0        20 μs          0 μs     32                                                 BF16, BF16 => BF16
 1815    0.5 %         RotaryEmbeddingDeviceOperation                 3        41 μs          0 μs     96                                                 BF16, BF16 => BF16
 1820    0.0 %         SliceDeviceOperation                           2         3 μs          0 μs    110                                                       BF16 => BF16
 1826    0.1 %         SliceDeviceOperation                           0         9 μs          0 μs    110                                                       BF16 => BF16
 1827    0.0 %         SliceDeviceOperation                           3         1 μs          1 μs      8                                                       BF16 => BF16
 1832    0.0 %         SliceDeviceOperation                           2         1 μs          1 μs      8                                                       BF16 => BF16
 1836    0.0 %         TypecastDeviceOperation                        2         1 μs          1 μs      8                                                       BF16 => BFP8
 1842    0.2 %         UpdateKVCacheOperation                         0         4 μs         10 μs      1                                                 BFP8, BFP8 => BFP8
 1845    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1850    0.1 %         UpdateKVCacheOperation                         0         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1854    0.1 %         SliceDeviceOperation                           0         1 μs         10 μs      8                                                       BF16 => BF16
 1856    0.2 %         SliceDeviceOperation                           2         1 μs         12 μs      8                                                       BF16 => BF16
 1862    0.1 %         TypecastDeviceOperation                        0         1 μs         12 μs      8                                                       BF16 => BFP8
 1865    0.2 %         UpdateKVCacheOperation                         1         4 μs         15 μs      1                                                 BFP8, BFP8 => BFP8
 1868    0.2 %         TypecastDeviceOperation                        2         1 μs         13 μs      8                                                       BF16 => BFP8
 1873    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1875    0.1 %         SliceDeviceOperation                           3         1 μs         11 μs      8                                                       BF16 => BF16
 1879    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1886    0.1 %         TypecastDeviceOperation                        0         1 μs         11 μs      8                                                       BF16 => BFP8
 1890    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1892    0.1 %         TypecastDeviceOperation                        2         1 μs          8 μs      8                                                       BF16 => BFP8
 1896    0.1 %         UpdateKVCacheOperation                         2         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1902    0.1 %         SliceDeviceOperation                           0         1 μs         11 μs      8                                                       BF16 => BF16
 1906    0.1 %         SliceDeviceOperation                           0         1 μs         12 μs      8                                                       BF16 => BF16
 1908    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
 1913    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1917    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
