csv,activation,method,degree,segments,dtype,max_ulp,runtime_us,compiles,status
log_p2_s3_uniform_any_ulp.csv,log,exponent_alu_log2,2,3,bf16,1.00,2.01,1,controlled_replay_log_preload_skip_specials
log10_p3_s16_uniform_any_ulp.csv,log10,exponent_alu_log2,3,16,bf16,0.50,2.11,1,controlled_replay_log_preload_skip_specials
log1p_p2_s16_uniform_any_ulp.csv,log1p,exponent_alu_log2,2,16,bf16,1.00,2.11,1,controlled_replay_log_preload_skip_specials
log2_p3_s8_uniform_any_ulp.csv,log2,exponent_alu_log2,3,8,bf16,1.00,2.11,1,controlled_replay_log_preload_skip_specials
logit_n4d4_s1_uniform_rational_ulp.csv,logit,rational,4d4,1,bf16,1.00,3.04,1,controlled_replay
logsigmoid_n5d5_s2_uniform_rational_ulp.csv,logsigmoid,rational,5d5,2,bf16,0.00,5.47,1,controlled_replay
mish_p9_s2_uniform_any_ulp.csv,mish,poly,9,2,bf16,0.25,3.27,1,controlled_replay
multigammaln_p4_p1_s1_uniform_any_ulp.csv,multigammaln,poly,1,1,bf16,93.75,1.73,1,controlled_replay_p4_regen_affine
polygamma_p10_s32_uniform_any_ulp.csv,polygamma,poly,10,32,bf16,16.00,25.98,1,controlled_replay
prelu_p2_s2_uniform_any_ulp.csv,prelu,poly,2,2,bf16,0.00,1.78,1,controlled_replay
relu_p1_s2_uniform_any_ulp.csv,relu,clamped_affine,1,2,bf16,0.00,1.66,1,controlled_replay
relu6_p6_s3_uniform_any_ulp.csv,relu6,clamped_affine,6,3,bf16,0.00,1.70,1,controlled_replay
relu_max_p1_s3_uniform_any_ulp.csv,relu_max,poly,1,3,bf16,0.00,1.71,1,controlled_replay
relu_min_p1_s2_uniform_any_ulp.csv,relu_min,poly,1,2,bf16,0.00,1.68,1,controlled_replay
rsqrt_p13_s1_uniform_any_ulp.csv,rsqrt,newton_root,13,1,bf16,0.00,2.11,1,controlled_replay
selu_p14_s2_uniform_any_ulp.csv,selu,poly,14,2,bf16,0.00,2.80,1,controlled_replay
sigmoid_p2_s1_uniform_fpminimax_ulp.csv,sigmoid,exponent_alu_exp2,2,1,bf16,0.50,2.18,1,controlled_replay_sigmoid_preload
sigmoid_accurate_p2_s1_uniform_fpminimax_ulp.csv,sigmoid_accurate,exponent_alu_exp2,2,1,bf16,0.50,2.18,1,controlled_replay_sigmoid_preload
silu_p3_s1_uniform_any_ulp.csv,silu,exponent_alu_exp2,3,1,bf16,0.03,2.54,1,controlled_replay_sigmoid_preload
sin_p7_s1_uniform_fpminimax_ulp.csv,sin,trig_residual,7,1,bf16,0.00,2.33,1,controlled_replay_trig_coeff_hoist
sinh_n13d2_s1_uniform_rational_ulp.csv,sinh,rational,13d2,1,bf16,0.00,3.04,1,controlled_replay
softplus_p10_s2_uniform_any_ulp.csv,softplus,poly,10,2,bf16,0.12,3.30,1,controlled_replay
softshrink_p2_s3_uniform_any_ulp.csv,softshrink,threshold_softshift,2,3,bf16,0.00,1.77,1,controlled_replay
softsign_n1d1_s2_uniform_rational_ulp.csv,softsign,abs_denominator_rational,1d1,2,bf16,1.00,1.76,1,controlled_replay
sqrt_p11_s1_uniform_any_ulp.csv,sqrt,newton_root,11,1,bf16,0.00,2.26,1,controlled_replay
swish_p3_s1_uniform_any_ulp.csv,swish,exponent_alu_exp2,3,1,bf16,0.03,2.54,1,controlled_replay_sigmoid_preload
tan_p8_s1_uniform_any_ulp.csv,tan,tan,8,1,bf16,0.12,2.86,1,controlled_replay
tanh_n5d3_s1_uniform_rational_ulp.csv,tanh,rational,5d3,1,bf16,0.50,2.27,1,controlled_replay
tanhshrink_n12d3_s1_uniform_rational_ulp.csv,tanhshrink,rational,12d3,1,bf16,0.12,2.86,1,controlled_replay
threshold_p2_s2_uniform_any_ulp.csv,threshold,poly,2,2,bf16,0.00,1.67,1,controlled_replay
