csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
acos_n5d1_s2_uniform_rational_ulp.csv,acos,asin_acos,5d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n5d3_s2_uniform_rational_ulp.csv,acos,asin_acos,5d3,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n5d5_s2_uniform_rational_ulp.csv,acos,asin_acos,5d5,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n6d2_s2_uniform_rational_ulp.csv,acos,asin_acos,6d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n6d4_s2_uniform_rational_ulp.csv,acos,asin_acos,6d4,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n6d6_s2_uniform_rational_ulp.csv,acos,asin_acos,6d6,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n7d2_s2_uniform_rational_ulp.csv,acos,asin_acos,7d2,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n7d4_s2_uniform_rational_ulp.csv,acos,asin_acos,7d4,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n7d6_s2_uniform_rational_ulp.csv,acos,asin_acos,7d6,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n8d1_s2_uniform_rational_ulp.csv,acos,asin_acos,8d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n8d3_s2_uniform_rational_ulp.csv,acos,asin_acos,8d3,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n8d5_s2_uniform_rational_ulp.csv,acos,asin_acos,8d5,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n8d7_s2_uniform_rational_ulp.csv,acos,asin_acos,8d7,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n9d1_s2_uniform_rational_ulp.csv,acos,asin_acos,9d1,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n9d3_s2_uniform_rational_ulp.csv,acos,asin_acos,9d3,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n9d5_s2_uniform_rational_ulp.csv,acos,asin_acos,9d5,2,bf16,-,-,0,"[-0.99,0.99]"
acos_n9d7_s2_uniform_rational_ulp.csv,acos,asin_acos,9d7,2,bf16,-,-,0,"[-0.99,0.99]"
acos_p13_s1_uniform_any_ulp.csv,acos,asin_acos,13,1,bf16,0.00,19.01,1,"[-0.99,0.99]"
acos_p1_s1_uniform_any_ulp.csv,acos,asin_acos,1,1,bf16,1.00,4.63,1,"[-0.99,0.99]"
acos_p5_s1_uniform_any_ulp.csv,acos,asin_acos,5,1,bf16,0.00,5.95,1,"[-0.99,0.99]"
acos_p9_s1_uniform_any_ulp.csv,acos,asin_acos,9,1,bf16,0.00,7.14,1,"[-0.99,0.99]"
acosh_n10d2_s2_uniform_rational_ulp.csv,acosh,rational,10d2,2,bf16,1.00,6.24,1,"[1.01,100.0]"
acosh_n10d4_s2_uniform_rational_ulp.csv,acosh,rational,10d4,2,bf16,0.50,6.90,1,"[1.01,100.0]"
acosh_n10d6_s2_uniform_rational_ulp.csv,acosh,rational,10d6,2,bf16,0.12,7.57,1,"[1.01,100.0]"
acosh_n11d2_s2_uniform_rational_ulp.csv,acosh,rational,11d2,2,bf16,1.00,6.57,1,"[1.01,100.0]"
acosh_n11d4_s2_uniform_rational_ulp.csv,acosh,rational,11d4,2,bf16,3.03,7.23,1,"[1.01,100.0]"
acosh_n12d1_s2_uniform_rational_ulp.csv,acosh,rational,12d1,2,bf16,3.00,6.57,1,"[1.01,100.0]"
acosh_n12d3_s2_uniform_rational_ulp.csv,acosh,rational,12d3,2,bf16,1.00,7.23,1,"[1.01,100.0]"
acosh_n13d1_s2_uniform_rational_ulp.csv,acosh,rational,13d1,2,bf16,19.00,6.90,1,"[1.01,100.0]"
acosh_n13d3_s2_uniform_rational_ulp.csv,acosh,rational,13d3,2,bf16,1.00,7.57,1,"[1.01,100.0]"
acosh_n14d2_s2_uniform_rational_ulp.csv,acosh,rational,14d2,2,bf16,2.00,7.57,1,"[1.01,100.0]"
acosh_n1d1_s2_uniform_rational_ulp.csv,acosh,rational,1d1,2,bf16,31.00,2.93,1,"[1.01,100.0]"
acosh_n2d2_s2_uniform_rational_ulp.csv,acosh,rational,2d2,2,bf16,6.00,3.64,1,"[1.01,100.0]"
acosh_n3d2_s2_uniform_rational_ulp.csv,acosh,rational,3d2,2,bf16,3.00,3.92,1,"[1.01,100.0]"
acosh_n4d1_s2_uniform_rational_ulp.csv,acosh,rational,4d1,2,bf16,9.00,3.92,1,"[1.01,100.0]"
acosh_n4d3_s2_uniform_rational_ulp.csv,acosh,rational,4d3,2,bf16,1.00,4.58,1,"[1.01,100.0]"
acosh_n5d1_s2_uniform_rational_ulp.csv,acosh,rational,5d1,2,bf16,7.00,4.25,1,"[1.01,100.0]"
acosh_n5d3_s2_uniform_rational_ulp.csv,acosh,rational,5d3,2,bf16,1.00,4.91,1,"[1.01,100.0]"
acosh_n5d5_s2_uniform_rational_ulp.csv,acosh,rational,5d5,2,bf16,1.00,5.58,1,"[1.01,100.0]"
acosh_n6d2_s2_uniform_rational_ulp.csv,acosh,rational,6d2,2,bf16,1.00,4.92,1,"[1.01,100.0]"
acosh_n6d4_s2_uniform_rational_ulp.csv,acosh,rational,6d4,2,bf16,1.00,5.57,1,"[1.01,100.0]"
acosh_n6d6_s2_uniform_rational_ulp.csv,acosh,rational,6d6,2,bf16,0.50,6.24,1,"[1.01,100.0]"
acosh_n7d2_s2_uniform_rational_ulp.csv,acosh,rational,7d2,2,bf16,1.00,5.24,1,"[1.01,100.0]"
acosh_n7d4_s2_uniform_rational_ulp.csv,acosh,rational,7d4,2,bf16,1.00,5.91,1,"[1.01,100.0]"
acosh_n7d6_s2_uniform_rational_ulp.csv,acosh,rational,7d6,2,bf16,0.12,6.63,1,"[1.01,100.0]"
acosh_n8d1_s2_uniform_rational_ulp.csv,acosh,rational,8d1,2,bf16,4.00,5.24,1,"[1.01,100.0]"
acosh_n8d3_s2_uniform_rational_ulp.csv,acosh,rational,8d3,2,bf16,1.00,5.91,1,"[1.01,100.0]"
acosh_n8d5_s2_uniform_rational_ulp.csv,acosh,rational,8d5,2,bf16,0.12,6.57,1,"[1.01,100.0]"
acosh_n8d7_s2_uniform_rational_ulp.csv,acosh,rational,8d7,2,bf16,0.12,7.29,1,"[1.01,100.0]"
acosh_n9d1_s2_uniform_rational_ulp.csv,acosh,rational,9d1,2,bf16,3.00,5.57,1,"[1.01,100.0]"
acosh_n9d3_s2_uniform_rational_ulp.csv,acosh,rational,9d3,2,bf16,1.00,6.24,1,"[1.01,100.0]"
acosh_n9d5_s2_uniform_rational_ulp.csv,acosh,rational,9d5,2,bf16,0.12,6.91,1,"[1.01,100.0]"
acosh_n9d7_s2_uniform_rational_ulp.csv,acosh,rational,9d7,2,bf16,1.56,7.57,1,"[1.01,100.0]"
acosh_p10_s4_uniform_any_ulp.csv,acosh,poly,10,4,bf16,17.00,4.29,1,"[1.01,100.0]"
acosh_p12_s1_uniform_any_ulp.csv,acosh,poly,12,1,bf16,44.50,2.35,1,"[1.01,100.0]"
acosh_p14_s1_uniform_any_ulp.csv,acosh,poly,14,1,bf16,44.50,2.36,1,"[1.01,100.0]"
acosh_p1_s1_uniform_any_ulp.csv,acosh,poly,1,1,bf16,90.00,1.74,1,"[1.01,100.0]"
acosh_p1_s4_uniform_any_ulp.csv,acosh,poly,1,4,bf16,81.00,2.67,1,"[1.01,100.0]"
acosh_p2_s2_uniform_any_ulp.csv,acosh,poly,2,2,bf16,82.00,2.07,1,"[1.01,100.0]"
acosh_p2_s8_uniform_any_ulp.csv,acosh,poly,2,8,bf16,40.50,5.26,1,"[1.01,100.0]"
acosh_p3_s32_uniform_any_ulp.csv,acosh,poly,3,32,bf16,10.00,17.16,1,"[1.01,100.0]"
acosh_p4_s16_uniform_any_ulp.csv,acosh,poly,4,16,bf16,13.50,10.13,1,"[1.01,100.0]"
acosh_p4_s3_uniform_any_ulp.csv,acosh,poly,4,3,bf16,44.00,2.92,1,"[1.01,100.0]"
acosh_p5_s1_uniform_any_ulp.csv,acosh,poly,5,1,bf16,68.00,1.89,1,"[1.01,100.0]"
acosh_p5_s4_uniform_any_ulp.csv,acosh,poly,5,4,bf16,31.00,3.78,1,"[1.01,100.0]"
acosh_p6_s2_uniform_any_ulp.csv,acosh,poly,6,2,bf16,41.50,2.59,1,"[1.01,100.0]"
acosh_p7_s1_uniform_any_ulp.csv,acosh,poly,7,1,bf16,53.00,2.05,1,"[1.01,100.0]"
acosh_p7_s8_uniform_any_ulp.csv,acosh,poly,7,8,bf16,13.00,6.11,1,"[1.01,100.0]"
acosh_p8_s4_uniform_any_ulp.csv,acosh,poly,8,4,bf16,18.50,4.07,1,"[1.01,100.0]"
acosh_p9_s3_uniform_any_ulp.csv,acosh,poly,9,3,bf16,19.00,3.47,1,"[1.01,100.0]"
asin_n10d3_s1_uniform_rational_ulp.csv,asin,rational,10d3,1,bf16,1.00,2.71,1,"[-0.99,0.99]"
asin_n11d1_s1_uniform_rational_ulp.csv,asin,rational,11d1,1,bf16,1.00,2.71,1,"[-0.99,0.99]"
asin_n11d5_s1_uniform_rational_ulp.csv,asin,rational,11d5,1,bf16,0.50,3.04,1,"[-0.99,0.99]"
asin_n12d4_s1_uniform_rational_ulp.csv,asin,rational,12d4,1,bf16,0.50,3.04,1,"[-0.99,0.99]"
asin_n14d1_s1_uniform_rational_ulp.csv,asin,rational,14d1,1,bf16,1.00,2.98,1,"[-0.99,0.99]"
asin_n2d1_s1_uniform_rational_ulp.csv,asin,rational,2d1,1,bf16,32.00,1.91,1,"[-0.99,0.99]"
asin_n3d3_s1_uniform_rational_ulp.csv,asin,rational,3d3,1,bf16,2.00,2.22,1,"[-0.99,0.99]"
asin_n4d4_s1_uniform_rational_ulp.csv,asin,rational,4d4,1,bf16,1.00,2.38,1,"[-0.99,0.99]"
asin_n5d4_s1_uniform_rational_ulp.csv,asin,rational,5d4,1,bf16,1.00,2.54,1,"[-0.99,0.99]"
asin_n6d3_s1_uniform_rational_ulp.csv,asin,rational,6d3,1,bf16,1.00,2.38,1,"[-0.99,0.99]"
asin_n7d1_s1_uniform_rational_ulp.csv,asin,rational,7d1,1,bf16,2.00,2.49,1,"[-0.99,0.99]"
asin_n7d5_s1_uniform_rational_ulp.csv,asin,rational,7d5,1,bf16,0.25,2.71,1,"[-0.99,0.99]"
asin_n8d2_s1_uniform_rational_ulp.csv,asin,rational,8d2,1,bf16,1.00,2.54,1,"[-0.99,0.99]"
asin_n8d6_s1_uniform_rational_ulp.csv,asin,rational,8d6,1,bf16,0.25,2.87,1,"[-0.99,0.99]"
asin_n9d2_s1_uniform_rational_ulp.csv,asin,rational,9d2,1,bf16,1.00,2.71,1,"[-0.99,0.99]"
asin_n9d6_s1_uniform_rational_ulp.csv,asin,rational,9d6,1,bf16,0.00,3.04,1,"[-0.99,0.99]"
asin_p10_s3_uniform_any_ulp.csv,asin,poly,10,3,bf16,1.00,4.08,1,"[-0.99,0.99]"
asin_p11_s3_uniform_any_ulp.csv,asin,poly,11,3,bf16,1.00,4.58,1,"[-0.99,0.99]"
asin_p13_s2_uniform_any_ulp.csv,asin,poly,13,2,bf16,1.00,3.43,1,"[-0.99,0.99]"
asin_p1_s16_uniform_any_ulp.csv,asin,poly,1,16,bf16,3.00,8.51,1,"[-0.99,0.99]"
asin_p1_s3_uniform_any_ulp.csv,asin,poly,1,3,bf16,32.00,2.14,1,"[-0.99,0.99]"
asin_p2_s1_uniform_any_ulp.csv,asin,poly,2,1,bf16,33.00,1.73,1,"[-0.99,0.99]"
asin_p2_s4_uniform_any_ulp.csv,asin,poly,2,4,bf16,5.00,2.79,1,"[-0.99,0.99]"
asin_p3_s2_uniform_any_ulp.csv,asin,poly,3,2,bf16,8.00,2.01,1,"[-0.99,0.99]"
asin_p3_s8_uniform_any_ulp.csv,asin,poly,3,8,bf16,1.00,6.14,1,"[-0.99,0.99]"
asin_p4_s32_uniform_any_ulp.csv,asin,poly,4,32,bf16,1.00,17.84,1,"[-0.99,0.99]"
asin_p5_s16_uniform_any_ulp.csv,asin,poly,5,16,bf16,1.00,10.64,1,"[-0.99,0.99]"
asin_p5_s3_uniform_any_ulp.csv,asin,poly,5,3,bf16,4.00,3.15,1,"[-0.99,0.99]"
asin_p6_s1_uniform_any_ulp.csv,asin,poly,6,1,bf16,4.00,1.87,1,"[-0.99,0.99]"
asin_p6_s8_uniform_any_ulp.csv,asin,poly,6,8,bf16,1.00,7.05,1,"[-0.99,0.99]"
asin_p7_s4_uniform_any_ulp.csv,asin,poly,7,4,bf16,1.00,4.85,1,"[-0.99,0.99]"
asin_p8_s3_uniform_any_ulp.csv,asin,poly,8,3,bf16,2.00,3.81,1,"[-0.99,0.99]"
asin_p9_s2_uniform_any_ulp.csv,asin,poly,9,2,bf16,1.00,2.97,1,"[-0.99,0.99]"
asinh_n10d2_s1_uniform_rational_ulp.csv,asinh,rational,10d2,1,bf16,1.00,2.71,1,"[-10.0,10.0]"
asinh_n10d6_s1_uniform_rational_ulp.csv,asinh,rational,10d6,1,bf16,1.00,3.05,1,"[-10.0,10.0]"
asinh_n11d4_s1_uniform_rational_ulp.csv,asinh,rational,11d4,1,bf16,1.00,3.04,1,"[-10.0,10.0]"
asinh_n12d3_s1_uniform_rational_ulp.csv,asinh,rational,12d3,1,bf16,1.00,2.87,1,"[-10.0,10.0]"
asinh_n13d3_s1_uniform_rational_ulp.csv,asinh,rational,13d3,1,bf16,1.00,3.04,1,"[-10.0,10.0]"
asinh_n1d1_s1_uniform_rational_ulp.csv,asinh,rational,1d1,1,bf16,73.00,1.93,1,"[-10.0,10.0]"
asinh_n3d2_s1_uniform_rational_ulp.csv,asinh,rational,3d2,1,bf16,8.00,2.22,1,"[-10.0,10.0]"
asinh_n4d3_s1_uniform_rational_ulp.csv,asinh,rational,4d3,1,bf16,8.00,2.22,1,"[-10.0,10.0]"
asinh_n5d3_s1_uniform_rational_ulp.csv,asinh,rational,5d3,1,bf16,3.00,2.38,1,"[-10.0,10.0]"
asinh_n6d2_s1_uniform_rational_ulp.csv,asinh,rational,6d2,1,bf16,3.00,2.38,1,"[-10.0,10.0]"
asinh_n6d6_s1_uniform_rational_ulp.csv,asinh,rational,6d6,1,bf16,1.00,2.71,1,"[-10.0,10.0]"
asinh_n7d4_s1_uniform_rational_ulp.csv,asinh,rational,7d4,1,bf16,1.00,2.71,1,"[-10.0,10.0]"
asinh_n8d1_s1_uniform_rational_ulp.csv,asinh,rational,8d1,1,bf16,22.00,2.49,1,"[-10.0,10.0]"
asinh_n8d5_s1_uniform_rational_ulp.csv,asinh,rational,8d5,1,bf16,1.00,2.71,1,"[-10.0,10.0]"
asinh_n9d1_s1_uniform_rational_ulp.csv,asinh,rational,9d1,1,bf16,15.00,2.54,1,"[-10.0,10.0]"
asinh_n9d5_s1_uniform_rational_ulp.csv,asinh,rational,9d5,1,bf16,1.00,2.87,1,"[-10.0,10.0]"
asinh_p10_s2_uniform_any_ulp.csv,asinh,poly,10,2,bf16,15.00,2.97,1,"[-10.0,10.0]"
asinh_p11_s2_uniform_any_ulp.csv,asinh,poly,11,2,bf16,10.00,3.31,1,"[-10.0,10.0]"
asinh_p12_s2_uniform_any_ulp.csv,asinh,poly,12,2,bf16,10.00,3.30,1,"[-10.0,10.0]"
asinh_p14_s1_uniform_any_ulp.csv,asinh,poly,14,1,bf16,7.00,2.44,1,"[-10.0,10.0]"
asinh_p1_s1_uniform_any_ulp.csv,asinh,poly,1,1,bf16,73.00,1.72,1,"[-10.0,10.0]"
asinh_p1_s4_uniform_any_ulp.csv,asinh,poly,1,4,bf16,54.00,2.47,1,"[-10.0,10.0]"
asinh_p2_s2_uniform_any_ulp.csv,asinh,poly,2,2,bf16,73.00,1.83,1,"[-10.0,10.0]"
asinh_p2_s8_uniform_any_ulp.csv,asinh,poly,2,8,bf16,21.50,5.08,1,"[-10.0,10.0]"
asinh_p3_s32_uniform_any_ulp.csv,asinh,poly,3,32,bf16,1.00,18.63,1,"[-10.0,10.0]"
asinh_p4_s16_uniform_any_ulp.csv,asinh,poly,4,16,bf16,1.00,10.04,1,"[-10.0,10.0]"
asinh_p4_s3_uniform_any_ulp.csv,asinh,poly,4,3,bf16,55.00,2.61,1,"[-10.0,10.0]"
asinh_p5_s1_uniform_any_ulp.csv,asinh,poly,5,1,bf16,33.00,1.87,1,"[-10.0,10.0]"
asinh_p5_s4_uniform_any_ulp.csv,asinh,poly,5,4,bf16,10.00,3.61,1,"[-10.0,10.0]"
asinh_p6_s2_uniform_any_ulp.csv,asinh,poly,6,2,bf16,33.00,2.33,1,"[-10.0,10.0]"
asinh_p7_s1_uniform_any_ulp.csv,asinh,poly,7,1,bf16,22.00,1.99,1,"[-10.0,10.0]"
asinh_p7_s8_uniform_any_ulp.csv,asinh,poly,7,8,bf16,1.00,6.56,1,"[-10.0,10.0]"
asinh_p8_s4_uniform_any_ulp.csv,asinh,poly,8,4,bf16,5.00,3.94,1,"[-10.0,10.0]"
asinh_p9_s3_uniform_any_ulp.csv,asinh,poly,9,3,bf16,15.00,3.55,1,"[-10.0,10.0]"
atan_p10_s3_uniform_any_ulp.csv,atan,poly,10,3,bf16,1.00,3.92,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p11_s3_uniform_any_ulp.csv,atan,poly,11,3,bf16,0.50,4.08,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p13_s2_uniform_any_ulp.csv,atan,poly,13,2,bf16,0.50,3.76,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p1_s16_uniform_any_ulp.csv,atan,poly,1,16,bf16,1.00,8.46,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p1_s3_uniform_any_ulp.csv,atan,poly,1,3,bf16,29.00,2.14,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p2_s1_uniform_any_ulp.csv,atan,poly,2,1,bf16,29.00,1.73,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p2_s4_uniform_any_ulp.csv,atan,poly,2,4,bf16,7.00,2.78,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p3_s2_uniform_any_ulp.csv,atan,poly,3,2,bf16,5.00,2.02,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p3_s8_uniform_any_ulp.csv,atan,poly,3,8,bf16,0.25,5.73,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p4_s32_uniform_any_ulp.csv,atan,poly,4,32,bf16,0.50,19.34,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p5_s16_uniform_any_ulp.csv,atan,poly,5,16,bf16,0.50,10.84,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p5_s3_uniform_any_ulp.csv,atan,poly,5,3,bf16,2.00,3.03,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p6_s1_uniform_any_ulp.csv,atan,poly,6,1,bf16,2.00,1.88,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p6_s8_uniform_any_ulp.csv,atan,poly,6,8,bf16,0.25,6.57,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p7_s4_uniform_any_ulp.csv,atan,poly,7,4,bf16,0.25,4.63,1,"[-1.5707963267948966,1.5707963267948966]"
atan_p8_s3_uniform_any_ulp.csv,atan,poly,8,3,bf16,0.50,3.59,1,"[-1.5707963267948966,1.5707963267948966]"
