csv,activation,method,degree,segments,metric,precision,bf16_maxulp,runtime_us,compiles,range
gelu_p1_s2_uniform_any_ulp.csv,gelu,poly_cascade,1,2,ulp,bf16,53.50,1.82,1,"[-10.0,10.0]"
gelu_p1_s32_uniform_any_ulp.csv,gelu,poly_cascade,1,32,ulp,bf16,0.61,15.83,1,"[-10.0,10.0]"
gelu_p1_s3_uniform_any_ulp.csv,gelu,poly_cascade,1,3,ulp,bf16,20.88,2.22,1,"[-10.0,10.0]"
gelu_p1_s4_uniform_any_ulp.csv,gelu,poly_cascade,1,4,ulp,bf16,20.88,2.48,1,"[-10.0,10.0]"
gelu_p1_s8_uniform_any_ulp.csv,gelu,poly_cascade,1,8,ulp,bf16,6.19,4.43,1,"[-10.0,10.0]"
gelu_p2_s16_uniform_any_ulp.csv,gelu,poly_cascade,2,16,ulp,bf16,0.25,9.47,1,"[-10.0,10.0]"
gelu_p2_s1_uniform_any_ulp.csv,gelu,poly_cascade,2,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p2_s2_uniform_any_ulp.csv,gelu,poly_cascade,2,2,ulp,bf16,39.00,1.86,1,"[-10.0,10.0]"
gelu_p2_s32_uniform_any_ulp.csv,gelu,poly_cascade,2,32,ulp,bf16,0.25,18.07,1,"[-10.0,10.0]"
gelu_p2_s3_uniform_any_ulp.csv,gelu,poly_cascade,2,3,ulp,bf16,1.94,2.53,1,"[-10.0,10.0]"
gelu_p2_s4_uniform_any_ulp.csv,gelu,poly_cascade,2,4,ulp,bf16,1.94,2.87,1,"[-10.0,10.0]"
gelu_p2_s8_uniform_any_ulp.csv,gelu,poly_cascade,2,8,ulp,bf16,1.37,5.08,1,"[-10.0,10.0]"
gelu_p3_s16_uniform_any_ulp.csv,gelu,poly_cascade,3,16,ulp,bf16,0.25,10.44,1,"[-10.0,10.0]"
gelu_p3_s1_uniform_any_ulp.csv,gelu,poly_cascade,3,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p3_s2_uniform_any_ulp.csv,gelu,poly_cascade,3,2,ulp,bf16,21.00,1.97,1,"[-10.0,10.0]"
gelu_p3_s32_uniform_any_ulp.csv,gelu,poly_cascade,3,32,ulp,bf16,0.25,19.59,1,"[-10.0,10.0]"
gelu_p3_s3_uniform_any_ulp.csv,gelu,poly_cascade,3,3,ulp,bf16,1.77,2.86,1,"[-10.0,10.0]"
gelu_p3_s4_uniform_any_ulp.csv,gelu,poly_cascade,3,4,ulp,bf16,1.77,3.24,1,"[-10.0,10.0]"
gelu_p3_s8_uniform_any_ulp.csv,gelu,poly_cascade,3,8,ulp,bf16,0.52,5.76,1,"[-10.0,10.0]"
gelu_p4_s16_uniform_any_ulp.csv,gelu,poly_cascade,4,16,ulp,bf16,0.25,11.55,1,"[-10.0,10.0]"
gelu_p4_s1_uniform_any_ulp.csv,gelu,poly_cascade,4,1,ulp,bf16,160.00,1.72,1,"[-10.0,10.0]"
gelu_p4_s2_uniform_any_ulp.csv,gelu,poly_cascade,4,2,ulp,bf16,9.00,2.34,1,"[-10.0,10.0]"
gelu_p4_s3_uniform_any_ulp.csv,gelu,poly_cascade,4,3,ulp,bf16,1.77,3.19,1,"[-10.0,10.0]"
gelu_p4_s3_uniform_basis_ulp.csv,gelu,basis,4,3,ulp,bf16,0.12,4.96,1,"[-10.0,10.0]"
gelu_p4_s4_uniform_any_ulp.csv,gelu,poly_cascade,4,4,ulp,bf16,1.77,3.57,1,"[-10.0,10.0]"
gelu_p4_s8_uniform_any_ulp.csv,gelu,poly_cascade,4,8,ulp,bf16,0.25,6.28,1,"[-10.0,10.0]"
gelu_p5_s16_uniform_any_ulp.csv,gelu,poly_cascade,5,16,ulp,bf16,0.02,12.72,1,"[-10.0,10.0]"
gelu_p5_s1_uniform_any_ulp.csv,gelu,poly_cascade,5,1,ulp,bf16,160.00,1.70,1,"[-10.0,10.0]"
gelu_p5_s2_uniform_any_ulp.csv,gelu,poly_cascade,5,2,ulp,bf16,3.00,2.56,1,"[-10.0,10.0]"
gelu_p5_s3_uniform_any_ulp.csv,gelu,poly_cascade,5,3,ulp,bf16,1.77,3.42,1,"[-10.0,10.0]"
gelu_p5_s4_uniform_any_ulp.csv,gelu,poly_cascade,5,4,ulp,bf16,1.77,3.88,1,"[-10.0,10.0]"
gelu_p5_s8_uniform_any_ulp.csv,gelu,poly_cascade,5,8,ulp,bf16,0.25,7.07,1,"[-10.0,10.0]"
gelu_p6_s1_uniform_any_ulp.csv,gelu,poly_cascade,6,1,ulp,bf16,160.00,1.72,1,"[-10.0,10.0]"
gelu_p6_s1_uniform_basis_ulp.csv,gelu,basis,6,1,ulp,bf16,0.25,2.76,1,"[-10.0,10.0]"
gelu_p6_s2_uniform_any_ulp.csv,gelu,poly_cascade,6,2,ulp,bf16,2.72,2.75,1,"[-10.0,10.0]"
gelu_p6_s3_uniform_any_ulp.csv,gelu,poly_cascade,6,3,ulp,bf16,1.77,3.63,1,"[-10.0,10.0]"
gelu_p6_s4_uniform_any_ulp.csv,gelu,poly_cascade,6,4,ulp,bf16,1.77,4.12,1,"[-10.0,10.0]"
gelu_p6_s8_uniform_any_ulp.csv,gelu,poly_cascade,6,8,ulp,bf16,0.02,8.07,1,"[-10.0,10.0]"
gelu_p7_s1_uniform_any_ulp.csv,gelu,poly_cascade,7,1,ulp,bf16,160.00,1.71,1,"[-10.0,10.0]"
gelu_p7_s2_uniform_any_ulp.csv,gelu,poly_cascade,7,2,ulp,bf16,2.72,2.96,1,"[-10.0,10.0]"
gelu_p7_s3_uniform_any_ulp.csv,gelu,poly_cascade,7,3,ulp,bf16,1.77,3.96,1,"[-10.0,10.0]"
gelu_p7_s4_uniform_any_ulp.csv,gelu,poly_cascade,7,4,ulp,bf16,1.77,4.46,1,"[-10.0,10.0]"
gelu_p8_s1_uniform_any_ulp.csv,gelu,poly_cascade,8,1,ulp,bf16,160.00,1.73,1,"[-10.0,10.0]"
gelu_p8_s2_uniform_any_ulp.csv,gelu,poly_cascade,8,2,ulp,bf16,2.72,3.19,1,"[-10.0,10.0]"
gelu_p8_s3_uniform_any_ulp.csv,gelu,poly_cascade,8,3,ulp,bf16,1.77,4.43,1,"[-10.0,10.0]"
gelu_p8_s4_uniform_any_ulp.csv,gelu,poly_cascade,8,4,ulp,bf16,1.77,4.84,1,"[-10.0,10.0]"
gelu_p9_s1_uniform_any_ulp.csv,gelu,poly_cascade,9,1,ulp,bf16,160.00,1.70,1,"[-10.0,10.0]"
gelu_p9_s2_uniform_any_ulp.csv,gelu,poly_cascade,9,2,ulp,bf16,2.72,3.29,1,"[-10.0,10.0]"
gelu_p9_s3_uniform_any_ulp.csv,gelu,poly_cascade,9,3,ulp,bf16,1.77,4.51,1,"[-10.0,10.0]"
