Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1325    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1328    0.1 %         TypecastDeviceOperation                        2         1 μs          8 μs      8                                                       BF16 => BFP8
 1333    0.1 %         UpdateKVCacheOperation                         1         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1337    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1339    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1344    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
 1350    0.1 %         UpdateKVCacheOperation                         0         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1351    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1356    0.2 %         UpdateKVCacheOperation                         2         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1359    0.2 %         SliceDeviceOperation                           3         1 μs         15 μs      8                                                       BF16 => BF16
 1365    0.2 %         SliceDeviceOperation                           1         1 μs         13 μs      8                                                       BF16 => BF16
 1369    0.2 %         TypecastDeviceOperation                        1         1 μs         12 μs      8                                                       BF16 => BFP8
 1371    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1377    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1382    0.1 %         UpdateKVCacheOperation                         0         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1385    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1389    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1391    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1396    0.1 %         UpdateKVCacheOperation                         2         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1399    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1403    0.1 %         UpdateKVCacheOperation                         3         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1407    0.2 %         SliceDeviceOperation                           3         1 μs         16 μs      8                                                       BF16 => BF16
 1413    0.2 %         SliceDeviceOperation                           1         1 μs         12 μs      8                                                       BF16 => BF16
 1415    0.2 %         TypecastDeviceOperation                        3         1 μs         12 μs      8                                                       BF16 => BFP8
 1421    0.1 %         UpdateKVCacheOperation                         1         3 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1425    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1429    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1431    0.2 %         SliceDeviceOperation                           3         1 μs         14 μs      8                                                       BF16 => BF16
 1437    0.2 %         SliceDeviceOperation                           1         1 μs         13 μs      8                                                       BF16 => BF16
 1439    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1445    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1447    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1451    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1456    0.2 %         SliceDeviceOperation                           2         1 μs         13 μs      8                                                       BF16 => BF16
 1459    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1466    0.1 %         TypecastDeviceOperation                        0         1 μs          9 μs      8                                                       BF16 => BFP8
 1468    0.1 %         UpdateKVCacheOperation                         2         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1473    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1477    0.1 %         UpdateKVCacheOperation                         1         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1481    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1484    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1489    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1492    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1496    0.1 %         TypecastDeviceOperation                        2         1 μs          7 μs      8                                                       BF16 => BFP8
 1502    0.1 %         UpdateKVCacheOperation                         0         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1505    0.2 %         SliceDeviceOperation                           1         1 μs         16 μs      8                                                       BF16 => BF16
 1509    0.2 %         SliceDeviceOperation                           1         1 μs         12 μs      8                                                       BF16 => BF16
 1513    0.1 %         TypecastDeviceOperation                        1         1 μs          9 μs      8                                                       BF16 => BFP8
 1517    0.1 %         UpdateKVCacheOperation                         1         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1521    0.1 %         TypecastDeviceOperation                        1         1 μs          7 μs      8                                                       BF16 => BFP8
 1524    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1529    0.2 %         SliceDeviceOperation                           1         1 μs         14 μs      8                                                       BF16 => BF16
 1534    0.2 %         SliceDeviceOperation                           0         1 μs         13 μs      8                                                       BF16 => BF16
 1538    0.1 %         TypecastDeviceOperation                        0         1 μs         10 μs      8                                                       BF16 => BFP8
 1540    0.1 %         UpdateKVCacheOperation                         2         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1543    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1549    0.1 %         UpdateKVCacheOperation                         1         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1551    0.2 %         SliceDeviceOperation                           3         1 μs         17 μs      8                                                       BF16 => BF16
 1555    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1561    0.1 %         TypecastDeviceOperation                        1         1 μs         10 μs      8                                                       BF16 => BFP8
 1566    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1568    0.1 %         TypecastDeviceOperation                        2         1 μs          7 μs      8                                                       BF16 => BFP8
 1574    0.1 %         UpdateKVCacheOperation                         0         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1577    0.2 %         SliceDeviceOperation                           1         1 μs         16 μs      8                                                       BF16 => BF16
