# PROVENANCE: every wall of the 2026-09-12 campaign (p100a, fw 19.9.0, tt-metal 72620d5 kernels; R1e rows on the fresh build f3fbc8984f0) priced by ttsim/perf/roofline_sdpa.py of branch mvlahovic/sdpa_revamp; measured = zones-off device wall (mean of invocations 1 and 2) or DEVICE KERNEL DURATION median for decode; model/refit_r2_fit.py
kind,label,regime,block,set,measured_cycles,model_cycles,err_pct,steps_wall_core,flags
prefill,non-causal head_dim 64,noncausal,R1c,fit,2309290,2309204,-0.0,320.0,
prefill,hold-out causal S2048 head_dim 64,causal,R1g,holdout,462832,439978,-4.94,51.0,
prefill,hold-out non-causal S2048 head_dim 64,noncausal,R1g,holdout,585244,579476,-0.99,80.0,
prefill,hold-out causal q256 k128 head_dim 64,causal,R1g,holdout,1499473,1405441,-6.27,102.0,
prefill,hold-out non-causal q128 k256 head_dim 64,noncausal,R1g,holdout,1751182,1773032,1.25,160.0,
prefill,fresh build joint d128,joint,R1e,fresh,8708672,8577400,-1.51,81.0,regime_joint;wall_only_fit
prefill,fresh build sparse T8192 TOPK2048,sparse,R1e,fresh,16119196,16127532,0.05,304,regime_sparse;wall_only_fit
decode,paged b32 g64 pos128,decode,T2.8,fit,99630,99599,-0.03,,decode_family;k_chunk_auto
decode,paged b32 g64 pos512,decode,T2.8,fit,219780,220366,0.27,,decode_family;k_chunk_auto
decode,paged b32 g64 pos1024,decode,T2.8,fit,383400,381389,-0.52,,decode_family;k_chunk_auto
decode,paged b32 g64 pos2048,decode,T2.8,fit,706185,703434,-0.39,,decode_family;k_chunk_auto
decode,paged b32 g64 pos4096,decode,T2.8,fit,1357425,1347524,-0.73,,decode_family;k_chunk_auto
decode,paged b32 g64 pos8192,decode,T2.8,fit,2652480,2635704,-0.63,,decode_family;k_chunk_auto
decode,paged b8 g64 pos1024,decode,T2.8,fit,106380,106873,0.46,,decode_family;k_chunk_auto
decode,paged b16 g64 pos1024,decode,T2.8,fit,200880,198378,-1.25,,decode_family;k_chunk_auto
decode,paged b32 g64 bf16 pos1024,decode,T2.8,fit,681885,701066,2.81,,decode_family;k_chunk_auto
decode,paged b32 g110 pos1024,decode,T2.8,fit,347220,346522,-0.2,,decode_family;k_chunk_auto
decode,paged b32 g110 pos4096,decode,T2.8,fit,1217565,1220282,0.22,,decode_family;k_chunk_auto
decode,paged b32 g110 pos8192,decode,R1b,pred,2375055,2385296,0.43,,decode_family;k_chunk_auto
decode,non-paged b32 bfp8 cache1024,decode,R1b,fit,309285,300001,-3.0,,decode_family
decode,non-paged b32 bfp8 cache4096,decode,R1b,fit,1184220,1143641,-3.43,,decode_family
decode,non-paged b8 bf16 cache1024,decode,R1b,fit,142560,148333,4.05,,decode_family
decode,non-paged b8 bf16 cache4096,decode,R1b,fit,536355,545340,1.68,,decode_family
decode,MLA decode non-paged b8 nh16 cache1024,decode,R1b,fit,110835,111523,0.62,,decode_family
decode,MLA decode non-paged b8 nh16 cache4096,decode,R1b,fit,328725,322556,-1.88,,decode_family
decode,MLA decode non-paged b8 nh16 cache8192,decode,R1b,fit,603720,603933,0.04,,decode_family
decode,MLA decode paged b4 nh128 pos1024,decode,R1b,fit,123930,115168,-7.07,,decode_family
decode,MLA decode paged b4 nh128 pos4096,decode,R1b,fit,244890,233874,-4.5,,decode_family
decode,MLA decode paged b4 nh128 pos8192,decode,R1b,fit,398655,392149,-1.63,,decode_family
decode,MLA decode paged b8 nh128 pos1024,decode,R1b,fit,144180,159683,10.75,,decode_family
decode,MLA decode paged b8 nh128 pos4096,decode,R1b,fit,388665,397095,2.17,,decode_family
decode,MLA decode paged b8 nh128 pos8192,decode,R1b,fit,717255,713645,-0.5,,decode_family
