label,tag,group,causal,q_chunk,k_chunk,fidelity,cores,active_cores,FPU_COUNTER_mean,FPU_COUNTER_wall,SFPU_COUNTER_mean,SFPU_COUNTER_wall,MATH_COUNTER_mean,MATH_COUNTER_wall,wall_mp_mean,wall_cores,STEP_N_wall,m_fpu,m_sfpu,m_union,m_floor,m_wall,m_overlap,m_steps,m_steps_wc,m_fpu_matmul,m_fpu_overhead,m_sfpu_exp,m_sfpu_reduce,m_sfpu_recip,m_sfpu_ovh,kernel_path,qct,kct,dct,Q,K,K_eff,kt_per_chunk,steps,exp_tiles,exp_tiles_untrunc,tile_macs,tile_macs_untrunc,qtile_steps,ktile_steps,qtiles,rescale_qtiles,cpt,steps_wc,chunks_wc,FPU_COUNTER_wall_scaled_model,SFPU_COUNTER_wall_scaled_model,MATH_COUNTER_wall_scaled_model,hidden,o_meas,r_meas,fpu_per_tilemac_trunc,fpu_per_tilemac_untrunc,fpu_refit,fpu_alt_untrunc,fpu_alt_perstep,fpu_alt_frac,sfpu_refit,sfpu_free,union_refit,math_unmod_basis,fpu_refit_wall,sfpu_refit_wall,union_refit_wall
non-causal q64 k128,t21_noncausal_q64k128_zon_mp,grid1,False,64,128,HiFi2,110,110,1403661.9636363636,1432448.0,610192.2909090909,622706.0,2012526.940909091,2053918.5,5591799.5,"[(5, 5), (5, 5)]",608.0,1531302,724828,1995192,2025192,5592577,0.36,595.7818181818182,608.0,1220161,311141,440007,35747,633,248441,streaming,2,4,8,18.618181818181817,32,32.0,128.0,595.7818181818182,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,1191.5636363636363,2383.1272727272726,37.236363636363635,1154.3272727272727,32.0,608.0,19,1562705.654296875,739692.63671875,2036109.0234375,1327.313636363484,0.0021752382914998723,0.0009456077536823113,36.8125,36.8125,1404738.5128299324,1402614.826786242,1424554.8046161209,1369305.3240282105,606046.2326548337,607396.4851622678,2010784.745484766,2012526.940909091,1433546.6268625774,618474.9151604504,2052021.542023028
non-causal q256 k128,t21_noncausal_q256k128_zon_mp,grid1,False,256,128,HiFi2,110,110,1403661.9636363636,1507840.0,590531.490909091,634360.0,1629455.4045454545,1759692.5,2886088.5,"[(3, 5), (4, 2)]",160.0,1306182,538497,1392342,1422342,2669140,0.84,148.94545454545454,160.0,1220161,86021,440007,35747,633,62110,streaming,8,4,8,4.654545454545454,32,32.0,128.0,148.94545454545454,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,1191.5636363636363,595.7818181818182,37.236363636363635,1154.3272727272727,32.0,160.0,5,1403125.1953125,578463.57421875,1495679.8828125,364738.05000000005,0.6176436915133954,0.25984749850676303,36.8125,36.8125,1404738.5128299324,1402614.826786242,1362789.402746576,1369305.3240282105,584705.2006940233,588066.0557933688,1528513.889001634,1548539.709090909,1508996.449329029,628101.2898080328,1641958.2792009742
non-causal q512 k128,t21_noncausal_q512k128_zon_mp,grid1,False,512,128,HiFi2,110,110,1403661.9636363636,1809408.0,587254.6909090909,757008.0,1595951.3318181818,2061967.0,3366784.0,"[(15, 3), (3, 3)]",96.0,1268662,507442,1309257,1339257,3093332,0.92,74.47272727272727,96.0,1220161,48501,440007,35747,633,31055,streaming,16,4,8,2.327272727272727,32,32.0,128.0,74.47272727272727,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,1191.5636363636363,297.8909090909091,37.236363636363635,1154.3272727272727,32.0,96.0,3,1635384.609375,654124.453125,1687714.1015625,394965.32272727275,0.6725622269885193,0.28138207984496866,36.8125,36.8125,1404738.5128299324,1402614.826786242,1352495.1691016518,1369305.3240282105,581148.3620338881,584844.317565219,1501910.5591153828,1515035.6363636362,1810795.7391948348,749136.5604343088,1936056.5801096733
non-causal q512 k512,t21_noncausal_q512k512_zon_mp,grid1,False,512,512,HiFi2,110,110,1308932.6545454545,1687296.0,391763.7818181818,505008.0,1405753.9045454545,1814068.5,2357616.5,"[(5, 3), (6, 3)]",24.0,1268662,442149,1304034,1334034,2247764,0.92,18.618181818181817,24.0,1220161,48501,424815,8937,633,7764,streaming,16,16,8,2.327272727272727,8,8.0,128.0,18.618181818181817,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,297.8909090909091,297.8909090909091,37.236363636363635,260.6545454545454,32.0,24.0,3,1635384.609375,569957.6953125,1680981.328125,294942.53181818174,0.7528580882320179,0.22533056287804565,34.328125,34.328125,1311098.1035803682,1281460.2112335914,1344774.4938679587,1369305.3240282105,395990.2177811993,388712.5826047018,1311098.1035803682,1330298.9881984103,1690087.3991465685,510456.14010857727,1690087.3991465685
"causal q128 k128, unmodified kernel",t01_causal_q128k128_mp,unmod,True,128,128,HiFi2,110,110,724507.9272727272,778280.0,304463.12727272726,327060.0,876957.1227272728,943893.0,2565106.5,"[(2, 3), (1, 3)]",,712193,309688,852327,882327,2563224,0.5475,153.6,165.0,629146,83047,226572,18432,633,64051,streaming,4,4,8,9.309090909090909,32,16.5,66.0,153.6,2457.6,2457.6,19660.8,19660.8,614.4,614.4,37.236363636363635,577.1636363636363,32.0,165.0,10,765051.07421875,332672.65625,915585.64453125,152013.93181818165,0.49928519482759226,0.20981679578084023,36.85037878787879,36.85037878787879,724318.295677934,723223.270061656,713304.2142375312,706048.057702046,305463.2271579382,306850.5957480535,876044.9645782306,876957.1227272728,778076.2941852807,328134.3260485664,941063.9267930213
"non-causal q128 k128, unmodified kernel",t01_noncausal_q128k128_mp,unmod,False,128,128,HiFi2,110,110,1403661.9636363636,1507840.0,597085.0909090909,641400.0,1608448.8272727272,1739789.5,2868140.5,"[(1, 4), (1, 4)]",,1381222,600608,1573417,1603417,2944835,0.6799999999999999,297.8909090909091,320.0,1220161,161061,440007,35747,633,124221,streaming,4,4,8,9.309090909090909,32,32.0,128.0,297.8909090909091,4766.254545454545,4766.254545454545,38130.03636363636,38130.03636363636,1191.5636363636363,1191.5636363636363,37.236363636363635,1154.3272727272727,32.0,320.0,10,1483734.5703125,645184.375,1690194.04296875,392298.2272727275,0.6570223126412928,0.2794819817275873,36.8125,36.8125,1404738.5128299324,1402614.826786242,1383377.8700364241,1369305.3240282105,591818.8780142934,594509.5322496685,1627813.5312263686,1608448.8272727272,1508996.449329029,635742.9353669168,1748627.8167470756
"causal q128 k128, A6 exp stub",t22_abl_a6_causal_q128k128_zon_mp,a6,True,128,128,HiFi2,110,110,724507.9272727272,778280.0,132431.12727272726,142260.0,795920.759090909,854927.5,2585181.0,"[(11, 3), (2, 3)]",165.0,712193,309688,852327,882327,2563224,0.5475,153.6,165.0,629146,83047,226572,18432,633,64051,streaming,4,4,8,9.309090909090909,32,16.5,66.0,153.6,2457.6,2457.6,19660.8,19660.8,614.4,614.4,37.236363636363635,577.1636363636363,32.0,165.0,10,765051.07421875,332672.65625,915585.64453125,61018.29545454541,0.46075493512099297,0.08422032824987467,36.85037878787879,36.85037878787879,724318.295677934,723223.270061656,713304.2142375312,706048.057702046,305463.2271579382,306850.5957480535,876044.9645782306,795920.759090909,778076.2941852807,328134.3260485664,941063.9267930213
cross 2k/8k nh16 q128 k128,t23r_cross_2048_8192_nh16_zon_mp,cross,False,128,128,HiFi2,110,110,701830.9818181818,904704.0,301204.94545454544,388272.0,845125.8590909091,1096628.0,1800725.5,"[(6, 2), (6, 2)]",192.0,690612,300303,786709,816709,1711700,0.6799999999999999,148.94545454545454,192.0,610081,80531,220162,17873,158,62110,streaming,4,4,8,2.327272727272727,64,64.0,256.0,148.94545454545454,2383.1272727272726,2383.1272727272726,19065.01818181818,19065.01818181818,595.7818181818182,595.7818181818182,9.309090909090909,586.4727272727273,32.0,192.0,3,890242.03125,387109.3359375,1014117.0703125,157910.06818181812,0.5242612067458506,0.22499728890954934,36.8125,36.8125,702369.2564149662,701307.413393121,691688.9350182121,684652.6620141052,295751.1844616921,297096.5115793797,813748.5110677297,804668.0113636364,905397.8695974174,381241.76122015,1048972.6900482455
MLA nh16 S2048 q32 k128 HiFi4,t23r_mla_nh16_S2048_zon_mp,mla,True,32,128,HiFi4,110,110,707407.1272727273,759910.0,35919.12727272727,38585.0,743326.2545454545,798495.0,9577822.5,"[(11, 4), (11, 4)]",85.0,710074,36035,746109,776109,9574912,0.0,79.12727272727273,85.0,688724,21350,25843,2374,158,7660,streaming,1,4,34,9.309090909090909,16,8.5,32.5,79.12727272727273,302.5454545454545,316.5090909090909,10286.545454545452,10761.30909090909,79.12727272727273,302.5454545454545,9.309090909090909,69.81818181818181,64.0,85.0,10,762774.8046875,38709.47265625,801484.27734375,1.1641532182693481e-10,3.2410398210127676e-15,1.6456622691342082e-16,68.77013574660636,65.73615916955019,707144.909897734,721983.3168457869,746060.8098156219,738809.7573492052,41273.59181179545,41228.3041590459,748418.5017095294,743326.2545454545,759628.3211792064,44336.866204077145,803965.1873832835
production S4096 q256 k256 g64 HiFi4 fp32,t24_prod_causal_S4096_q256k256_g64_zon_mp,prod,True,256,256,HiFi4,64,64,2418688.0,2418688.0,442996.0,442996.0,2861684.0,2861684.0,4026432.0,"[(7, 6), (7, 7)]",68.0,2385314,392945,2778259,2808259,3982991,0.0,68.0,68.0,2228224,157090,347181,16320,1088,28356,legacy,8,8,8,8.0,16,8.5,68.0,68.0,4352.0,4352.0,34816.0,34816.0,544.0,544.0,64.0,480.0,64.0,68.0,8,2385314.0,392945.0,2778259.0,0.0,0.0,0.0,69.47058823529412,69.47058823529412,2451291.642702653,2413916.313835907,2469888.638886805,2500586.8710280797,420062.0481684139,416489.29126199736,2871353.690871067,2861684.0,2451291.642702653,420062.0481684139,2871353.690871067
