# PROVENANCE: blackhole p100a, 110 worker cores, 1.35 GHz, firmware bundle 19.9.0; tt-metal main 2dbd14bf632; 2026-09-12 multipass perf counter capture (5 passes over the counter groups fpu, instrn, unpack, pack and l1_0 to l1_4; 10 top-k cells), reduced 2026-09-16 by analysis/topk_counters_reduce.py. fraction_of_ref_cnt = counter value over that record's own ref cnt on the same core, median over the participating cores then over the two timed invocations (three warm-ups discarded). The composite cell COUNTERS-289 is excluded from any reading: its second and third ops report an unusable ref cnt (tenstorrent/tt-metal#56791).
cell,op,counter,fraction_of_ref_cnt,n_samples
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_1_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_2_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_3,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_3_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_4_TAG_SEARCH_PACKER1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_4_TAG_SEARCH_PACKER1_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_4,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_4_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_5,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_5_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MATH_COUNTER,0.5974,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MATH_INSTRN_AVAILABLE,0.2308,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MATH_INSTRN_STARTED,0.1655,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MATH_NOT_STALLED_DEST_WR_PORT,0.2308,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MATH_SRC_DATA_READY,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_2,0.0,2
