OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
Unpad,95,,,,,,,1,7,7,2048,-,-,-,-,10975
Pad,96,,,,,,,1,7,7,2048,-,-,-,-,91587
Tilize,97,,,,,,,1,7,7,2048,-,-,-,-,84597
Reduce,98,,,,,,,1,1,64,2048,-,-,-,-,12937
Untilize,99,,,,,,,1,1,32,2048,-,-,-,-,71666
Unpad,100,,,,,,,1,1,32,2048,-,-,-,-,4503
Pad,101,,,,,,,1,1,1,2048,-,-,-,-,28873
Tilize,102,,,,,,,1,1,32,2048,-,-,-,-,31587
tt::operations::primary::Matmul,103,,fc,,,,,1,1,32,2048,1,1,2048,1024,56209
UntilizeWithUnpadding,104,,,,,,,1,1,32,1024,-,-,-,-,26606
