OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 OptimizedConv,81,,res5a_branch2b,1,2,3,3,1,14,14,512,1,1,4608,512,175951
 tt::operations::primary::Matmul,82,,res5a_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,49860
 EltwiseBinary,83,,,,,,,1,7,7,2048,1,1,416,2048,4821
 tt::operations::primary::Matmul,84,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,58601
 Sharded,85,,,,,,,1,7,7,512,,,,,7644
 UntilizeWithUnpadding,86,,,,,,,1,7,7,512,-,-,-,-,168094
 OptimizedConv,87,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,226353
 tt::operations::primary::Matmul,88,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,50066
 EltwiseBinary,89,,,,,,,1,7,7,2048,1,1,416,2048,4819
 tt::operations::primary::Matmul,90,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,57794
 Sharded,91,,,,,,,1,7,7,512,,,,,7824
 UntilizeWithUnpadding,92,,,,,,,1,7,7,512,-,-,-,-,168012
 OptimizedConv,93,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,226340
 tt::operations::primary::Matmul,94,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,49506
 EltwiseBinary,95,,,,,,,1,7,7,2048,1,1,416,2048,4828
 Untilize,96,,,,,,,1,7,7,2048,-,-,-,-,12672
 Unpad,97,,,,,,,1,7,7,2048,-,-,-,-,10681
 Pad,98,,,,,,,1,7,7,2048,-,-,-,-,91603
 Tilize,99,,,,,,,1,7,7,2048,-,-,-,-,85991
 Reduce,100,,,,,,,1,1,64,2048,-,-,-,-,12987
 Untilize,101,,,,,,,1,1,32,2048,-,-,-,-,71348
 Unpad,102,,,,,,,1,1,32,2048,-,-,-,-,4505
 Pad,103,,,,,,,1,1,1,2048,-,-,-,-,28755
 Tilize,104,,,,,,,1,1,32,2048,-,-,-,-,31493
 tt::operations::primary::Matmul,105,,fc,,,,,1,1,32,2048,1,1,2048,1024,56366
 UntilizeWithUnpadding,106,,,,,,,1,1,32,1024,-,-,-,-,26558
