OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 EltwiseBinary,32,,,,,,,1,28,28,512,1,1,6272,512,6037
 tt::operations::primary::Matmul,33,,res3c_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,34931
Untilize,34,,,,,,,1,28,28,128,-,-,-,-,11750
OptimizedConv,35,,res3c_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,112704
 tt::operations::primary::Matmul,36,,res3c_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39054
 EltwiseBinary,37,,,,,,,1,28,28,512,1,1,6272,512,6028
 tt::operations::primary::Matmul,38,,res3d_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,34901
Untilize,39,,,,,,,1,28,28,128,-,-,-,-,11582
OptimizedConv,40,,res3d_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,112732
 tt::operations::primary::Matmul,41,,res3d_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39231
 EltwiseBinary,42,,,,,,,1,28,28,512,1,1,6272,512,34114
 tt::operations::primary::Matmul,43,,res4a_branch2a,0,1,1,1,1,28,28,512,1,1,512,256,73616
 Untilize,44,,,,,,,1,28,28,512,-,-,-,-,41569
 OptimizedConv,45,,res4a_branch1,0,2,1,1,1,28,28,512,1,1,512,1024,121001
 Untilize,46,,,,,,,1,28,28,256,-,-,-,-,23097
 OptimizedConv,47,,res4a_branch2b,1,2,3,3,1,28,28,256,1,1,2304,256,227556
 tt::operations::primary::Matmul,48,,res4a_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38581
 EltwiseBinary,49,,,,,,,1,14,14,1024,1,1,1568,1024,20493
 tt::operations::primary::Matmul,50,,res4b_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,38988
 Untilize,51,,,,,,,1,14,14,256,-,-,-,-,15886
 OptimizedConv,52,,res4b_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266133
 tt::operations::primary::Matmul,53,,res4b_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38356
 EltwiseBinary,54,,,,,,,1,14,14,1024,1,1,1568,1024,21286
 tt::operations::primary::Matmul,55,,res4c_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,38803
 Untilize,56,,,,,,,1,14,14,256,-,-,-,-,15913
 OptimizedConv,57,,res4c_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266283
 tt::operations::primary::Matmul,58,,res4c_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38735
 EltwiseBinary,59,,,,,,,1,14,14,1024,1,1,1568,1024,21616
 tt::operations::primary::Matmul,60,,res4d_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,39181
 Untilize,61,,,,,,,1,14,14,256,-,-,-,-,15884
 OptimizedConv,62,,res4d_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266270
 tt::operations::primary::Matmul,63,,res4d_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38954
 EltwiseBinary,64,,,,,,,1,14,14,1024,1,1,1568,1024,21144
 tt::operations::primary::Matmul,65,,res4e_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,39072
 Untilize,66,,,,,,,1,14,14,256,-,-,-,-,15879
 OptimizedConv,67,,res4e_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266260
 tt::operations::primary::Matmul,68,,res4e_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38265
 EltwiseBinary,69,,,,,,,1,14,14,1024,1,1,1568,1024,21303
 tt::operations::primary::Matmul,70,,res4f_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,38789
 Untilize,71,,,,,,,1,14,14,256,-,-,-,-,15666
 OptimizedConv,72,,res4f_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266225
 tt::operations::primary::Matmul,73,,res4f_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38753
 EltwiseBinary,74,,,,,,,1,14,14,1024,1,1,1568,1024,21316
 tt::operations::primary::Matmul,75,,res5a_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,512,55090
 Untilize,76,,,,,,,1,14,14,1024,-,-,-,-,48931
 OptimizedConv,77,,res5a_branch1,0,2,1,1,1,14,14,1024,1,1,1024,2048,185066
 Untilize,78,,,,,,,1,14,14,512,-,-,-,-,26196
 OptimizedConv,79,,res5a_branch2b,1,2,3,3,1,14,14,512,1,1,4608,512,175701
 tt::operations::primary::Matmul,80,,res5a_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,54918
 EltwiseBinary,81,,,,,,,1,7,7,2048,1,1,416,2048,13913
 tt::operations::primary::Matmul,82,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,62457
 UntilizeWithUnpadding,83,,,,,,,1,7,7,512,-,-,-,-,167203
 OptimizedConv,84,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,226916
 tt::operations::primary::Matmul,85,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,55052
 EltwiseBinary,86,,,,,,,1,7,7,2048,1,1,416,2048,14051
 tt::operations::primary::Matmul,87,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,58724
 UntilizeWithUnpadding,88,,,,,,,1,7,7,512,-,-,-,-,167313
 OptimizedConv,89,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227151
 tt::operations::primary::Matmul,90,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,55477
 EltwiseBinary,91,,,,,,,1,7,7,2048,1,1,416,2048,14382
 Untilize,92,,,,,,,1,7,7,2048,-,-,-,-,87203
 Unpad,93,,,,,,,1,7,7,2048,-,-,-,-,10435
 Pad,94,,,,,,,1,7,7,2048,-,-,-,-,91600
 Tilize,95,,,,,,,1,7,7,2048,-,-,-,-,85997
 Reduce,96,,,,,,,1,1,64,2048,-,-,-,-,12733
 Untilize,97,,,,,,,1,1,32,2048,-,-,-,-,71541
 Unpad,98,,,,,,,1,1,32,2048,-,-,-,-,4508
 Pad,99,,,,,,,1,1,1,2048,-,-,-,-,28903
 Tilize,100,,,,,,,1,1,32,2048,-,-,-,-,31488
 tt::operations::primary::Matmul,101,,fc,,,,,1,1,32,2048,1,1,2048,1024,57572
 UntilizeWithUnpadding,102,,,,,,,1,1,32,1024,-,-,-,-,26557
